year,plusieurs_DET ans_NOUN,plusieurs_DET dents_NOUN
1800,9.432493897065797e-09,1.28910740304633e-07
1801,7.143547753329926e-09,1.8811341817581706e-07
1802,2.2378401354217203e-08,4.430923468135006e-07
1803,1.5602713787643552e-08,5.324425842445635e-07
1804,2.4718509461507665e-09,2.1752288326126745e-07
1805,5.685755422035754e-09,2.98502156326208e-07
1806,2.881669125542885e-09,1.4120178093435243e-07
1807,8.540865792383556e-09,1.1103124819555887e-07
1808,0.0,2.0394666311318588e-07
1809,4.518061036407062e-09,1.784634093837667e-07
1810,1.4040760554223652e-08,1.4040760110134443e-07
1811,5.0141535368197765e-09,1.2535383131506705e-07
1812,1.8670458068470452e-08,2.907257012907394e-07
1813,5.751483289628823e-09,2.473137783454149e-07
1814,3.1466771410748606e-09,3.618678636740924e-07
1815,2.697223555614414e-09,2.6163067445850174e-07
1816,2.3176038865813098e-09,3.870398526117924e-07
1817,9.341240669868967e-09,3.767633769413692e-07
1818,1.7881766067873173e-08,3.230639027407278e-07
1819,3.1053151161586356e-09,2.0288057633877088e-07
1820,2.610625848831205e-08,2.9072877527624996e-07
1821,4.2404398215012407e-08,1.9229902470385696e-07
1822,4.411270992932259e-08,1.8647645561031823e-07
1823,9.882687224127551e-09,1.3045147007062496e-07
1824,8.252690264498597e-08,1.4652736446407744e-07
1825,6.163809906922779e-09,1.857948426220446e-07
1826,4.4039921931471326e-08,1.514973293481603e-07
1827,3.133872894522938e-08,1.2351146017053338e-07
1828,8.346794067026764e-08,2.1646630909977205e-07
1829,1.2859763920403111e-08,2.4690747446598493e-07
1830,1.6698937344017395e-08,1.7012041730879446e-07
1831,3.274153215215847e-08,2.728461119261283e-07
1832,1.2176972319366541e-08,3.4636720824821055e-07
1833,4.6334514003376626e-09,4.297526086105563e-07
1834,3.547121618652227e-08,2.688344924450803e-07
1835,2.647080776796429e-08,2.306741819779745e-07
1836,2.352262562510532e-08,2.2783342012999697e-07
1837,4.0355768504696243e-08,4.940102478201425e-07
