year,seras_VERB en_PRON,seras_VERB dans_ADP
1800,0.0,3.45858084394024e-08
1801,0.0,3.333655484993869e-08
1802,1.1189200677108602e-08,4.0281122437590966e-08
1803,0.0,5.070882025393075e-08
1804,0.0,3.9549615138412264e-08
1805,1.421438877713399e-08,9.097208675257207e-08
1806,0.0,1.4408345627714425e-08
1807,0.0,5.97860605466849e-08
1808,0.0,2.7192887941396293e-08
1809,0.0,6.551188391767937e-08
1810,2.3401267590372754e-09,7.488405628919281e-08
1811,2.5070767684098882e-09,3.7606151970237534e-08
1812,0.0,2.6672083208723052e-08
1813,0.0,2.0130190847567064e-08
1814,0.0,2.8320094713762956e-08
1815,0.0,4.8550024445148665e-08
1816,0.0,3.244645441213834e-08
1817,0.0,2.335310045342709e-08
1818,0.0,3.457141417584353e-08
1819,2.070210003424222e-09,4.45095160728215e-08
1820,1.1866481131050932e-09,7.831877280040089e-08
1821,0.0,4.7335142028259725e-08
1822,0.0,5.81485721795616e-08
1823,2.9648061783404955e-09,6.127265717026376e-08
1824,1.8526447931321854e-08,3.789500713224925e-08
1825,0.0,4.8429937615779295e-08
1826,1.7615968683770689e-09,6.34174881497529e-08
1827,0.0,3.594736597278825e-08
1828,9.172301251858528e-10,2.4765213879618386e-08
1829,0.0,3.3435387791769244e-08
1830,1.0436835840010872e-09,5.844628048201628e-08
1831,9.354723218280014e-09,6.704218691311326e-08
1832,1.3529969367098715e-09,2.3000948701223933e-08
1833,0.0,5.791814372546611e-08
1834,0.0,5.227337385171893e-08
1835,7.563087933704082e-10,6.655517381659593e-08
1836,4.032449929525228e-09,4.5701101125672494e-08
1837,9.045257876039159e-09,3.89641890974346e-08
1838,4.418513555037862e-09,4.292270006089893e-08
1839,6.9914751765765e-10,3.705481788074394e-08
1840,3.821813088222825e-09,5.7327198987877637e-08
1841,4.494383976094696e-09,7.640452537316378e-08
1842,5.366612043644636e-09,6.305769062464606e-08
1843,1.1813822142769936e-09,5.198081609592009e-08
1844,1.097712254427563e-09,2.6893950177964143e-08
1845,3.348136878855712e-09,5.412821124650691e-08
1846,5.854501328173001e-10,4.156695965207291e-08
1847,4.853901280910122e-09,3.937053350000497e-08
1848,0.0,4.183515400768556e-08
1849,0.0,1.3407063903514427e-08
1850,0.0,4.141287579528807e-08
1851,0.0,2.386292252687383e-08
1852,0.0,5.5990691860685615e-08
1853,5.971931837933653e-10,4.35951039712279e-08
1854,1.0391328908454511e-09,3.740878540270387e-08
1855,0.0,3.980202833986368e-08
1856,0.0,4.711242240773572e-08
1857,0.0,6.199516211502498e-08
1858,4.893676019968041e-10,4.697929062436046e-08
1859,3.055304009791371e-09,5.550468884507609e-08
1860,1.373155145145688e-09,5.767251565202969e-08
1861,0.0,4.7631232291678316e-08
1862,5.873382225018986e-09,5.4215835432191994e-08
1863,0.0,4.295374012031061e-08
1864,0.0,5.993410212568051e-08
1865,4.706844358715045e-10,5.130460323243824e-08
1866,0.0,4.0384586341701834e-08
1867,2.91168689159349e-09,3.930777126015528e-08
1868,2.4699371437009177e-09,3.4085130384831075e-08
1869,9.767038289254515e-10,5.07885999923019e-08
1870,2.8670243956696595e-09,2.064257564882155e-08
1871,0.0,3.080141297573391e-08
1872,0.0,5.07976487540418e-08
1873,7.183205141814142e-09,3.4718827257584906e-08
1874,5.974609140757536e-10,5.795370688899126e-08
1875,5.149374260327022e-09,3.4901315615343265e-08
