year,plusieurs_DET hommages_NOUN,plusieurs_DET dommages_NOUN
1800,3.144164484325529e-09,0.0
1801,0.0,0.0
1802,0.0,6.713520406265161e-09
1803,0.0,0.0
1804,0.0,4.943701892301533e-09
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,9.064295980465431e-09
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,1.7549536934780008e-08
1812,0.0,0.0
1813,2.8757416448144113e-09,0.0
1814,3.461344899591268e-08,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,7.784366928831332e-09,9.341240669868967e-09
1818,0.0,0.0
1819,1.035105001712111e-08,1.035105001712111e-09
1820,1.1866481131050932e-09,1.1866481131050932e-09
1821,1.97229765852569e-09,9.86148829262845e-10
1822,1.2030739071633434e-08,5.012807946513931e-09
1823,0.0,2.3718449426723964e-08
1824,0.0,1.6000115010683658e-08
1825,1.7610886082763955e-09,1.7610886082763955e-09
1826,0.0,2.4662355713189754e-07
1827,0.0,2.7651818612639545e-09
1828,4.586150570418113e-09,1.9261833017480967e-08
1829,2.571952817387313e-09,1.0287811491593857e-08
1830,0.0,7.305785310052215e-09
1831,0.0,4.677361609140007e-09
1832,1.4882966081763982e-08,8.117981842303834e-09
1833,0.0,2.3167257001688313e-09
1834,9.334530925997342e-10,2.14694217959277e-08
1835,9.075705520444899e-09,2.949604294144592e-08
1836,7.392825018825988e-09,6.04867480547e-08
1837,0.0,9.74104708006962e-09
1838,1.830526930035603e-08,2.4617431648721322e-08
1839,4.194885327990505e-09,2.586845759822154e-08
1840,0.0,2.8663599493938818e-08
1841,1.219904177673925e-08,1.7977535904378783e-08
1842,1.0062397581833693e-08,3.287049921141261e-08
1843,1.2995204079491174e-08,2.4218335781256428e-08
1844,7.1351298203126134e-09,1.2074834465636286e-08
1845,2.2320911341466854e-08,1.5066614622583074e-08
1846,1.5807153808111707e-08,1.1123552745573306e-08
1847,3.775256551818984e-09,6.47186837454683e-09
1848,8.04522137798358e-09,1.367687652020777e-08
1849,5.865590679832167e-09,1.5920887719289567e-08
1850,6.788996032014438e-10,2.5798184921654865e-08
1851,9.674158363282004e-09,5.159551008659946e-09
1852,1.9531636308300904e-09,1.4323200403509873e-08
1853,2.9859659189668264e-09,5.3747388761848924e-09
1854,5.715230788627679e-09,9.352196350675968e-09
1855,5.306937111981824e-10,5.306937111981824e-09
1856,3.1063134287023786e-09,7.248064815001953e-09
1857,4.393358121745905e-09,1.8549734193129552e-08
1858,2.936205500958522e-09,2.397901255335455e-08
1859,2.036869339860914e-09,1.9859475841599306e-08
1860,9.612086238064421e-09,1.327383358784573e-08
1861,9.431927461278633e-10,2.357981809808507e-09
1862,3.6143890103090826e-09,6.325180823552046e-09
1863,3.995696717939978e-09,1.048870412745373e-08
1864,3.931677028390368e-08,6.712618905169165e-09
1865,7.0602665935837194e-09,1.553258677233771e-08
1866,6.811858188626729e-09,1.216403244796993e-08
1867,1.4073153309368536e-08,5.82337378318698e-09
1868,1.3831647827089455e-08,6.421836395986702e-09
1869,3.0277818252599786e-08,4.883519144627257e-10
1870,1.0321287824410774e-08,1.1468097582678638e-09
1871,3.0801413641867725e-08,6.37270636261178e-09
1872,1.028047680318167e-08,6.652073114565837e-09
1873,2.334541659987366e-08,4.788803575905831e-09
1874,1.2546679251101978e-08,1.1949218503559678e-08
1875,3.4901315615343265e-08,2.2886108563824337e-09
1876,9.673623679873344e-09,1.0882827083946722e-08
1877,1.1751150275074451e-08,9.27722432209066e-09
1878,9.662541877730746e-09,6.6429977074733415e-09
1879,2.016077260691418e-08,1.221865097988939e-08
1880,5.134277003548959e-09,2.5671385017744797e-09
1881,3.4862537301449947e-09,6.972507571312292e-10
1882,1.3310770707875008e-08,6.655385131892899e-09
1883,2.211768546089843e-08,9.479008689083912e-09
1884,8.582206056928499e-09,1.4523733327109767e-08
1885,3.86738152613475e-09,2.5782542767416317e-09
1886,1.677900662855336e-08,7.098810428374236e-09
