year,pourrez_VERB écrire_VERB,pourrez_VERB décrire_VERB
1800,3.144164484325529e-09,0.0
1801,4.524246932646747e-08,0.0
1802,2.2378401354217203e-09,0.0
1803,1.3652374342143503e-08,0.0
1804,4.943701892301533e-09,0.0
1805,0.0,0.0
1806,3.7461699520235925e-08,0.0
1807,8.540865792383556e-09,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,4.680253518074551e-09,0.0
1811,1.2535384286138651e-08,0.0
1812,0.0,0.0
1813,0.0,2.8757416448144113e-09
1814,0.0,0.0
1815,0.0,0.0
1816,2.3176038865813098e-09,0.0
1817,0.0,0.0
1818,1.0729059418679299e-08,0.0
1819,8.280840013696888e-09,0.0
1820,5.933240565525466e-09,0.0
1821,1.3806083387635226e-08,0.0
1822,1.0025615893027862e-09,0.0
1823,8.894418535021487e-09,0.0
1824,2.5263338088166165e-09,1.1789557774477544e-08
1825,4.4027217427355936e-09,0.0
1826,4.403992281964975e-09,0.0
1827,3.6869092667757286e-08,0.0
1828,9.172301251858528e-10,0.0
1829,1.714635211591542e-09,0.0
1830,0.0,2.0873671680021744e-09
1831,0.0,0.0
1832,1.3529969367098715e-09,1.0823975493678972e-08
1833,1.9692167896323554e-08,0.0
1834,3.733812370398937e-09,0.0
1835,9.075705520444899e-09,7.563087933704082e-10
1836,7.392825018825988e-09,1.3441500135158435e-09
1837,1.0436836284100082e-08,0.0
1838,3.1560809521380406e-09,1.2624323808552163e-09
1839,1.7478688718597368e-08,0.0
1840,7.0066574764382494e-09,0.0
1841,1.1556987367100646e-08,1.2841097074556274e-09
1842,1.341653010911159e-09,0.0
1843,4.7255288571079745e-09,0.0
1844,1.097712254427563e-09,5.488561161115513e-09
1845,2.2320911785556063e-09,0.0
1846,4.6836010625384006e-09,0.0
1847,1.6179670936367074e-09,1.0786447290911383e-09
1848,2.413566591030758e-08,0.0
1849,4.1897072478036534e-09,0.0
1850,5.431196825611551e-09,0.0
1851,1.1608989325395669e-08,0.0
1852,3.2552727180501506e-09,0.0
1853,1.0152284346531815e-08,1.1943863675867306e-09
1854,4.676098175337984e-09,4.1565315633818045e-09
1855,1.326734277995456e-08,0.0
1856,2.5885946719483854e-09,1.5531567143511893e-09
1857,6.8341128311999455e-09,0.0
1858,5.872411001917044e-09,9.787352039936081e-10
1859,1.5276520048956854e-09,1.5276520048956854e-09
1860,1.2816115280145368e-08,1.8308735638683515e-09
1861,1.226150558863992e-08,2.8295783494058924e-09
1862,2.5752521892741242e-08,0.0
1863,2.4973103585068657e-09,1.4983863039219614e-09
1864,4.794728170054441e-09,9.589455896019672e-10
1865,3.765475486972036e-09,0.0
1866,1.2650593461671633e-08,0.0
1867,1.6984840200962026e-08,4.85281148598915e-10
1868,3.457911734727759e-09,4.93987406535723e-10
1869,8.30198221279943e-09,0.0
1870,1.3188312664169644e-08,0.0
1871,1.4869648623516696e-08,0.0
1872,2.4189357183956872e-09,0.0
1873,1.5563610844537834e-08,0.0
1874,3.5847653734322193e-09,0.0
1875,5.149374260327022e-09,0.0
1876,9.673623679873344e-09,0.0
1877,8.040260901509555e-09,0.0
1878,1.69094480639842e-08,1.8117265465633636e-09
1879,6.720257683667796e-09,0.0
