year,nouveaux_ADJ essais_NOUN,nouveaux_ADJ décès_NOUN
1800,3.049839598645576e-07,0.0
1801,3.952763165671058e-07,0.0
1802,3.177732992298843e-07,0.0
1803,4.485780262797334e-07,0.0
1804,4.9189834250285e-07,0.0
1805,3.0418790153419195e-07,0.0
1806,4.956471002515173e-07,0.0
1807,2.761546511464985e-07,0.0
1808,3.648379180987149e-07,0.0
1809,4.3147482253758085e-07,0.0
1810,4.0016168201262303e-07,0.0
1811,2.131015204298592e-07,0.0
1812,6.614676557603616e-07,0.0
1813,5.722725924250938e-07,0.0
1814,5.601085204531842e-07,0.0
1815,5.718113791353119e-07,0.0
1816,4.6583839008462746e-07,0.0
1817,3.1604531436357775e-07,0.0
1818,3.314087262396015e-07,0.0
1819,3.829888512996149e-07,0.0
1820,2.812356028059071e-07,0.0
1821,2.623155928027643e-07,0.0
1822,2.536480820936049e-07,0.0
1823,3.6269461833882133e-07,3.9530747564242574e-09
1824,2.9137049484262434e-07,8.421112696055388e-10
1825,2.7384928591445146e-07,8.805443041381977e-10
1826,4.0957126046237136e-07,0.0
1827,3.198393647707576e-07,0.0
1828,3.650575806091183e-07,1.8344602503717056e-09
1829,4.0979781701366846e-07,0.0
1830,4.373034165894296e-07,3.1310507520032616e-09
1831,5.815519943386249e-07,1.5591206103948707e-09
1832,4.464890019928447e-07,6.088486514954639e-08
1833,3.463505010570245e-07,9.266902800675325e-09
1834,5.750071050414363e-07,9.334530925997342e-10
1835,3.3504478125223613e-07,1.2100940693926532e-08
1836,3.508231412041596e-07,0.0
1837,3.6807244185865784e-07,6.957891152126194e-09
1838,3.774672754364161e-07,6.312161904276081e-10
1839,4.6073821757808275e-07,3.4957374772659477e-09
1840,3.6625708998982986e-07,5.095750932326837e-09
1841,4.6356361282917646e-07,0.0
1842,4.514662510501921e-07,3.3541325272778977e-09
1843,4.6841803902353263e-07,4.134837805480629e-09
1844,4.253634960371677e-07,5.488561161115513e-09
1845,3.973122248979166e-07,3.348136878855712e-09
1846,4.6426195865478803e-07,5.854501328173001e-10
1847,5.657491692900862e-07,5.393223645455691e-10
1848,3.9180230437807495e-07,1.206783295515379e-08
1849,5.396343230046341e-07,1.0893239199560867e-08
1850,3.421654106716687e-07,2.7155984128057753e-09
1851,4.5662025272008577e-07,0.0
1852,5.29958402717412e-07,0.0
1853,5.016422732762038e-07,2.9859659189668264e-09
1854,6.115297087605498e-07,5.195664343204953e-09
1855,4.919530560698604e-07,7.429711956774554e-09
1856,3.768993841468671e-07,3.1063134287023786e-09
1857,6.74624561103343e-07,1.0739319655783675e-08
1858,4.374946471763508e-07,4.893676130990343e-09
1859,8.086371217075339e-07,0.0
1860,6.224970194868007e-07,3.661747127736703e-09
1861,4.046296853132958e-07,4.2443675241088386e-09
1862,5.109842589057223e-07,0.0
1863,3.880820387269779e-07,0.0
1864,3.615224904995884e-07,9.589455896019672e-10
1865,5.144580978999613e-07,9.41368871743009e-10
1866,4.1600989408863143e-07,7.298419202328432e-09
1867,3.5910804641048344e-07,8.249779526181555e-09
1868,3.88274092988361e-07,1.679557115608077e-08
1869,3.403812950386609e-07,0.0
1870,4.805132940433055e-07,1.7202146374017957e-09
1871,3.6749272314118286e-07,1.5931766128574054e-08
1872,3.719113665923146e-07,1.8142017887967654e-09
1873,4.028580999904108e-07,1.6760813181804224e-08
1874,3.7460799617861085e-07,4.182226565063729e-09
1875,4.771753629451148e-07,1.1443054503956773e-08
1876,4.806581825889111e-07,6.04601479992084e-10
1877,4.657166403632118e-07,3.0924081073635534e-09
1878,4.3904174740205804e-07,8.4547240319921e-09
1879,4.0749199747835974e-07,1.221865053580018e-09
1880,3.7351866843948756e-07,6.417846254436199e-09
1881,2.900563131902345e-07,1.1156012114099667e-08
1882,3.4075572852287905e-07,5.324308105514319e-09
1883,4.06333508617962e-07,7.58320695126713e-09
1884,4.508958948434838e-07,2.5086448474098688e-08
1885,4.2090001239891706e-07,7.090199094506033e-09
1886,4.756202720557212e-07,6.4534639854230136e-09
1887,4.5310737539772106e-07,1.0446279397058333e-08
1888,3.7282815279482406e-07,1.5851536971922542e-08
1889,3.7528168217448865e-07,1.8795409673089125e-09
1890,4.3521125192569343e-07,3.9326319978272295e-09
1891,4.474702387513574e-07,2.5496880162734215e-09
1892,4.024384907541645e-07,3.761107425503951e-09
1893,4.797406492618173e-07,1.23168328869383e-08
1894,4.934105275467005e-07,9.452309157609307e-09
1895,6.247321768793057e-07,7.22233739480771e-09
1896,4.6763441474695355e-07,2.358811590497112e-09
1897,4.952706420535691e-07,6.992056267307589e-09
