year,serais_VERB en_PRON,serais_VERB dans_ADP
1800,0.0,9.118077315406481e-08
1801,0.0,8.334139067756041e-08
1802,0.0,3.8043282302169246e-08
1803,0.0,5.070882025393075e-08
1804,0.0,1.1370514130248921e-07
1805,0.0,1.7057265822018053e-08
1806,2.881669125542885e-09,3.458002950651462e-08
1807,0.0,2.2775640928784924e-08
1808,0.0,3.3991110370834576e-08
1809,0.0,4.292158095609011e-08
1810,1.6380887757350138e-08,4.212228077449254e-08
1811,0.0,3.008491944456182e-08
1812,0.0,8.00162425207418e-09
1813,0.0,3.163315653864629e-08
1814,0.0,4.405347908686963e-08
1815,0.0,8.091670622434322e-08
1816,0.0,4.1716869958463576e-08
1817,7.784366928831332e-09,9.652615062805125e-08
1818,0.0,5.364529798157491e-08
1819,9.315945348475907e-09,1.1386155129855524e-08
1820,0.0,6.645229433388522e-08
1821,1.97229765852569e-09,1.2129630988511053e-07
1822,0.0,7.619468078701175e-08
1823,9.882686891060644e-10,1.087095569118901e-07
1824,5.894778887238772e-09,5.3053010873327366e-08
1825,2.641632912414593e-09,8.541280038798504e-08
1826,0.0,6.165588928297439e-08
1827,2.7651818612639545e-09,3.3182182335167454e-08
1828,4.586150570418113e-09,5.595103758082587e-08
1829,8.57317605795771e-10,3.0006116702452346e-08
1830,2.0873671680021744e-09,6.262101237552997e-08
1831,3.1182412207897414e-09,5.3010101197514814e-08
1832,1.3529969367098715e-09,5.141388470519814e-08
1833,2.3167257001688313e-09,5.79181431703546e-08
1834,4.667265685043276e-09,7.187588835222414e-08
1835,4.5378527602224494e-09,5.294161553592858e-08
1836,1.3441500135158435e-09,4.032450107160912e-08
1837,9.045257876039159e-09,7.584100814028716e-08
1838,1.2624323808552163e-09,4.607878167917079e-08
1839,6.9914751765765e-10,6.781731087812659e-08
1840,1.2739377330817092e-09,5.095751021144679e-08
1841,0.0,5.778493772368165e-08
1842,6.708265054555795e-10,9.525736288651387e-08
1843,0.0,4.902736350231862e-08
1844,3.2931368743049916e-09,7.683986069650928e-08
1845,2.7901139176833567e-09,7.14269177137794e-08
1846,1.1709002656346001e-09,7.025401771443285e-08
1847,5.393223645455691e-10,4.7460368080010085e-08
1848,8.045221711050488e-10,7.240699773092274e-08
1849,8.379414939696517e-10,5.279031256577582e-08
1850,2.0366988096043315e-09,5.295417082606946e-08
1851,6.449438760824933e-10,5.93348374877678e-08
1852,3.2552727180501506e-09,5.7943854159248076e-08
1853,5.971931837933653e-10,8.062107781370287e-08
1854,2.0782657816909023e-09,6.702406807335137e-08
1855,1.5920811335945473e-09,6.262185792138553e-08
1856,0.0,6.419714537742038e-08
1857,1.4644527812635033e-09,7.51752367023073e-08
1858,4.893676019968041e-10,5.334106845111819e-08
1859,1.018434669930457e-09,7.078121200265741e-08
1860,1.373155145145688e-09,7.735440732403731e-08
1861,9.431927461278633e-10,7.262584489353685e-08
1862,4.517986262886353e-10,5.91856199605445e-08
1863,4.994620828036034e-10,8.640694204586907e-08
1864,0.0,6.041356925834407e-08
