year,ces_DET eaux_NOUN,ces_DET dos_NOUN
1800,5.684649579507095e-06,1.2576657937302116e-08
1801,5.643402516852802e-06,1.4287095506659853e-08
1802,6.4516930251556914e-06,0.0
1803,6.761826284673589e-06,1.1702034896643454e-08
1804,5.571551923821971e-06,4.943701892301533e-09
1805,5.142765701293683e-06,0.0
1806,5.339733093023824e-06,0.0
1807,6.146575913135166e-06,8.540865792383556e-09
1808,5.429513464605407e-06,0.0
1809,5.292908269893815e-06,4.51806094758922e-08
1810,5.354210145469551e-06,2.3401267590372754e-09
1811,7.263001293722482e-06,0.0
1812,6.075900216728769e-06,2.6672082320544632e-09
1813,5.115944532008143e-06,0.0
1814,6.104553847308125e-06,3.1466771410748606e-09
1815,9.742371503307368e-06,0.0
1816,5.126539804223285e-06,0.0
1817,4.107031941202877e-06,1.556873407970727e-09
1818,4.881721963556629e-06,2.384235475716423e-09
1819,4.499601629959216e-06,8.280840013696888e-09
1820,3.7462481827787997e-06,0.0
1821,3.828229665714389e-06,6.903041693817613e-09
1822,5.578252512350446e-06,2.0051231786055723e-09
1823,3.3670313541733776e-06,9.882686891060644e-10
1824,3.2926551227774326e-06,6.736890156844311e-09
1825,3.863828311523321e-06,4.4027217427355936e-09
1826,5.975336648589291e-06,4.403992170942672e-09
1827,4.558863054171525e-06,1.5669363917503176e-08
1828,3.9239105262822704e-06,9.172301140836225e-09
1829,4.626085683412384e-06,6.001223074036943e-09
1830,4.214394380142039e-06,6.262101504006523e-09
1831,5.174721195544407e-06,2.182768810143898e-08
1832,3.6436207437873236e-06,9.470978667991403e-09
1833,6.72777133559066e-06,5.791814139399776e-09
1834,3.985844699627705e-06,1.0267984240641681e-08
1835,4.484911244162504e-06,7.563087933704082e-09
1836,3.472611638244416e-06,1.3441500135158435e-09
1837,4.68266074449275e-06,2.087367279024477e-09
1838,4.6318646127474494e-06,1.8936485712828244e-09
1839,3.5265000803974544e-06,4.894032734625853e-09
1840,4.054306941725372e-06,4.458782232319436e-09
1841,3.982024338711199e-06,6.420548537278137e-10
1842,3.382978036370332e-06,3.3541325272778977e-09
1843,3.3887948802657775e-06,1.1813822142769936e-09
1844,3.5006043503926776e-06,1.097712254427563e-09
1845,3.841986853103663e-06,8.928364547688972e-09
1846,4.366872587979742e-06,5.2690514174003056e-09
1847,3.4074387258442584e-06,8.089835468183537e-09
1848,4.2366138472971215e-06,2.413566457803995e-09
1849,4.424331052632624e-06,8.379414939696517e-10
1850,3.560828531590232e-06,2.0366988096043315e-09
1851,4.572652017031942e-06,7.739326512989919e-09
1852,4.258547846802685e-06,1.1067927019325907e-08
1853,4.6945356189098675e-06,2.9859659189668264e-09
1854,4.657913279970671e-06,4.1565315633818045e-09
1855,4.0794425331114326e-06,3.1841622671890946e-09
1856,4.2546141116872604e-06,3.6240324075009767e-09
1857,4.6891776719348854e-06,1.3180074920349227e-08
1858,3.8738339753763285e-06,1.2234190105431253e-08
1859,4.827889483749459e-06,1.3748868488150379e-08
1860,4.979060690857295e-06,9.154368152408665e-09
1861,4.061859499415732e-06,1.4619487842537637e-08
1862,4.4687403146781435e-06,9.035972525772706e-10
1863,4.13854286307469e-06,1.0988166210257333e-08
1864,4.623076790721825e-06,4.794728170054441e-09
1865,4.041296563173091e-06,6.118897888374164e-09
1866,4.033106449696788e-06,2.4328064285317197e-08
1867,3.77936947870694e-06,8.73506067478047e-09
1868,4.232484059230046e-06,1.8277533708754845e-08
1869,3.72856680996847e-06,4.395167119142229e-09
1870,4.470837893677526e-06,5.734048791339319e-09
1871,3.6621818253479432e-06,4.248470908407853e-09
