year,des_DET hivers_NOUN,des_DET divers_ADJ
1800,2.92407296598185e-07,2.3266816828737547e-07
1801,2.0240052123199348e-07,1.8811342994418112e-07
1802,2.64065135979763e-07,1.2755688771903806e-07
1803,3.413093514481602e-07,1.9698425779424156e-07
1804,3.6336209596754543e-07,1.1864884363887995e-07
1805,3.695741011000564e-07,2.0468719963417925e-07
1806,1.930718269704812e-07,1.7001847130160286e-07
1807,2.9608332852149033e-07,1.4519471358553915e-07
1808,2.1301095110004553e-07,1.4956088678630408e-07
1809,1.6265019753269883e-07,1.5361406724423432e-07
1810,1.638088740207877e-07,1.7550950648370645e-07
1811,3.0586337018689846e-07,1.5293167621166504e-07
1812,1.0935553973467904e-07,1.5203087144755045e-07
1813,1.782959770935122e-07,1.380355971747349e-07
1814,3.4613449440001887e-08,1.0069366762621712e-07
1815,2.400528842372296e-07,1.9420009689241624e-07
1816,2.6420683063577144e-07,2.6884205617250245e-07
1817,2.6311161072101186e-07,2.055072965134741e-07
1818,2.3484718747468492e-07,1.1563542035020191e-07
1819,1.2835301888003414e-07,1.6044127271186426e-07
1820,1.7443727085009186e-07,2.2190319004522507e-07
1821,1.2031015872437933e-07,1.4200543052567127e-07
1822,1.3334069137727056e-07,1.162971443591232e-07
1823,1.630643282624078e-07,1.4033415407510574e-07
1824,1.1368502228492616e-07,1.6505380706632877e-07
1825,1.6730341378945468e-07,1.9548083329823385e-07
1826,2.237228002854863e-07,1.55901327403285e-07
1827,1.82502002843421e-07,1.5945881770562664e-07
1828,1.7977710786709622e-07,1.696875764345407e-07
1829,1.5345984971659732e-07,2.2118794262837582e-07
1830,2.1082408507844264e-07,2.1186776244519478e-07
1831,2.307498476739056e-07,1.3876173188265284e-07
1832,1.3259369346929617e-07,2.0159653857376725e-07
1833,1.8765477705073863e-07,1.8302132964720386e-07
1834,1.4748559129529326e-07,1.8389025235876488e-07
1835,1.1798417176578369e-07,1.550433026409337e-07
1836,1.250059451507468e-07,1.5928177710122782e-07
