year,suis_VERB en_ADP,suis_VERB dans_ADP
1800,1.7890296248879167e-06,1.5752264062030008e-06
1801,2.7335975119058276e-06,2.274029384352616e-06
1802,1.8462180833012098e-06,1.727612584545568e-06
1803,1.963991508091567e-06,1.648036686674459e-06
1804,2.5904998892656295e-06,2.8895938157802448e-06
1805,2.402231757514528e-06,2.3482170945499092e-06
1806,3.143901039948105e-06,2.674188863238669e-06
1807,1.8078164885082515e-06,1.2384255114739062e-06
1808,1.5477285160159227e-06,1.4162962997943396e-06
1809,1.3938217762188287e-06,1.7055680245903204e-06
1810,2.4384121388720814e-06,2.620942041176022e-06
1811,1.9981400782853598e-06,1.8226447764391196e-06
1812,2.123097829098697e-06,2.0964257601008285e-06
1813,1.7455752185924212e-06,1.7139419696832192e-06
1814,1.5166983757808339e-06,1.4569114910045755e-06
1815,2.055284312518779e-06,1.4565007404598873e-06
1816,1.8146838556276634e-06,1.5945114455462317e-06
1817,2.9471614197973395e-06,2.3757888811815064e-06
1818,2.607161604828434e-06,2.477220732544083e-06
1819,2.214089590779622e-06,2.111614094246761e-06
1820,3.0010330647201044e-06,2.3922825675981585e-06
1821,4.298622570786392e-06,3.448562438279623e-06
1822,3.0979153962107375e-06,2.5866088435577694e-06
1823,3.015207767020911e-06,2.3629504539712798e-06
1824,3.082127250308986e-06,1.9343294752616202e-06
1825,2.6900629563897382e-06,2.012043751165038e-06
1826,1.918378984555602e-06,1.5801523431946407e-06
1827,2.344874246773543e-06,1.4213035228749504e-06
1828,2.511376123948139e-06,1.984886011996423e-06
1829,1.980403567358735e-06,1.5963254327289178e-06
1830,2.635301143527613e-06,2.059187636405113e-06
1831,2.8719000511046033e-06,2.0019108433189103e-06
1832,2.9874172469135374e-06,2.4854552975739352e-06
1833,2.559981794547639e-06,1.9506830994941993e-06
1834,2.2356200588546926e-06,1.587803694746981e-06
1835,2.7869978111993987e-06,2.0715297068818472e-06
1836,3.0922171845304547e-06,1.756131950969575e-06
1837,2.4596145067334874e-06,1.610055960554746e-06
1838,2.1764333268947667e-06,1.4025623613633798e-06
1839,2.4756814127613325e-06,1.5486117490581819e-06
1840,2.0058148493262706e-06,1.4032424360266305e-06
1841,1.957625272552832e-06,1.3829861700287438e-06
1842,2.347221879972494e-06,1.5368635786217055e-06
1843,2.4667260731803253e-06,1.5836428701732075e-06
1844,2.0302188659115927e-06,1.322194407293864e-06
1845,1.9140181848342763e-06,1.5245183249135152e-06
1846,2.2112451460998273e-06,1.4706507727169083e-06
1847,1.6427759419457288e-06,1.0915885013673687e-06
1848,2.071644530587946e-06,1.6074352515715873e-06
1849,1.7823015241447138e-06,1.5434882243425818e-06
1850,2.071322796837194e-06,1.403285523338127e-06
1851,1.960629333552788e-06,1.1815371863121982e-06
1852,2.1810326416016323e-06,1.3860951639799168e-06
1853,2.081218326566159e-06,1.3825022051605629e-06
1854,2.2933663785806857e-06,1.4558252132701455e-06
1855,2.624811031637364e-06,1.7268773717660224e-06
1856,2.3375009732262697e-06,1.7918251842274913e-06
1857,2.328968093934236e-06,1.5220545037664124e-06
1858,2.7399692044127733e-06,1.6966374687399366e-06
1859,2.4717410269659013e-06,1.4777486967432196e-06
1860,2.4794605906208744e-06,1.5919445104373153e-06
1861,2.984733555422281e-06,1.7510373027107562e-06
1862,3.1910537927615223e-06,2.074207486657542e-06
1863,2.757530182861956e-06,1.878976377156505e-06
1864,2.561823066571378e-06,1.7745288687365246e-06
1865,2.7233802484261105e-06,1.9396904917812208e-06
1866,2.640081675053807e-06,1.6333862049577874e-06
1867,2.4991979898913996e-06,1.7780701000447152e-06
1868,2.305439238625695e-06,1.6207726503125741e-06
1869,2.5858234948827885e-06,1.7541600527692935e-06
1870,2.488003701728303e-06,1.6829433207021793e-06
1871,2.369584535699687e-06,1.728065512907051e-06
1872,2.7134410629514605e-06,1.6370147477573482e-06
1873,2.5925385216396535e-06,1.4516060673486209e-06
