year,certains_DET doutes_NOUN
1800,3.144164484325529e-09
1801,2.1430643926123594e-08
1802,8.951360541686881e-09
1803,2.145373123596528e-08
1804,7.4155526164076946e-09
1805,2.55858996212055e-08
1806,5.76333825108577e-09
1807,0.0
1808,1.3596443970698147e-08
1809,2.9367397402779716e-08
1810,4.680253518074551e-09
1811,1.504245972228091e-08
1812,3.467370746079723e-08
1813,0.0
1814,3.1466771410748606e-09
1815,1.0788894222457657e-08
1816,2.3176038865813098e-08
1817,1.556873407970727e-09
1818,1.5497530370112145e-08
1819,2.070210003424222e-09
1820,1.542642635854463e-08
1821,2.6626018723163725e-08
1822,3.208197085768916e-08
1823,5.0401702367253165e-08
1824,2.863178316658832e-08
1825,1.4969252948304757e-08
1826,5.284790383086602e-09
1827,1.3825909916942436e-08
1828,3.118582370120748e-08
1829,6.001223074036943e-09
1830,2.400472176589119e-08
1831,2.6505050598757407e-08
1832,5.411987746839486e-09
1833,1.853380560135065e-08
1834,1.6802156110884425e-08
1835,1.5882484660778573e-08
1836,2.6210924986003192e-08
1837,2.1569462660409044e-08
1838,2.1461350030449466e-08
1839,1.0487212875887053e-08
1840,3.694419348221345e-08
1841,1.733548060656176e-08
1842,3.7566282973244824e-08
1843,3.780423002419653e-08
1844,4.171306500211358e-08
1845,5.1896119401817487e-08
1846,4.742146231251354e-08
1847,3.28986633491013e-08
1848,3.137636639394259e-08
1849,3.854530916669319e-08
1850,5.159636984330973e-08
1851,5.1595508532287226e-08
1852,3.6459056218518526e-08
1853,6.569125332589465e-08
1854,3.7408785236170417e-08
1855,4.617035287424187e-08
1856,3.106313400946803e-08
1857,4.246912777006173e-08
1858,3.425573136262017e-08
1859,4.3283474582267445e-08
1860,6.68268860248844e-08
1861,3.961409689168249e-08
1862,5.6474828591390747e-08
1863,4.744889692265275e-08
1864,7.815406488642651e-08
1865,6.777855587891679e-08
1866,7.68766827974332e-08
1867,5.968958127766655e-08
1868,5.4338615607107954e-08
1869,6.690421150423731e-08
1870,7.052879968938441e-08
1871,6.585130152281238e-08
1872,5.5030786705323465e-08
1873,9.398026890039546e-08
1874,6.930546658789893e-08
1875,5.206589770434533e-08
1876,4.171750367376603e-08
1877,6.308512467967375e-08
1878,8.515115013096874e-08
1879,5.987138762542088e-08
1880,8.728270817215389e-08
1881,8.088109026971324e-08
1882,8.851662069986332e-08
1883,6.635305993540896e-08
1884,8.582206323382024e-08
1885,8.637151482915328e-08
1886,8.583106669846075e-08
1887,1.0315700893492874e-07
1888,1.1032669711141807e-07
1889,6.32778824893876e-08
1890,7.73417607735638e-08
1891,9.433845438167054e-08
1892,1.1346007422474713e-07
1893,8.313862320807885e-08
1894,6.301539290376468e-08
1895,1.0412203343967974e-07
1896,1.2088909517871116e-07
1897,9.031405978632279e-08
1898,8.883617441668434e-08
1899,1.1607914451872148e-07
1900,9.603448158923555e-08
1901,1.235111324326965e-07
1902,6.923500139865979e-08
1903,7.830319592727619e-08
1904,1.0373026437804356e-07
1905,9.28936614297271e-08
1906,7.767718379625421e-08
1907,8.074263868618203e-08
1908,7.317969608067187e-08
1909,9.076622775605614e-08
1910,5.985448914280767e-08
1911,7.661338985442967e-08
1912,7.657849243614123e-08
1913,8.272664109298944e-08
1914,8.170027143705738e-08
1915,7.657494904833584e-08
1916,1.0877587275359701e-07
1917,7.457168749169796e-08
1918,5.858051999041436e-08
1919,8.102906356999284e-08
1920,6.966453103274262e-08
1921,6.133925256612827e-08
1922,8.337066859098741e-08
1923,8.068120793680578e-08
1924,1.0442215969685975e-07
1925,9.78837855214465e-08
1926,9.02837182792382e-08
1927,9.142364654213253e-08
1928,7.769708076921233e-08
1929,1.0360578084345207e-07
1930,1.0503603731226718e-07
1931,9.922660115790904e-08
1932,1.194589496211762e-07
1933,1.0667716132672922e-07
1934,1.1023053581027398e-07
1935,9.215579055421586e-08
1936,1.1154737356022792e-07
1937,9.191516303630465e-08
1938,9.464606876008475e-08
1939,8.870549450534781e-08
1940,1.1918179954051311e-07
1941,1.239631122196272e-07
1942,7.282108316353231e-08
1943,1.0451646703657502e-07
1944,1.0603513977969214e-07
1945,1.2199623133923865e-07
1946,1.2389783066169002e-07
1947,1.0967201369282975e-07
1948,1.1959076329226548e-07
1949,1.1976750058373398e-07
1950,9.784532917223032e-08
1951,9.915103937885306e-08
1952,9.173979209631256e-08
1953,9.157753311228589e-08
1954,1.3974727153254207e-07
1955,7.602342133594675e-08
1956,1.177354116421725e-07
1957,6.537927887961814e-08
1958,9.182190230383469e-08
1959,9.223389962897954e-08
1960,1.273433318793593e-07
1961,1.0908609837656513e-07
1962,1.1035004154891226e-07
1963,1.1897538065852586e-07
1964,1.2532974791312768e-07
1965,1.1491290941023635e-07
1966,1.069041406509541e-07
1967,1.1241165376318918e-07
1968,1.1138711264457868e-07
1969,1.1218141882096688e-07
1970,1.3428276712801335e-07
1971,7.604828233809258e-08
1972,9.388168642487926e-08
1973,1.0089162727489054e-07
1974,9.225937347423496e-08
1975,9.937975331553162e-08
1976,9.198778228025617e-08
1977,9.696690339566771e-08
1978,8.792074868146926e-08
1979,8.719440280913204e-08
1980,9.607904916109078e-08
1981,9.235302500520959e-08
1982,9.43540339193305e-08
1983,1.0104505321351098e-07
1984,8.756503078188871e-08
1985,8.181158817066603e-08
1986,6.354154447052451e-08
1987,7.882953623195021e-08
1988,8.335209833454371e-08
1989,6.805271413057312e-08
1990,7.519138656153501e-08
1991,8.6749682992604e-08
1992,6.391535434246975e-08
1993,7.921066935701049e-08
1994,8.070637758095245e-08
1995,7.808329405278869e-08
1996,7.846995764282383e-08
1997,8.295167219785071e-08
1998,7.8197318842399e-08
1999,7.76934228063908e-08
2000,6.538686525559001e-08
2001,8.324302269713257e-08
2002,5.432714522690674e-08
2003,6.625407511506864e-08
2004,5.285749582473187e-08
2005,6.620512182919924e-08
2006,6.135656027694836e-08
2007,5.033044137014997e-08
2008,5.704969208153443e-08
2009,4.3867371513073294e-08
2010,3.873510134866365e-08
2011,4.321088264980233e-08
2012,4.7999964669642736e-08
2013,4.6299474476541036e-08
2014,4.547434917512305e-08
2015,4.965128996836654e-08
2016,5.240490463798153e-08
2017,3.874041470952605e-08
2018,4.93060143824664e-08
2019,5.255034940532255e-08
