year,tes_DET doutes_NOUN
1800,1.5720821977538435e-08
1801,4.048010393553625e-08
1802,2.2378401354217203e-08
1803,4.095712458074274e-08
1804,7.662737999680758e-08
1805,2.55858996212055e-08
1806,2.0171682990621775e-08
1807,2.2775640928784924e-08
1808,2.945896149242344e-08
1809,1.8072244589717457e-08
1810,1.6380887757350138e-08
1811,1.504245972228091e-08
1812,1.0668832928217853e-08
1813,2.8757416448144113e-09
1814,0.0
1815,0.0
1816,0.0
1817,9.341240669868967e-09
1818,3.2187178256037896e-08
1819,2.484252026313527e-08
1820,1.1866481131050932e-09
1821,3.550135829755163e-08
1822,2.5064039732569654e-08
1823,2.9648061783404955e-09
1824,1.3473780313688621e-08
1825,1.4969252504215547e-08
1826,1.8496767562048433e-08
1827,1.3825909750408982e-08
1828,2.659967268670016e-08
1829,2.571952872898464e-09
1830,1.2524203008013046e-08
1831,3.1182412207897414e-09
1832,2.1647950987357945e-08
1833,8.108540172635514e-09
1834,6.534171426153534e-09
1835,1.8907719834260206e-08
1836,2.2178475223011418e-08
1837,2.504840823647214e-08
1838,1.2624323808552163e-08
1839,1.6779539646627484e-08
1840,1.52872523528913e-08
1841,1.733548060656176e-08
1842,2.2137275124123335e-08
1843,1.1813821976236483e-08
1844,1.5367972006075092e-08
1845,1.4508592383055685e-08
1846,2.1076204781422803e-08
1847,1.5101026207275936e-08
1848,4.82713291560799e-09
1849,4.1897072478036534e-09
1850,9.504594444820214e-09
1851,1.483370937194195e-08
1852,2.669323606596663e-08
1853,8.957897534855874e-09
1854,8.832629738719788e-09
1855,1.2205955357558196e-08
1856,2.019103817474388e-08
1857,1.513267733344037e-08
1858,8.31924928945682e-09
1859,1.8331824946926645e-08
1860,2.242820151820979e-08
1861,3.065376574795664e-08
1862,2.078273753092219e-08
1863,3.745965698742637e-08
1864,2.1576274988888144e-08
1865,2.8711750421628324e-08
1866,1.2650593461671633e-08
1867,2.523461972714358e-08
1868,1.531360938056281e-08
1869,1.9534076356464425e-08
1870,1.2614907340946502e-08
1871,2.1242353653860846e-08
1872,4.233137507192453e-09
1873,1.1972009328342637e-08
1874,9.559374958278966e-09
1875,8.010138052849669e-09
1876,8.464420497844571e-09
1877,1.1132669008873108e-08
1878,4.831270938865373e-09
1879,8.553055041993218e-09
1880,1.9253538763308597e-09
