year,mêmes_ADJ essais_NOUN,mêmes_ADJ décès_NOUN
1800,7.860410988769218e-08,0.0
1801,1.7620751657787537e-07,0.0
1802,9.175144555229053e-08,0.0
1803,1.0141763828741546e-07,0.0
1804,7.909923027682453e-08,0.0
1805,7.391482248486625e-08,0.0
1806,4.3225035994964855e-08,0.0
1807,1.2526602688467392e-07,0.0
1808,1.6995555540688656e-07,0.0
1809,2.0331275152329908e-07,0.0
1810,1.544483669846386e-07,0.0
1811,8.273353557797236e-08,0.0
1812,1.5736528080623202e-07,0.0
1813,1.32284118992132e-07,0.0
1814,8.181360300341112e-08,0.0
1815,4.045835311217161e-08,0.0
1816,8.806894413737609e-08,0.0
1817,7.005930380277192e-08,0.0
1818,4.887682791832049e-08,0.0
1819,2.794783426907088e-08,0.0
1820,7.831877457675773e-08,0.0
1821,1.015733275266939e-07,0.0
1822,4.511527151862538e-08,0.0
1823,6.819053943729614e-08,0.0
1824,5.894778887238772e-08,0.0
1825,6.95629991387392e-08,0.0
1826,6.429828403042848e-08,0.0
1827,8.848582078169187e-08,0.0
1828,5.961995697134626e-08,0.0
1829,1.0459275046059702e-07,0.0
1830,4.487839366795754e-08,0.0
1831,7.016042502527853e-08,0.0
1832,1.3935868370396065e-07,0.0
1833,1.285782786908385e-07,1.1583628500844156e-09
1834,4.853955948291855e-08,9.334530925997342e-10
1835,5.596685070941021e-08,0.0
1836,7.796069922960669e-08,0.0
1837,9.532310807358613e-08,0.0
1838,9.531364675297027e-08,0.0
1839,7.760537290568692e-08,0.0
1840,5.6053259755994844e-08,4.458782232319436e-09
1841,5.714288064950779e-08,7.0626033910059505e-09
1842,6.909512784147864e-08,0.0
1843,6.084118386873172e-08,0.0
1844,4.061535330279753e-08,0.0
1845,2.9017185099178278e-08,4.464182357111213e-09
1846,2.5759806732139623e-08,0.0
1847,7.011190827910241e-08,0.0
1848,6.999342616609283e-08,0.0
1849,5.9493846293889874e-08,0.0
1850,4.1412874907109654e-08,0.0
1851,2.7087642351375507e-08,6.449438760824933e-10
1852,6.966283594422862e-08,3.2552727180501506e-09
1853,6.151089837480583e-08,0.0
1854,7.897410081447731e-08,0.0
1855,4.6701046585440054e-08,0.0
1856,5.177189138505511e-08,0.0
1857,6.492407322866711e-08,0.0
1858,5.236233491245912e-08,1.9574704079872163e-09
1859,7.536416291031856e-08,5.601390462572908e-09
1860,9.017052260418268e-08,4.577183909670879e-10
1861,7.498382359472089e-08,4.715963730639317e-10
1862,6.099281457672134e-08,0.0
1863,4.4951587341302e-08,9.989241656072068e-10
1864,4.17141343689309e-08,0.0
1865,7.248540573323581e-08,0.0
1866,6.860514406570317e-08,5.838735717134114e-09
1867,6.79393608038481e-08,1.94112459439566e-09
1868,8.644779825317528e-08,9.87974813071446e-10
1869,6.104399119521986e-08,0.0
1870,5.676708170199163e-08,0.0
1871,5.947859449406678e-08,0.0
1872,2.8422494358082417e-08,0.0
1873,7.662085826920517e-08,0.0
1874,5.138164027584935e-08,0.0
1875,4.577221685009292e-08,0.0
1876,5.985554785148395e-08,0.0
1877,6.926993734168718e-08,2.4739263970730008e-09
1878,2.8383716710322915e-08,0.0
1879,5.1929263444883134e-08,6.109325489944695e-09
1880,4.4283138267431355e-08,0.0
1881,4.5321300490286376e-08,0.0
1882,4.5256619785050134e-08,6.655385131892899e-10
1883,4.423537092179686e-08,0.0
1884,4.15906917794473e-08,0.0
1885,1.1408775302257368e-07,0.0
1886,7.937760471143918e-08,1.2906927748801422e-09
1887,6.333056745688737e-08,6.528924623161458e-10
1888,7.545331270897293e-08,0.0
1889,9.084448349128138e-08,0.0
1890,9.766035713454357e-08,6.554386478008212e-10
1891,1.1473596006617015e-07,0.0
1892,6.393882667765638e-08,6.268512375839919e-10
1893,6.712674194275792e-08,1.2316833108982905e-09
1894,9.200247408358564e-08,0.0
