year,moindres_ADJ doutes_NOUN
1800,4.4018303668735825e-08
1801,9.524730337773235e-09
1802,2.6854081625060644e-08
1803,5.460949736857401e-08
1804,2.2246657849223084e-08
1805,6.538618890772341e-08
1806,5.76333825108577e-09
1807,3.131650672116848e-08
1808,1.1330369531492579e-08
1809,2.4849335034105025e-08
1810,3.2761775514700275e-08
1811,0.0
1812,2.1337665856435706e-08
1813,2.8757416448144113e-09
1814,9.440030979135372e-09
1815,1.8880564667256294e-08
1816,6.952811659743929e-09
1817,1.71256075987003e-08
1818,4.768470951432846e-09
1819,4.5544620519422097e-08
1820,1.542642635854463e-08
1821,1.972297702934611e-08
1822,1.7043547018147365e-08
1823,7.906149512848515e-09
1824,1.0947446504872005e-08
1825,1.4969252504215547e-08
1826,9.688783109140786e-09
1827,9.217273166939322e-09
1828,5.503380862137419e-09
1829,5.143905745796928e-09
1830,1.878630406793036e-08
1831,4.677361609140007e-09
1832,1.352996914505411e-08
1833,2.6642345218874652e-08
1834,3.733812370398937e-09
1835,7.563087933704082e-09
1836,1.8818100855355624e-08
1837,7.653680356156656e-09
1838,5.680945491803868e-09
1839,1.957613093850341e-08
1840,1.1465439264668476e-08
1841,1.6693427085101575e-08
1842,1.609983613093391e-08
1843,1.2995204023980023e-08
1844,8.232841963717874e-09
1845,1.562463758375543e-08
1846,8.781752214304106e-09
1847,1.1325769655456952e-08
1848,1.6090443422100975e-09
1849,1.1731181359664333e-08
1850,7.467895635215882e-09
1851,1.096404567135778e-08
1852,6.510545436100301e-09
1853,7.763511611358354e-09
1854,8.313063126763609e-09
1855,9.552486801567284e-09
1856,5.177189343896771e-09
1857,6.8341128311999455e-09
1858,1.468102794888182e-08
1859,6.619825576592575e-09
1860,7.323494255473406e-09
1861,1.2733101684148096e-08
1862,1.581295272501393e-08
1863,1.3485475847119233e-08
1864,9.589456340108882e-09
1865,1.6473954644879996e-08
1866,1.3623716377253459e-08
1867,1.1161466417775046e-08
1868,1.679557115608077e-08
1869,1.2697149998075474e-08
1870,6.880858549607183e-09
1871,1.0621176826930423e-08
1872,3.628403577593531e-09
1873,1.0176207432266438e-08
1874,6.572069999322139e-09
1875,4.577221712764867e-09
1876,1.209202959984168e-09
1877,3.0924081073635534e-09
1878,2.4156354694326865e-09
1879,1.0996785704264767e-08
1880,7.701415505323439e-09
1881,6.2752567586699115e-09
1882,1.2645231528551903e-08
1883,8.21514056781325e-09
1884,2.2445769687351458e-08
1885,9.66845359329227e-09
1886,9.680196200179125e-09
1887,3.264462256069578e-09
1888,1.014498351992188e-08
1889,5.6386229019267375e-09
1890,2.1629475099871343e-08
1891,2.039750413018737e-08
1892,8.775916882086676e-09
1893,1.847525021858587e-09
1894,0.0
1895,1.8055843487019274e-09
1896,1.1204354777305525e-08
1897,5.2440420894583895e-09
1898,9.619203211741478e-09
1899,1.1607914629507832e-08
1900,5.710158568206225e-09
1901,1.117747761014698e-08
1902,4.910283735171106e-09
1903,0.0
1904,2.1498500757388683e-09
1905,3.6125313851442797e-09
1906,5.144184633820714e-09
1907,7.199980611716228e-09
1908,1.964555629285769e-09
1909,7.151278680339601e-09
1910,8.550641084070776e-09
1911,3.1922244847493175e-09
1912,3.125652625612929e-09
1913,4.772690687104841e-09
1914,1.0714789944188396e-08
1915,3.534228465440492e-09
1916,2.197492410260793e-09
1917,9.869782324756216e-09
1918,1.1486376294556067e-09
1919,9.207848372660976e-10
1920,3.786115865267448e-09
1921,4.543648568500203e-09
1922,2.2133805899215986e-09
1923,1.0615948120573648e-09
1924,5.156649773851996e-09
1925,5.499089184013428e-09
1926,3.343841648018042e-09
1927,0.0
1928,5.713020723163709e-09
1929,1.1140406375176326e-09
1930,3.1510811737689437e-09
1931,1.1405356659111021e-09
1932,4.383814644626227e-09
1933,2.2941324395731044e-09
1934,5.990790086229936e-09
1935,1.196828414151696e-09
1936,2.424942913137329e-09
1937,1.2591118148108649e-09
1938,2.5930428915188486e-09
1939,3.058810094103137e-09
