year,vos_DET yeux_NOUN,vos_DET dieux_NOUN
1800,7.97045740341673e-06,1.697848883708275e-07
1801,1.043434210146188e-05,2.666924547867211e-07
1802,6.380082311352453e-06,1.8350289110458107e-07
1803,8.000291884968647e-06,7.996390527509334e-08
1804,8.64900607666641e-06,3.040376546081802e-07
1805,8.087987183102996e-06,1.7057266510356328e-07
1806,5.7777466793140775e-06,7.780506905419315e-08
1807,6.596394882762979e-06,1.2811297844805836e-07
1808,7.2695654864674e-06,1.6542340830483226e-07
1809,6.2326651857347315e-06,1.942766267859497e-07
1810,1.018657204099327e-05,2.386929338626942e-07
1811,6.693895102216629e-06,1.5042460921321776e-07
1812,5.251732872579851e-06,9.601949901849594e-08
1813,8.204490711705148e-06,2.243078540686838e-07
1814,5.909459780184534e-06,1.0069367029075238e-07
1815,5.192155455802094e-06,4.315557688983063e-08
1816,6.63066457207151e-06,1.46009039525552e-07
1817,9.901714577154053e-06,2.101779132956949e-07
1818,7.463849300393122e-06,3.6121167390490427e-07
1819,8.468193954058734e-06,3.798835459534189e-07
1820,9.236869317419405e-06,2.0410347723043287e-07
1821,1.0589266196348035e-05,3.1655377341621715e-07
1822,9.78901107373531e-06,3.5189910363442323e-07
1823,7.266739686428991e-06,3.192107831395674e-07
1824,8.318375051885596e-06,3.8568696325569363e-07
1825,7.2662515719912335e-06,4.235418060716256e-07
1826,6.634173971065138e-06,2.1843800368515076e-07
1827,6.147921325805328e-06,3.2536973709751393e-07
1828,8.042273549335732e-06,6.01702971891882e-07
1829,6.375870981401022e-06,2.3404770788104656e-07
1830,7.616802719212501e-06,2.8388193662465255e-07
1831,7.193782579406616e-06,2.525775313344525e-07
1832,7.570017857005951e-06,1.9753755897689018e-07
1833,7.457540192490342e-06,1.413202715960793e-07
1834,7.6048422386065795e-06,2.847031974617664e-07
1835,7.858804451643664e-06,1.9134611761728593e-07
1836,6.175025248467136e-06,2.641254832624895e-07
1837,5.731214969273424e-06,7.034427795815645e-07
1838,5.822338124517046e-06,2.5185525576176815e-07
1839,5.830890231095509e-06,2.8804877860721945e-07
1840,6.631482975194558e-06,1.8663187706380313e-07
1841,6.130339713195099e-06,1.720706972463404e-07
1842,6.120620973604218e-06,3.6828376437370025e-07
1843,6.25660008779505e-06,6.680716335694115e-07
1844,6.3606936606674935e-06,3.2437396768614235e-07
1845,5.644400630444579e-06,4.692971833364368e-07
1846,5.9733477968393345e-06,2.0256574373433978e-07
1847,5.204460684637979e-06,2.3676252247639695e-07
1848,5.282492459457444e-06,2.1641645719938651e-07
1849,4.993293430288759e-06,6.954914222312425e-08
1850,4.853453333453217e-06,1.9212858504147334e-07
1851,5.200827402518371e-06,3.669730677113847e-07
1852,5.131611814590542e-06,3.776116361819959e-07
1853,5.1925948980624526e-06,2.615706278241703e-07
1854,7.623078730034649e-06,2.8160502685281585e-07
1855,6.12314408954262e-06,2.6534685204637753e-07
1856,6.7608912104333285e-06,2.0139265721752508e-07
1857,5.273006294714833e-06,2.7434081939503585e-07
1858,6.076477376382172e-06,2.1678985140383134e-07
1859,5.0728233134123e-06,1.802629334690664e-07
1860,5.825382004331914e-06,1.5882828452440378e-07
1861,6.031245817439412e-06,2.023148426566479e-07
1862,7.0435407621971535e-06,2.1505614444805587e-07
1863,5.9915471979365975e-06,2.102735381370735e-07
1864,6.484389970751181e-06,2.5747689402777496e-07
1865,6.216329268227128e-06,1.9298061948447298e-07
1866,5.803703189144471e-06,1.6786364698262446e-07
1867,5.678759919192089e-06,1.397609743492012e-07
1868,5.609227088143598e-06,2.079686982625617e-07
1869,5.907593120468846e-06,1.3722688430028995e-07
1870,5.535077178819847e-06,1.106671438932949e-07
1871,5.12259396856507e-06,2.464113135758339e-07
1872,5.432324741150296e-06,1.2397045567880127e-07
1873,5.7962482173934404e-06,1.0834667896197914e-07
1874,5.478716516904569e-06,1.2606425237038366e-07
1875,6.265644444169993e-06,1.6764075017050573e-07
1876,5.740086237437936e-06,7.557518655332274e-08
1877,6.372215850092289e-06,1.9234777370868983e-07
1878,4.954468536766399e-06,1.630554009590668e-07
1879,5.174598456392232e-06,1.0508039149925708e-07
1880,5.733062224066998e-06,8.214843494336321e-08
1881,6.5199918282132785e-06,8.088108949255712e-08
1882,5.801499099788998e-06,1.1580370262720407e-07
1883,4.884848785025042e-06,9.542201695467156e-08
1884,4.58817960691249e-06,5.8755103005125875e-08
1885,4.684043354075129e-06,1.0893124224864437e-07
1886,4.6800519726275525e-06,1.2003443039532158e-07
1887,3.9650160061910356e-06,8.487602182194465e-08
1888,3.895039597523464e-06,9.32070371995053e-08
1889,3.950795353091507e-06,1.0588081289508722e-07
1890,4.234788988810578e-06,9.634948039405344e-08
1891,4.038705938569365e-06,7.139126390054429e-08
1892,4.236260771506295e-06,5.390920776449093e-08
1893,3.9690996871399875e-06,7.26693136776646e-08
1894,3.7746219803125314e-06,4.474092851758371e-08
1895,3.844089029314546e-06,4.032471734305432e-08
1896,3.5995465950122707e-06,4.422771660017588e-08
1897,3.643444010492658e-06,3.262959547001287e-08
1898,3.744699249352834e-06,4.4701002788194444e-08
1899,3.523278415684672e-06,6.798921248218903e-08
1900,3.3695125267740877e-06,7.682758318416916e-08
1901,3.2800308673586187e-06,6.427049603630053e-08
1902,2.7748014801431964e-06,3.535404513588247e-08
1903,2.9712011979654562e-06,4.9142005575930625e-08
1904,3.088259724393083e-06,3.547252624969133e-08
1905,3.374104338149664e-06,6.76059466742096e-08
1906,3.403906859489325e-06,6.22446312270597e-08
1907,3.44776222505061e-06,5.965698157694987e-08
1908,3.057339654333191e-06,4.322022428837613e-08
1909,3.2158750116195733e-06,5.335954167406953e-08
1910,3.2791708051149726e-06,3.687463923096601e-08
1911,3.118803419965843e-06,6.597263846330748e-08
1912,3.4080033657346576e-06,4.7926674628939736e-08
1913,3.102779174923853e-06,4.825720545387213e-08
1914,2.808614347316052e-06,1.399619491415649e-07
1915,2.755520306152448e-06,4.5944972271172446e-08
1916,2.877616381624648e-06,5.82335484278218e-08
1917,2.8414004873411614e-06,6.360526128013078e-08
