year,ses_DET essais_NOUN,ses_DET décès_NOUN
1800,2.049995188713183e-06,0.0
1801,1.9692380277547272e-06,0.0
1802,1.3270392003050802e-06,0.0
1803,1.2677205063482688e-06,0.0
1804,1.5720972399435595e-06,0.0
1805,1.6915122382776815e-06,0.0
1806,1.6194980574368856e-06,0.0
1807,1.2754358893474205e-06,0.0
1808,1.205551352079226e-06,0.0
1809,1.2740931865096172e-06,0.0
1810,1.6451091582325716e-06,2.3401267590372754e-09
1811,1.1432269797495564e-06,0.0
1812,2.5098428864112066e-06,0.0
1813,1.7800840836912357e-06,0.0
1814,1.2209107200789049e-06,0.0
1815,1.2002644940167784e-06,0.0
1816,1.2306476744328165e-06,2.3176038865813098e-09
1817,1.0617876817775596e-06,0.0
1818,1.2374182158936264e-06,1.1921177378582115e-09
1819,1.0009465221116898e-06,0.0
1820,1.0157707759361756e-06,0.0
1821,1.3490515762271116e-06,5.9168927535324656e-09
1822,1.3203736131117694e-06,0.0
1823,1.3588694187660622e-06,0.0
1824,1.2176929047313934e-06,0.0
1825,1.2697448710241588e-06,0.0
1826,1.1150908054702313e-06,0.0
1827,1.2461753335912817e-06,0.0
1828,1.0933383265410157e-06,0.0
1829,1.2988361604016063e-06,0.0
1830,1.1981487624268539e-06,0.0
1831,1.1849316479128902e-06,1.5591206103948707e-09
1832,1.0607496121473048e-06,1.8941957335982806e-08
1833,1.2649322229663085e-06,8.108539617524002e-09
1834,1.5233954346882683e-06,7.467624740797874e-09
1835,1.0308488711530117e-06,6.050470346963266e-09
1836,1.079352454524951e-06,2.016224964762614e-09
1837,1.1967572302040708e-06,1.3915781860163179e-09
1838,1.0017400899897666e-06,3.1560809521380406e-09
1839,1.0543144490782197e-06,6.9914751765765e-10
1840,9.89212669111339e-07,5.095750932326837e-09
1841,1.2398079443087795e-06,0.0
1842,1.1162552961963002e-06,2.683306021822318e-09
1843,1.2522651626767356e-06,2.0674189471492355e-08
1844,1.0867351294407968e-06,2.195424508855126e-09
1845,9.71517703174385e-07,5.022205318283568e-09
1846,1.0034615254284063e-06,2.9272506640865004e-09
1847,1.1584644532547372e-06,4.853901280910122e-09
1848,8.930196075951358e-07,4.82713291560799e-09
1849,9.937986202857019e-07,4.1897072478036534e-09
1850,9.877988960127482e-07,4.752297222410107e-09
1851,9.396832445496273e-07,4.514607354622058e-09
1852,9.967644789554697e-07,2.6042181744401205e-09
1853,1.0104508341157725e-06,1.3735443005202796e-08
1854,1.2807312828044815e-06,9.352196350675968e-09
1855,1.3304490984467066e-06,5.837630823180007e-09
1856,9.194688050939703e-07,1.1389816201301528e-08
1857,1.145690207593475e-06,8.78671624349181e-09
1858,1.1651842735105333e-06,3.8170671956549995e-08
1859,1.2608221471310799e-06,1.018434669930457e-09
1860,1.1378879047896362e-06,4.119465657481669e-09
1861,1.0092162385788583e-06,1.650587222457034e-08
1862,1.175128245378687e-06,3.162590411776023e-09
1863,1.0503687288831998e-06,9.989241656072068e-10
1864,1.0994311541168145e-06,1.1986819536957682e-08
1865,9.86554566040354e-07,4.706844358715045e-10
1866,1.0208056151483902e-06,1.4596839292835284e-09
1867,1.0482072720918723e-06,3.88224918879132e-09
1868,1.179641963666711e-06,1.7289560005906424e-08
1869,9.835407546177066e-07,5.860222973552709e-09
1870,1.3417674438187532e-06,0.0
1871,7.764080915961813e-07,5.3105884134652115e-09
1872,9.845068533742563e-07,1.3304146229131675e-08
1873,1.054135349676244e-06,5.9860045809045914e-09
1874,9.905902160767255e-07,1.1949218281515073e-09
1875,1.0745027658742856e-06,6.865832347102696e-09
1876,1.1451151769037438e-06,2.2370254981751714e-08
1877,1.1312028576071498e-06,1.2369632429454214e-08
1878,1.1256861380815053e-06,4.22736201599605e-09
1879,1.2206432238315301e-06,7.94212251520321e-09
1880,1.1763911853535092e-06,9.626769603698904e-09
1881,1.016591625102592e-06,1.1853263259808955e-08
1882,1.1254256504500404e-06,1.7969540522244642e-08
1883,1.0717599168152958e-06,5.687405213450347e-09
1884,1.2107512104009288e-06,1.2543224237049344e-08
1885,1.0893124313682279e-06,0.0
1886,1.2906927855382833e-06,7.098810428374236e-09
1887,1.0217766881481793e-06,5.876032105334161e-09
1888,1.1064372884561635e-06,5.706553452000662e-09
