year,vingt - six ans,vingt - six dents
1800,5.442734050120634e-07,2.4113379737400464e-08
1801,5.543763563764514e-07,5.229965793773772e-09
1802,7.612228332121163e-07,4.927008578903269e-09
1803,6.364281555093498e-07,2.7857122830710068e-08
1804,9.677523107320951e-07,5.436811001402475e-09
1805,7.11869631686568e-07,1.5611176351626455e-08
1806,6.95184975363361e-07,0.0
1807,6.946335142643534e-07,2.1804639871447762e-08
1808,1.1056257278596604e-06,2.490148087730404e-09
1809,8.425970872139033e-07,9.88383686006955e-09
1810,1.0564876602447981e-06,0.0
1811,1.277557544199226e-06,0.0
1812,1.5597696148006435e-06,5.841833683462028e-09
1813,1.9165628692974224e-06,3.1470654970888745e-09
1814,1.2416156887073981e-06,0.0
1815,1.4663831358063817e-06,0.0
1816,1.4641553596206336e-06,2.5331408082251983e-09
1817,1.0902130167522728e-06,4.4359211415212485e-08
1818,1.6174237362776012e-06,7.819937586361903e-09
1819,1.3646451151316796e-06,7.914263022712476e-09
1820,1.1239494526193994e-06,1.0358981228364428e-08
1821,1.3176392608116316e-06,1.0800321748050123e-09
1822,1.0021792880010594e-06,1.0964762431342479e-08
1823,1.2069785326751514e-06,6.4775234065450604e-09
1824,1.0749419683264705e-06,1.4700061612415993e-08
1825,1.4416056757227125e-06,7.688563563590378e-09
1826,1.2637927184755426e-06,8.649531757498607e-09
1827,1.2143209744408523e-06,0.0
1828,1.3120248532061396e-06,4.009243159686093e-09
1829,1.3289636378033265e-06,1.8730987871862226e-09
1830,1.1242711721592968e-06,3.424176275856894e-09
1831,1.1706305453884625e-06,8.557241137907567e-09
1832,1.3210208464897732e-06,0.0
1833,1.078538680587826e-06,7.604267437955059e-09
1834,1.1282303571391594e-06,7.160120496507716e-09
1835,1.0764588669331943e-06,1.7429170995342247e-08
1836,1.1176791581135603e-06,1.9093073788667425e-08
1837,1.4088873321327355e-06,1.1386481979513974e-08
1838,1.2505035247301066e-06,2.752897243496477e-09
1839,1.2220483931457693e-06,4.5855470531819265e-09
1840,1.2859380884577831e-06,2.0875616790760887e-09
1841,1.4467788300720485e-06,0.0
1842,1.2770597086486646e-06,1.687097750391331e-08
1843,1.21532173480432e-06,1.9362533798528148e-09
1844,1.4038402262883665e-06,7.180768868408904e-09
1845,1.1761579870039895e-06,1.2200809251794453e-09
1846,1.2633824510999148e-06,5.76594416656917e-09
1847,1.099774983970292e-06,2.35623986988287e-09
1848,1.293163581550516e-06,2.6427049437671712e-09
1849,1.0596214643499025e-06,9.174211390572395e-10
1850,1.2965466442693696e-06,2.9720266248034477e-09
1851,1.156193592422028e-06,2.117570563342497e-09
1852,1.296876117606871e-06,3.5667659936677865e-09
1853,1.788534641278261e-06,1.24203793916422e-08
1854,1.4463702555644886e-06,6.819820708159341e-09
1855,1.6394525950147454e-06,3.4906726398276078e-09
1856,1.4002045638505933e-06,9.64093871402838e-09
1857,1.5257336976048919e-06,4.27975788142021e-09
1858,1.634565155228529e-06,9.113679588779178e-09
1859,1.590893985436992e-06,6.689112375113382e-09
1860,1.6047506878891227e-06,6.523376949729709e-09
1861,1.4799576426582917e-06,7.229381537854351e-09
1862,1.5516700688777973e-06,2.475542437707645e-09
1863,1.5016877554785424e-06,5.482613474327991e-09
1864,1.3564810092958623e-06,6.824401488358944e-09
1865,1.4379820036936053e-06,5.675566239204954e-09
1866,1.4143822220091806e-06,0.0
1867,1.4016332441357804e-06,9.58199741774024e-09
1868,1.4585120968746423e-06,3.78693787439488e-09
1869,1.3612930480633167e-06,1.6071937114503498e-09
1870,1.3980316957429295e-06,3.769972778400188e-09
1871,9.63522881036738e-07,0.0
1872,1.3167520531709442e-06,3.980106910717041e-09
1873,1.3645683196727987e-06,4.592297209171647e-09
1874,1.4277147304397886e-06,9.177229642887141e-09
1875,1.320263816495526e-06,4.400879216603926e-09
1876,1.4012153464193489e-06,0.0
1877,1.2042573658277433e-06,1.361512014241839e-09
1878,1.2675519442950645e-06,0.0
1879,1.3024385765447732e-06,1.3441058266394634e-09
1880,1.4035028037540087e-06,1.4133966219631589e-09
1881,1.5215097839416103e-06,1.5368785133418328e-09
1882,1.4757853357139084e-06,0.0
1883,1.2114933376494719e-06,6.966609511493971e-10
1884,1.3829474951876364e-06,5.092389621097482e-09
1885,1.156219235021183e-06,0.0
1886,1.216060139697106e-06,2.8445850119851457e-09
1887,1.2114813117136691e-06,1.440524810547572e-09
1888,1.3432894760967429e-06,0.0
1889,1.537687413843969e-06,2.76562484025078e-09
1890,1.3843486286191364e-06,3.6144873760690643e-09
1891,1.371710785846858e-06,2.8108828598050195e-09
1892,1.3149575188720064e-06,2.7668753954657177e-09
1893,1.3049241509577314e-06,2.7171767058575824e-09
1894,1.4028959895995285e-06,6.958809639634467e-10
1895,1.451931904483672e-06,0.0
1896,1.3639630740414077e-06,6.504354277403479e-10
1897,1.3862843104561762e-06,6.441841504667423e-10
1898,1.3215568159807844e-06,1.2485185107991015e-09
1899,1.254244351045486e-06,1.830123053103705e-09
1900,1.2992050386628762e-06,0.0
1901,1.1366418526392863e-06,0.0
1902,1.0084339372440354e-06,0.0
1903,1.140337773541944e-06,0.0
1904,1.078430738488123e-06,5.93522675451652e-10
1905,1.215361255191283e-06,0.0
1906,1.1725907604898111e-06,0.0
1907,1.1736819445218316e-06,1.1367379260107668e-09
1908,1.3431964500654203e-06,1.6274592784526476e-09
1909,1.3594052390430988e-06,1.2132130855491141e-09
1910,1.5194171751886643e-06,0.0
1911,1.3293778859946315e-06,0.0
1912,1.2041476757929104e-06,0.0
1913,1.3200081951936227e-06,5.851100159937062e-10
1914,1.3606105540020508e-06,1.4773187118066744e-09
1915,1.1247692510707452e-06,0.0
1916,1.0013302897959875e-06,2.418672151449641e-09
1917,9.817673394252324e-07,3.6183069873629847e-09
1918,1.0615664622903864e-06,0.0
1919,1.1168710223330436e-06,0.0
1920,1.0153888716502024e-06,0.0
1921,1.1022829973228454e-06,0.0
1922,9.788951906841703e-07,0.0
1923,1.0147674096572246e-06,0.0
1924,1.0002837669276232e-06,0.0
1925,8.992667464013948e-07,0.0
1926,9.864217069832648e-07,0.0
1927,1.1787259133200223e-06,0.0
1928,1.0045411205084065e-06,0.0
1929,1.047888979144318e-06,0.0
1930,1.0149317368757238e-06,2.325158732219279e-09
1931,8.34746874289749e-07,0.0
1932,8.805523599164644e-07,0.0
1933,8.729328300205452e-07,0.0
1934,1.0194567217070016e-06,0.0
1935,8.767331287629077e-07,0.0
1936,8.536578643969506e-07,0.0
1937,8.201183376854715e-07,1.3947590860041714e-09
1938,8.018358563788297e-07,0.0
1939,6.997118422447102e-07,0.0
1940,8.725306726020676e-07,0.0
1941,9.547604031823198e-07,0.0
1942,9.285731401575958e-07,0.0
1943,8.15688649069557e-07,0.0
1944,7.879779957420396e-07,0.0
