year,mêmes_ADJ ans_NOUN,mêmes_ADJ dents_NOUN
1800,0.0,5.345079756580162e-08
1801,1.4287095950749062e-08,4.0480102825313224e-08
1802,0.0,9.622712582313397e-08
1803,0.0,6.436119548425268e-08
1804,2.4718509461507665e-09,5.438072037122765e-08
1805,0.0,8.24434565060983e-08
1806,0.0,5.187004603612877e-08
1807,5.693910232196231e-09,1.7081731584767113e-08
1808,0.0,7.251436784372345e-08
1809,4.518061036407062e-09,3.162642769893864e-08
1810,2.3401267590372754e-09,1.6380887757350138e-08
1811,2.5070767684098882e-09,2.5070768572277302e-08
1812,0.0,1.0402111882967802e-07
1813,2.8757416448144113e-09,2.300593315851529e-08
1814,0.0,4.405347908686963e-08
1815,0.0,3.776112933451259e-08
1816,2.3176038865813098e-09,3.476405652236281e-08
1817,0.0,1.634717108345285e-07
1818,5.960588467246453e-09,3.457141417584353e-08
1819,1.035105001712111e-09,7.452756278780726e-08
1820,1.0679833017945839e-08,7.594547923872597e-08
1821,4.930744257336528e-09,1.0847637454958203e-08
1822,1.0025615893027862e-09,5.714601059025881e-08
1823,1.9765373782121287e-09,7.313188632451784e-08
1824,8.421112696055388e-10,6.736890156844311e-08
1825,1.7610886082763955e-09,1.1887347994843367e-07
1826,2.642395191543301e-09,5.989429041619587e-08
1827,1.8434546111834038e-09,7.373818533551457e-08
1828,1.8344602503717056e-09,8.988855171310206e-08
1829,8.57317605795771e-10,7.544394975411706e-08
1830,2.0873671680021744e-09,1.1793624565825667e-07
1831,1.5591206103948707e-09,9.510635834431014e-08
1832,1.3529969367098715e-09,5.682587200794842e-08
1833,1.1583628500844156e-09,1.3205335847032984e-07
1834,9.334530925997342e-10,1.0081293311259287e-07
1835,1.5126175867408165e-09,1.5126175867408165e-07
1836,1.3441500135158435e-09,1.3508707752407645e-07
1837,2.7831562610103333e-09,7.584100814028716e-08
1838,3.1560809521380406e-09,4.5447563934430946e-08
1839,6.9914751765765e-10,5.663094881924735e-08
1840,1.2739377330817092e-09,3.630722389402763e-08
1841,1.2841097074556274e-09,2.3113974734201292e-08
1842,2.0124795163667386e-09,3.085801836277824e-08
1843,3.544146642830981e-09,6.084118098215185e-08
1844,1.6465683816413446e-09,3.567564732520623e-08
1845,1.674068439427856e-09,5.4686232431322424e-08
1846,5.854501328173001e-10,2.86870562860031e-08
1847,2.1572894581822766e-09,3.5055954583640414e-08
1848,0.0,2.413566591030758e-08
1849,0.0,5.53041381579078e-08
1850,6.788996032014438e-10,3.394497838371535e-08
1851,1.9348316282474798e-09,4.5791015423901626e-08
1852,4.557381805270211e-09,6.640756566866912e-08
1853,3.5831591027601917e-09,8.83845885368828e-08
1854,6.754363734984281e-09,2.234135720868835e-08
1855,2.653468555990912e-09,4.086341576226005e-08
1856,2.5885946164372342e-09,5.0736453260924463e-08
1857,1.9526036343364694e-09,4.149282872845106e-08
1858,2.446837954472869e-09,3.034079298913639e-08
