year,bonnes_ADJ âmes_NOUN,bonnes_ADJ ames_NOUN,bonnes_ADJ dames_NOUN
1800,6.917161954334006e-08,1.7292904885835014e-07,3.144164395507687e-08
1801,2.3811825400343878e-08,1.6906396638205479e-07,3.333655662629553e-08
1802,1.7902721083373763e-08,1.096541666356643e-07,2.2378401354217203e-08
1803,2.7304748684287006e-08,1.2677205063482688e-07,2.3404069793286908e-08
1804,1.2359254952798437e-08,1.680858630059845e-07,1.4831105676904599e-08
1805,2.55858996212055e-08,2.8997353451742924e-07,5.117179902036639e-08
1806,7.492339904047185e-08,1.3255677799861587e-07,8.068673373884394e-08
1807,3.4163463169534225e-08,1.7935816742919997e-07,7.971474502710407e-08
1808,4.305540457494317e-08,1.6768947830314573e-07,3.3991110370834576e-08
1809,1.3554183553310395e-08,7.90660692473466e-08,3.840352036377226e-08
1810,3.042164919975221e-08,2.2465216886757844e-07,6.552354747668687e-08
1811,2.5070768572277302e-08,4.262030373070047e-08,3.5099073869560016e-08
1812,5.867858021701977e-08,1.2002436733382638e-07,7.468183049752497e-08
1813,1.7542024011163448e-07,1.1790540810352468e-07,7.476928454153153e-08
1814,1.0384034254684593e-07,2.2026739543434815e-07,5.664018587481223e-08
1815,7.282503844407984e-08,2.400528842372296e-07,5.3944472000466703e-08
1816,1.0892738089296472e-07,2.2712518088496836e-07,3.244645441213834e-08
1817,1.292204956371279e-07,2.0550729118440358e-07,6.227493631882908e-08
1818,1.490147241156592e-07,1.6212801767778728e-07,3.695565098382758e-08
1819,1.449146935783574e-07,5.693077653745604e-08,3.3123360609899066e-08
1820,2.2190319270976033e-07,2.1003671690777992e-07,2.3732962262101864e-08
1821,2.623155808123556e-07,1.853959766817681e-07,6.508582117703554e-08
1822,2.0552512580707116e-07,1.0627152846609533e-07,3.208197085768916e-08
1823,1.4132241688002978e-07,3.4095268652833965e-07,1.7097048543579518e-07
1824,5.642145595174952e-08,1.4484314192486636e-07,4.126345132249298e-08
1825,1.7522832251870568e-07,1.1799293986314296e-07,8.101007287208972e-08
1826,6.870227764466108e-08,1.990604516777239e-07,3.170874307567573e-08
1827,9.954654700550236e-08,1.6222401200138847e-07,2.8573545973742398e-08
1828,1.467568182533796e-07,2.5498997519024513e-07,3.485474309172787e-08
1829,1.1316592463117559e-07,1.7403547758476634e-07,5.315369061564823e-08
1830,2.2961039292113128e-07,1.6803304991874768e-07,5.740259823028282e-08
1831,1.4343909526814969e-07,2.962329155309362e-07,2.4945929544273326e-08
1832,2.0024354796532862e-07,3.220132696046818e-07,1.0418076634710616e-07
1833,9.266902623039641e-08,2.1082203827127444e-07,4.9809603552830595e-08
1834,1.297499778729616e-07,1.5962048283135744e-07,2.240287422239362e-08
1835,1.6411900105595123e-07,2.58657614438107e-07,3.857174846189082e-08
1836,1.9086930080902675e-07,2.1035948227776657e-07,1.0887614787513655e-07
1837,1.8438410620547074e-07,9.741047379829837e-08,7.5841009916644e-08
1838,1.4265485503983655e-07,7.953323688525415e-08,4.670999942391063e-08
1839,1.0417298312859202e-07,1.3423633049569617e-07,9.228747277489902e-08
1840,2.1911729675139213e-07,5.9238103478076454e-08,4.1402975603510583e-08
1841,2.2792947618199833e-07,4.751205961994742e-08,3.0818633867113476e-08
1842,2.220435675326371e-07,5.433694605372352e-08,7.915752631149076e-08
1843,2.339136813134246e-07,5.257150909043773e-08,3.18973185642335e-08
1844,2.936380383289361e-07,3.457793529282327e-08,8.287727437661374e-08
1845,2.499942013400869e-07,4.296775651946305e-08,5.412821213468533e-08
1846,2.534999055114895e-07,3.219975752699611e-08,5.269051106537859e-08
1847,2.092570809963945e-07,2.4269505516372192e-08,3.66739207890987e-08
