year,nos_DET doutes_NOUN
1800,4.527596821901625e-07
1801,2.5954890503498973e-07
1802,2.953948978756671e-07
1803,1.540767957664002e-07
1804,1.779732641260523e-07
1805,1.1940086563910768e-07
1806,2.622318877598673e-07
1807,2.903894085193315e-07
1808,1.7901984650237068e-07
1809,2.643065784013743e-07
1810,3.791005305231465e-07
1811,2.1059445032278745e-07
1812,2.7738965968637785e-07
1813,2.501895199902293e-07
1814,4.153613826218816e-07
1815,2.8860290846033365e-07
1816,2.572540278578117e-07
1817,3.6586525986592733e-07
1818,3.612116667994769e-07
1819,4.388845074032588e-07
1820,3.7854075074506e-07
1821,4.427808306672887e-07
1822,4.3811941452531755e-07
1823,3.083398265602e-07
1824,3.3010761413265755e-07
1825,3.161154094044605e-07
1826,5.055782823504273e-07
1827,4.479594775119722e-07
1828,4.07250173140028e-07
1829,3.3435387347680035e-07
1830,3.120614024965107e-07
1831,2.5101840694929933e-07
1832,3.5719120283772554e-07
1833,4.4944478005959354e-07
1834,4.107193731783809e-07
1835,4.2277660838863085e-07
1836,2.950409241364582e-07
1837,3.075387846607214e-07
1838,3.465376803291065e-07
1839,4.0550557400820253e-07
1840,3.484219828209234e-07
1841,2.703050814290009e-07
1842,4.138999472047544e-07
1843,4.595576896804232e-07
1844,3.3974193058838864e-07
1845,3.191890431963884e-07
1846,4.004479032815311e-07
1847,2.8098693860556523e-07
1848,3.1295912172879525e-07
1849,2.7652069256589584e-07
1850,2.681653388236782e-07
1851,2.908696759007512e-07
1852,3.437567901443117e-07
1853,3.55329946799543e-07
1854,3.2576816533236297e-07
1855,2.9665778811249766e-07
1856,3.950195437418813e-07
1857,3.3828857759488073e-07
1858,3.484297383948842e-07
1859,2.7905110222548046e-07
1860,3.0529816807955967e-07
1861,3.1879914530463793e-07
1862,2.9954250102548485e-07
1863,2.871906854551298e-07
1864,3.466588189837694e-07
1865,2.6075916892409623e-07
1866,2.6031028710349347e-07
1867,2.751544183610122e-07
1868,3.3788739006723745e-07
1869,2.197583577334683e-07
1870,2.3337579335702685e-07
1871,2.1773413738657155e-07
1872,2.1709948505588272e-07
1873,3.232442313816364e-07
1874,2.4555643829415885e-07
1875,2.2714463465689505e-07
1876,2.545372286277825e-07
1877,2.133761514144794e-07
1878,2.67531625297579e-07
1879,2.3093249446048958e-07
1880,2.1692319585042696e-07
1881,1.9453295818649963e-07
1882,2.0099263497996844e-07
1883,1.8010116598077275e-07
1884,1.9673057316538234e-07
1885,1.559843831877572e-07
1886,1.6843540784350353e-07
1887,1.880330335879421e-07
1888,1.4012758065007347e-07
1889,1.6289355464493838e-07
1890,1.966315874568636e-07
1891,1.542561292033895e-07
1892,1.6110076561659525e-07
1893,1.699722966819195e-07
1894,1.5879879367020067e-07
1895,1.4264116732221055e-07
1896,1.2914494029736545e-07
1897,1.503292113014254e-07
1898,1.6069728392409388e-07
1899,1.381894580987364e-07
1900,1.4015842819681268e-07
1901,1.453072120405352e-07
1902,1.374879503579507e-07
1903,1.7226702819783668e-07
1904,1.6177621553481458e-07
1905,1.2695467299650431e-07
1906,1.56897623337926e-07
1907,1.4399961578703824e-07
1908,1.4881508203501426e-07
1909,1.4137528303592717e-07
1910,1.528427127084342e-07
1911,1.1438804703445271e-07
1912,1.1043973202617963e-07
1913,1.2355966205745972e-07
1914,1.2924715164785994e-07
1915,1.519718351161714e-07
1916,1.1317085979456465e-07
1917,1.579165154197426e-07
1918,1.0682330042754984e-07
1919,8.839534260118853e-08
1920,1.3630017647869863e-07
1921,1.0829029140069224e-07
1922,1.232115200977546e-07
1923,9.872831441271046e-08
1924,1.1215713502377156e-07
1925,1.2097995583104648e-07
1926,1.5158748212229511e-07
1927,9.142364554293181e-08
1928,1.1997342985736736e-07
1929,1.192023484364313e-07
1930,8.823026798054912e-08
1931,1.1519410580973499e-07
1932,7.342889185579793e-08
1933,7.570637361453691e-08
1934,1.0304159125951173e-07
1935,8.976213017319878e-08
1936,1.406466854092514e-07
1937,1.0702450647936956e-07
1938,1.32245193240621e-07
1939,1.0858775656430453e-07
1940,1.3439649704238832e-07
1941,1.0920559567750843e-07
1942,1.3350531702371882e-07
1943,9.290352687152392e-08
1944,1.8636479559575037e-07
1945,1.2417473538306467e-07
1946,1.225057113529715e-07
1947,1.0490366308957277e-07
1948,1.2720108566455224e-07
1949,9.522498345404529e-08
1950,1.2230665813461883e-07
1951,9.595261785122489e-08
1952,7.803155188668143e-08
1953,1.142025669587099e-07
1954,1.0163437380583673e-07
1955,1.3609130755654064e-07
1956,1.0116524506997848e-07
1957,9.983592885731696e-08
1958,1.0919361281835904e-07
1959,1.0773539216302197e-07
1960,1.0796500293785982e-07
1961,1.0422238583274179e-07
1962,9.576354464968517e-08
1963,1.0022382568308785e-07
1964,1.0890303014932101e-07
1965,1.3132904275181545e-07
1966,9.527208266746356e-08
1967,1.2227232293327006e-07
1968,1.2980191677058883e-07
1969,1.248983361179512e-07
1970,1.2416557471084388e-07
1971,1.0739251088409674e-07
1972,1.1183719816898474e-07
1973,1.0199427036283737e-07
1974,9.901005837420485e-08
1975,9.195482730817162e-08
1976,8.855966937559856e-08
1977,8.93270839519289e-08
1978,9.742569684334512e-08
1979,1.0592071797432823e-07
1980,1.0688082952015066e-07
1981,7.780425881342978e-08
1982,8.566353404404481e-08
1983,1.0230812286238233e-07
1984,1.1945957822945275e-07
1985,9.324114635944625e-08
1986,9.77101095589461e-08
1987,1.0693929608507347e-07
1988,1.0613900469635951e-07
1989,9.549332435909719e-08
1990,8.390922690004743e-08
1991,7.795748580008421e-08
1992,9.532203426587671e-08
1993,1.0302925623761894e-07
1994,9.231121778086049e-08
1995,1.0844901776607685e-07
1996,9.661947153460915e-08
1997,1.1268002086950446e-07
1998,1.0680609152657894e-07
1999,1.2248139125148327e-07
2000,1.1177619985147658e-07
2001,1.1259714094435935e-07
2002,1.1434988245184741e-07
2003,1.1167353575203265e-07
2004,1.2773895230466792e-07
2005,1.058381169372069e-07
2006,1.2147775141357897e-07
2007,1.1304377256493581e-07
2008,1.1495087015589434e-07
2009,1.3589349023845898e-07
2010,1.3226619932638073e-07
2011,1.5410607279164878e-07
2012,1.5625519678152955e-07
2013,1.6985771278399397e-07
2014,1.7301907373479253e-07
2015,1.735578463168963e-07
2016,1.7854950495888033e-07
2017,2.1005353989522746e-07
2018,2.0316143167775635e-07
2019,2.3316027686348662e-07
