year,divers_DET essais_NOUN,divers_DET décès_NOUN
1800,1.760732146749433e-07,0.0
1801,2.3811825755615246e-07,0.0
1802,2.506380951672327e-07,0.0
1803,1.2092103229832674e-07,0.0
1804,1.5819846055364906e-07,0.0
1805,1.876299289271799e-07,5.685755422035754e-09
1806,7.492339815229343e-08,0.0
1807,1.622764429498602e-07,0.0
1808,1.7675377961268168e-07,0.0
1809,3.704810147553417e-07,0.0
1810,1.848700117434987e-07,0.0
1811,2.356652117896374e-07,0.0
1812,3.7607637182190956e-07,0.0
1813,1.2365688917270745e-07,0.0
1814,1.9194730782601255e-07,0.0
1815,1.3216395711168616e-07,0.0
1816,4.426623476661007e-07,0.0
1817,1.5101671735351374e-07,0.0
1818,1.2636448087910424e-07,0.0
1819,2.039156902222672e-07,0.0
1820,1.4477107335153505e-07,0.0
1821,1.2129630277968317e-07,0.0
1822,1.5038423839541792e-07,0.0
1823,1.5416991594463525e-07,0.0
1824,1.8863292794435438e-07,0.0
1825,1.5937851394198788e-07,8.805443041381977e-10
1826,2.6159714039408755e-07,8.807984341885344e-10
1827,2.1844936526349557e-07,0.0
1828,2.476521316907565e-07,0.0
1829,2.64053820586696e-07,0.0
1830,1.930814619299781e-07,2.0873671680021744e-09
1831,3.788663178738716e-07,6.236482441579483e-09
1832,2.4489244054848314e-07,0.0
1833,1.9460496147871709e-07,0.0
1834,1.558866618012189e-07,0.0
1835,1.747073312685643e-07,0.0
1836,1.4382404600610244e-07,2.016224964762614e-09
1837,1.8507990517946382e-07,0.0
1838,1.7358445347781526e-07,0.0
1839,2.4749821747604983e-07,0.0
1840,1.8854279204560953e-07,0.0
1841,2.09309879650732e-07,0.0
1842,1.804523250825696e-07,0.0
1843,1.9492807012966296e-07,5.906911071384968e-10
1844,1.4983772089749436e-07,0.0
1845,1.171847898717715e-07,0.0
1846,1.2938448179511397e-07,0.0
1847,1.866055416854806e-07,0.0
1848,2.6066518543643724e-07,0.0
1849,1.684262365131417e-07,0.0
1850,1.9620198798975252e-07,0.0
1851,1.8445395255639596e-07,0.0
1852,1.8164422499467037e-07,1.9531636308300904e-09
1853,2.21558675406186e-07,0.0
1854,2.171787798488367e-07,0.0
