year,trois_DET yeux_NOUN,trois_DET dieux_NOUN
1800,2.5782149615238836e-07,6.288329146286742e-08
1801,2.762171789072454e-07,1.095343986623476e-07
1802,4.72184268573983e-07,8.280008501060365e-08
1803,3.0815360219094146e-07,1.092189982898617e-07
1804,3.856087573694822e-07,1.038177401824214e-07
1805,3.212451815670647e-07,9.950072055175951e-08
1806,1.9595350408962986e-07,2.651135666553728e-07
1807,1.2241907221266501e-07,1.4234775314037051e-07
1808,2.4246992325061e-07,1.6768947119771838e-07
1809,4.563241589039535e-07,1.513550458298596e-07
1810,1.2168659679900884e-07,1.029655809503538e-07
1811,1.554387605295915e-07,7.019815129183371e-08
1812,7.734903562095496e-08,8.001624607345548e-08
1813,7.189354045422647e-08,8.339650747757332e-08
1814,1.258670891957081e-07,9.754699359376673e-08
1815,7.821948599939788e-08,9.979727222386714e-08
1816,3.036061002603674e-07,2.062667476820934e-07
1817,3.191590565165825e-07,1.5101672090622742e-07
1818,1.40669895287715e-07,1.7524131123991538e-07
1819,2.8775919302947983e-07,5.185876130742173e-07
1820,9.611849804969097e-08,1.2341140731564337e-07
1821,1.3904698903388635e-07,1.7947908759197162e-07
1822,8.922798144794797e-08,1.1429202118051762e-07
1823,1.7097048043979157e-07,2.490437140956203e-07
1824,1.1368501873221248e-07,1.3136936161117774e-07
1825,2.791325584006188e-07,1.8315322236617249e-07
1826,1.9994124755839948e-07,1.400469480383748e-07
1827,2.1752765011484598e-07,1.4471118703340835e-07
1828,1.5042573409118631e-07,1.0456423638061096e-07
1829,3.086343269842473e-07,1.87752550950826e-07
1830,1.0228098834552668e-07,1.847320021397536e-07
1831,1.6058942886587602e-07,2.822008227099104e-07
1832,1.6506562872109498e-07,1.6235963684607668e-07
1833,1.01935931695607e-07,2.2703910984578357e-07
1834,1.5308630452182115e-07,1.6615464915048506e-07
1835,1.1571524538567246e-07,1.557996114343041e-07
1836,2.3522625269833952e-07,2.506839699156771e-07
1837,1.1202204319715747e-07,1.5516096851797556e-07
1838,1.098316162462254e-07,1.376051261825495e-07
1839,1.2934228710292928e-07,1.237491078498465e-07
1840,1.0573683084658114e-07,2.2230212692875284e-07
1841,1.695024760550723e-07,1.9582672905471554e-07
1842,1.006239744860693e-07,2.1734778599125093e-07
1843,1.3408687715710244e-07,3.08340766252968e-07
1844,9.714753379519436e-08,1.6904768784797852e-07
1845,1.0769840291802169e-07,3.0914462589848313e-07
1846,1.3172628143820475e-07,2.1778744896394642e-07
1847,6.364003724002032e-08,2.7559373272367793e-07
1848,1.0136979256003542e-07,1.214828476703289e-07
1849,1.4077416565783096e-07,1.374224058992013e-07
1850,1.3849552260580822e-07,1.9688089025748923e-07
1851,1.1351012574323249e-07,3.5020451250034057e-07
1852,1.7643578109627356e-07,3.9519011196809117e-07
1853,6.628844650968801e-08,3.051657238017924e-07
1854,8.93654285016865e-08,2.0626788455047063e-07
1855,1.0613874223963649e-07,3.322142596573485e-07
1856,4.2970672353703776e-08,1.9880406476602275e-07
1857,1.2838368945722323e-07,1.4546897286749072e-07
1858,1.0766087399360913e-07,2.3783265845622736e-07
1859,5.906921174414492e-08,1.9808553708422494e-07
1860,1.1351416162597161e-07,2.494565201072163e-07
1861,1.1176834391335433e-07,1.4525167912893266e-07
1862,9.532951142365853e-08,1.766532631286566e-07
1863,1.1537574096109893e-07,1.9029505482492937e-07
1864,1.5055445867773187e-07,1.4767762479550584e-07
1865,1.76506665949816e-07,1.901565100936864e-07
1866,1.5229368166558288e-07,1.0315099352453672e-07
1867,1.033648846515689e-07,1.1015881895559687e-07
1868,9.08936854671083e-08,1.4276235926757863e-07
1869,9.474027340417024e-08,2.0461945049454755e-07
1870,8.601073187008978e-08,1.5711293599451892e-07
1871,9.134212231032279e-08,1.837463641241044e-07
1872,8.103434889772387e-08,1.693255046175679e-07
1873,6.644464889404844e-08,1.089452830171922e-07
1874,1.212845596176848e-07,1.2606425431327395e-07
1875,1.0527610072585958e-07,1.109976253133027e-07
1876,4.800535764459823e-07,8.222580083483422e-08
1877,1.1380061371024652e-07,1.0390490634559768e-07
1878,1.1474268291067347e-07,1.588280322817326e-07
1879,5.6205792020591616e-08,1.6189711338210344e-07
1880,5.134277003548959e-08,1.2450622000059752e-07
1881,7.73948323762319e-08,9.273435225276572e-08
1882,1.1047939252328831e-07,1.5107724560259328e-07
1883,9.731781713817611e-08,7.583206729222525e-08
1884,1.0034579389639475e-07,1.1354919138284458e-07
1885,5.0920522909336796e-08,7.992588285654634e-08
1886,1.0712750331265397e-07,4.96916729431085e-08
1887,9.075205298358924e-08,5.092561150554786e-08
1888,1.0335201650057968e-07,9.38410935624745e-08
1889,1.0776034886639252e-07,9.08444846015044e-08
1890,1.3370947726798477e-07,3.867087983167039e-08
1891,1.121862709396737e-07,5.991766993673764e-08
1892,1.0656471260972467e-07,6.080457026769182e-08
1893,1.5519209761727382e-07,5.480990683537357e-08
1894,9.578339987825757e-08,5.041231609936858e-08
1895,9.930713673611535e-08,5.6574976925460874e-08
1896,1.7691087350613088e-07,5.5432072265659826e-08
1897,9.497543163039524e-08,4.253500751616457e-08
1898,9.053367666655987e-08,7.412444857912703e-08
1899,9.949641111006713e-08,7.628058185105147e-08
1900,7.111743072218957e-08,4.671947850809488e-08
1901,8.49488341891913e-08,6.371162181162404e-08
1902,9.722362009911834e-08,4.910283879500099e-08
1903,1.1988488779479667e-07,5.3462180238383894e-08
1904,1.0319280363546568e-07,3.815983884436491e-08
1905,1.0785986082062493e-07,5.986480450248521e-08
1906,7.716276628766394e-08,5.19562632916859e-08
1907,6.068555080673832e-08,7.148552216840187e-08
1908,5.107844458507316e-08,6.335691815628763e-08
1909,6.766209936781564e-08,9.791750787968567e-08
1910,4.649411167179096e-08,6.145773201460258e-08
1911,5.799207669632267e-08,1.2556083417436525e-07
1912,9.116487242888383e-08,5.730363472622457e-08
1913,5.302989691813309e-08,7.212065661343914e-08
1914,5.893134513712539e-08,7.701255277936525e-08
1915,4.2410743361642744e-08,3.180805752123206e-08
1916,5.7134801778602196e-08,7.691223280481552e-08
1917,4.1672411299487067e-08,2.9609345197911807e-08
1918,8.155327435588333e-08,4.135095554858026e-08
1919,4.235610262526279e-08,4.603924175228258e-08
1920,8.329454770361622e-08,6.966453280909946e-08
1921,6.209653236055601e-08,2.3475517529902845e-08
