year,leurs_DET ans_NOUN,leurs_DET dents_NOUN
1800,3.458580977167003e-08,1.6758396697014177e-06
1801,2.6193008650921e-08,1.2858385858294241e-06
1802,2.2378401354217203e-08,1.8216018702332804e-06
1803,4.290746247193056e-08,2.9060053350349335e-06
1804,2.2246657849223084e-08,1.942874817473239e-06
1805,3.980028751016107e-08,2.1776443190901773e-06
1806,4.610670600868616e-08,1.1699576702994818e-06
1807,5.693910054560547e-08,1.1501698935489912e-06
1808,6.798221763304468e-08,1.2327442107107345e-06
1809,3.162642681076022e-08,1.2876474144718486e-06
1810,1.6380887757350138e-08,1.7855167371294556e-06
1811,3.5099073869560016e-08,7.847150218509569e-07
1812,2.6672083208723052e-08,1.434958036838907e-06
1813,2.300593315851529e-08,8.684739896125393e-07
1814,3.776012391654149e-08,1.8061926283508e-06
1815,3.506390555685357e-08,1.0761921540591857e-06
1816,9.502176112619054e-08,1.624640347586137e-06
1817,1.71256075987003e-08,2.77746224242037e-06
1818,3.695565098382758e-08,1.643930396255655e-06
1819,4.968504185853817e-08,9.39875320682404e-07
1820,4.746592452420373e-08,9.042258426461558e-07
1821,4.043210211079895e-08,6.863596020423302e-07
1822,3.208197085768916e-08,8.752362958830417e-07
1823,6.621399961659336e-08,8.805474109863098e-07
1824,7.494790565942822e-08,8.901115968740214e-07
1825,1.6730341556581152e-08,1.43616778558453e-06
1826,2.290075862276808e-08,9.926598920628749e-07
1827,3.3182182335167454e-08,9.429270448890748e-07
1828,6.604057034564903e-08,1.1208551882191387e-06
1829,2.2290258194779256e-08,1.7892218409087945e-06
1830,2.1917355041978226e-08,1.164750843329898e-06
1831,3.1182413096075834e-08,8.73107570242837e-07
1832,1.2176972319366541e-08,1.1189284556678558e-06
1833,3.4750886612755494e-08,1.820946422981251e-06
1834,4.293884248163238e-08,1.5513990803128763e-06
1835,1.3613558280667348e-08,1.6502658155559402e-06
1836,3.6964125260663394e-08,1.5269544491047782e-06
1837,2.6439985201243132e-08,1.1230035568132735e-06
1838,2.335499815764308e-08,1.0149956608529465e-06
1839,1.747868827450816e-08,1.0787846562720915e-06
1840,1.9746034474188434e-08,8.032177394312612e-07
1841,3.146068650039524e-08,1.1685398604299735e-06
1842,2.951636579595629e-08,9.90810740120196e-07
1843,1.0041748876865597e-08,9.85272745168686e-07
1844,2.0856533611279815e-08,8.606063950367115e-07
1845,1.1718478298838875e-08,1.1679416758170191e-06
1846,2.5759806732139623e-08,8.852006274651103e-07
1847,8.089835468183537e-09,6.374790153529375e-07
1848,2.494018680465615e-08,7.924543616866231e-07
1849,3.603148401865042e-08,8.580520862722096e-07
