year,leurs_DET essais_NOUN,leurs_DET décès_NOUN
1800,3.6157892546739845e-07,3.458580977167003e-08
1801,4.381375902084983e-07,2.3811825400343878e-08
1802,3.177732992298843e-07,2.2378401354217203e-09
1803,2.749978307292622e-07,1.1702034896643454e-08
1804,2.817910171870608e-07,0.0
1805,3.0134503581358274e-07,1.9900143755080535e-08
1806,2.795219131712656e-07,5.187004603612877e-08
1807,1.6512339584551228e-07,1.0818429529990681e-07
1808,1.7222161829977267e-07,4.305540457494317e-08
1809,3.5240876172792923e-07,3.162642769893864e-08
1810,2.7613495179323877e-07,2.8081521108447305e-08
1811,2.682572222134638e-07,3.5099073869560016e-08
1812,4.56092607237224e-07,2.1337665856435706e-08
1813,5.406394265605741e-07,2.0130190847567064e-08
1814,4.1850805843068883e-07,6.293354282149721e-09
1815,2.2656677556298632e-07,8.091670444798638e-09
1816,2.340779925447123e-07,3.244645441213834e-08
1817,1.743698163636509e-07,1.5568733857662664e-08
1818,2.2292601631335174e-07,1.4305412854298538e-08
1819,2.0495079677829153e-07,6.003609342997152e-08
1820,3.4056800757298333e-07,1.542642635854463e-08
1821,1.775067930420704e-07,7.88919063410276e-09
1822,2.526455205043021e-07,3.208197085768916e-08
1823,2.2236045893464507e-07,1.2847492847356534e-08
1824,1.1452713088999644e-07,4.884245186076441e-08
1825,2.157333565122599e-07,3.6982861217893515e-08
1826,2.2108041086710273e-07,1.6735169694470642e-08
1827,1.788150966741675e-07,2.949527377893446e-08
1828,2.8434132914867405e-07,1.2841221419535032e-08
1829,2.7091235921261614e-07,9.773420828196322e-08
1830,2.661393203595708e-07,3.131050907434485e-08
1831,2.8843730337513307e-07,1.5591206548037917e-08
1832,3.2607225275427254e-07,3.5177919244233635e-08
1833,2.2124730714168095e-07,5.09679658478035e-08
1834,2.538992500689119e-07,5.694063887062839e-08
1835,2.284052555978633e-07,2.949604294144592e-08
1836,1.9557382202606277e-07,2.016225053580456e-08
1837,2.6231248995145506e-07,2.2265250976261086e-08
1838,2.62585935217885e-07,1.64116205070286e-08
1839,2.670743599608727e-07,3.8453112694014635e-08
1840,1.828100679723832e-07,5.350538501147639e-08
1841,2.7672563618352797e-07,2.8892468861840825e-08
1842,2.0527291511029944e-07,2.884553929050071e-08
1843,1.8311424465622395e-07,3.485077471054865e-08
1844,1.9484392499435899e-07,1.4819115712327857e-08
1845,1.556883555409172e-07,2.9575208060350633e-08
1846,2.2949644962189097e-07,2.6930706553685013e-08
1847,2.3298726414822113e-07,3.55952778363644e-08
1848,2.0515314647084892e-07,2.252662056889676e-08
1849,2.3462361786741326e-07,2.262441967104678e-08
1850,1.8737628959542008e-07,1.2899092460827433e-08
1851,2.076719312071873e-07,2.257303499675345e-08
1852,2.428433436563182e-07,2.799534470909748e-08
1853,1.9169901221971486e-07,1.7915795957890168e-08
1854,2.2237443531025747e-07,2.1302223984775992e-08
1855,2.250141406534567e-07,3.502578493908004e-08
1856,1.7240040683930147e-07,4.504154560436291e-08
1857,2.3968210349778474e-07,1.8549734193129552e-08
1858,1.9330019895846817e-07,7.09583005686909e-08
1859,2.1641737291133722e-07,3.360834455179429e-08
1860,2.1466992494723058e-07,3.4786598490654796e-08
1861,2.1551953910403654e-07,1.226150558863992e-08
1862,1.992431895025959e-07,2.6656119089807362e-08
1863,2.402412633273343e-07,1.548332484446746e-08
1864,2.526821640813637e-07,2.3973639073915365e-08
1865,1.845083001938974e-07,3.106517354467542e-08
1866,1.9073202928154842e-07,1.6543083347642096e-08
1867,2.4846394630628765e-07,3.8337212515671126e-08
1868,2.618133150278368e-07,4.890475224783586e-08
1869,2.402691445801963e-07,2.6371003158942585e-08
1870,2.230545019799024e-07,1.834895613228582e-08
1871,1.8480847785440346e-07,3.292564798584863e-08
1872,1.360651387116718e-07,3.4469834986339265e-08
1873,2.071157587657524e-07,2.0352414864532875e-08
1874,2.067214737166978e-07,2.0911132381229436e-08
1875,2.454535206197761e-07,3.94785359958405e-08
1876,2.4304979806544225e-07,8.645800875228815e-08
1877,2.0533589140114827e-07,3.277952487223956e-08
1878,2.294853649331685e-07,4.7708802242141246e-08
1879,2.419292819411112e-07,3.787781821529279e-08
1880,1.8996824735495466e-07,4.4924924003098e-08
1881,1.9662471384407354e-07,2.091752193678076e-08
1882,2.3560064033034678e-07,2.3959387362992857e-08
1883,1.9779531257313465e-07,2.0221884611260066e-08
1884,2.502043292551548e-07,2.706695667598069e-08
1885,2.507352143688024e-07,5.4787903991382336e-08
1886,2.652373538580832e-07,2.3877817056927597e-08
1887,1.978264094759652e-07,3.3297514079322355e-08
1888,2.517224064746415e-07,3.3605258797919646e-08
1889,2.794250875126636e-07,2.06749512510207e-08
1890,2.975691320017404e-07,9.831579994568074e-09
1891,3.340091216941232e-07,3.3783366659712044e-08
1892,2.7330714047479887e-07,3.0715710863660206e-08
1893,2.8082379888161313e-07,1.7859408174558666e-08
1894,2.6025356980596825e-07,2.5836310868498913e-08
1895,3.2319959153426225e-07,3.972285611553161e-08
1896,3.184395502842108e-07,2.8305739752099157e-08
1897,2.756035417661451e-07,2.3889525024856084e-08
1898,3.1347285012195414e-07,3.22526237939158e-08
1899,3.067805884882091e-07,2.3215829259015663e-08
1900,3.1198228533924066e-07,2.0245106924221545e-08
1901,3.2805897465237877e-07,2.0678333711998675e-08
1902,3.338992904389215e-07,1.4730851205513318e-08
1903,4.0879667828619404e-07,3.2401320737562855e-08
1904,3.03666308099082e-07,1.7198800605910947e-08
1905,3.5402807796458546e-07,4.283430143914302e-08
1906,3.708956928250018e-07,3.240836221607424e-08
1907,3.6205617703899406e-07,5.657127744029822e-08
1908,4.346579451919297e-07,3.1432890068572306e-08
1909,4.2522604104533457e-07,1.870334465081669e-08
1910,4.1684376306250215e-07,1.7101282168141552e-08
1911,3.633815612857916e-07,3.032613093978398e-08
1912,3.969578870055557e-07,2.2921453179947093e-08
1913,4.836326539248148e-07,3.075734156254839e-08
1914,3.3483718020477227e-07,3.214437072074361e-08
1915,3.475324659163448e-07,1.0602685840410686e-08
1916,3.351176047772242e-07,3.2962386153911893e-09
1917,3.717617982346155e-07,5.483212106582869e-09
1918,3.112808055760752e-07,2.5270027848023346e-08
1919,4.2264024902038955e-07,1.8415697411455767e-08
1920,4.376750055712364e-07,1.1358347151713133e-08
1921,4.271029689917327e-07,1.060184651180407e-08
1922,4.4267611976067656e-07,9.591316185719734e-09
1923,3.344023546958397e-07,3.078624999375279e-08
1924,4.073753245847911e-07,1.5469948877466777e-08
1925,3.0794897121211307e-07,1.3197813508725176e-08
1926,3.589056714048411e-07,2.1177663400706592e-08
