year,autres_ADJ oies_NOUN,autres_ADJ doigts_NOUN
1800,1.5720821977538435e-08,6.351212391564331e-07
1801,4.7623651688866175e-09,6.119639124335663e-07
1802,4.475680270843441e-09,2.730164965214499e-07
1803,0.0,6.884697540954221e-07
1804,4.943701892301533e-09,4.82010932500998e-07
1805,0.0,1.1001936854881933e-06
1806,1.152667650217154e-08,1.930718269704812e-07
1807,0.0,3.21705925898641e-07
1808,4.5321479902327155e-09,4.1469152733952797e-07
1809,0.0,2.552704359004565e-07
1810,0.0,2.1997190913225495e-07
1811,0.0,1.42903374467096e-07
1812,0.0,4.5875981413701084e-07
1813,0.0,2.386865673997818e-07
1814,0.0,4.1536137018738373e-07
1815,1.0788894222457657e-08,2.454473531088297e-07
1816,0.0,5.678129468833504e-07
1817,0.0,6.585574396922311e-07
1818,2.026600220972341e-08,4.959209718435886e-07
1819,0.0,3.353740112288506e-07
1820,4.746592452420373e-09,6.289234875112015e-07
1821,2.9584463767662328e-09,2.0216050700128108e-07
1822,1.0025615893027862e-09,3.488914330773696e-07
1823,1.8777105759149038e-08,3.7257728990880423e-07
1824,0.0,2.501070355265256e-07
1825,2.905796137042671e-08,5.292071136864251e-07
1826,0.0,4.500880095292814e-07
1827,0.0,4.4427255829759815e-07
1828,5.503380862137419e-09,4.595322877776198e-07
1829,8.57317605795771e-10,6.266991476877593e-07
1830,2.0873671680021744e-09,3.7050767787150107e-07
1831,1.5591206103948707e-09,3.5236126905147103e-07
1832,0.0,3.8695711168657e-07
1833,0.0,3.0812452678219415e-07
1834,5.600718555598405e-09,5.479369633576425e-07
1835,2.2689263801112247e-09,6.080722414480988e-07
1836,2.688300027031687e-09,5.383320740293129e-07
1837,1.3915781860163179e-09,5.990743829897838e-07
1838,1.8936485712828244e-09,3.004589075317199e-07
1839,1.3982950353153e-09,4.537467361842573e-07
1840,3.821813199245128e-09,3.095668716923683e-07
1841,6.420548537278137e-10,4.2889263340839534e-07
1842,2.683306021822318e-09,2.797346496663522e-07
1843,0.0,3.2133596050698543e-07
1844,1.2074834465636286e-08,3.2766709523457394e-07
1845,2.2878934136105755e-08,4.2856152049353113e-07
1846,1.1709002656346001e-09,3.4307376495235076e-07
1847,3.235934187273415e-09,2.890767802909977e-07
1848,2.413566457803995e-09,3.708847202688048e-07
1849,8.379414939696517e-10,3.4858365438594774e-07
1850,6.788996032014438e-10,3.0007362283868133e-07
1851,6.449438760824933e-09,2.592674377410731e-07
1852,6.510545436100301e-10,3.2943358974080184e-07
1853,1.1943863675867306e-09,6.025679226695502e-07
1854,3.63696517347023e-09,5.258012265585421e-07
1855,2.653468555990912e-09,4.3251537817923236e-07
1856,5.177189232874468e-10,2.3970386564542423e-07
1857,9.763018171682347e-10,2.0551152601910871e-07
1858,4.893676019968041e-10,2.393007605405728e-07
1859,0.0,2.6224691396237176e-07
1860,1.3731551729012637e-09,3.0484045510092983e-07
1861,3.7727710400226044e-09,2.9899209152972617e-07
1862,1.355395878865906e-09,2.448748546157731e-07
1863,6.992469381295052e-09,2.5122943725364166e-07
1864,4.794727948009836e-10,2.6802530328495777e-07
1865,0.0,3.290084293894324e-07
1866,2.919367692033603e-09,3.1334548111772165e-07
1867,0.0,3.9550414498989994e-07
1868,9.87974813071446e-10,3.1022409530123696e-07
1869,9.278686263769487e-09,4.849334231948887e-07
1870,3.4404292748035914e-09,2.9415670610433153e-07
1871,1.0621177271019633e-09,3.6005789638693386e-07
1872,5.442605477412599e-09,3.059953712636343e-07
1873,1.1972008939764578e-09,5.207824074204837e-07
1874,1.0156835372754358e-08,5.066468702352722e-07
