year,pourrais_VERB étendre_VERB
1800,7.231578535993322e-08
1801,3.333655484993869e-08
1802,6.713520406265161e-09
1803,3.90067853572873e-08
1804,3.707776485839531e-08
1805,1.7057265822018053e-08
1806,3.458002950651462e-08
1807,3.131650672116848e-08
1808,3.172503681980743e-08
1809,2.0331274441787173e-08
1810,1.1700633351097167e-08
1811,2.5070768572277302e-08
1812,5.3344164641089264e-09
1813,2.5881675469463516e-08
1814,2.2026739543434815e-08
1815,1.6183340889597275e-08
1816,9.270415546325239e-09
1817,2.9580593974287694e-08
1818,8.583247534943439e-08
1819,2.173720581311045e-08
1820,6.645229433388522e-08
1821,2.6626018723163725e-08
1822,3.107940926838637e-08
1823,4.743689885344793e-08
1824,1.1789557774477544e-08
1825,6.075755720758025e-08
1826,1.5854372037438225e-08
1827,2.7651818612639545e-08
1828,5.961995697134626e-08
1829,4.715246859632316e-08
1830,4.383471008395645e-08
1831,3.4300654760954785e-08
1832,3.788391467196561e-08
1833,5.444305273272221e-08
1834,2.42697808516823e-08
1835,3.403389570166837e-08
1836,4.2340726480460944e-08
1837,7.653680356156656e-09
1838,3.408567295082321e-08
1839,3.216078425793967e-08
1840,4.522479102320176e-08
1841,3.467096121312352e-08
1842,2.1466448174578545e-08
1843,3.4260082770742883e-08
1844,2.7442807137845193e-08
1845,4.185170965342877e-08
1846,4.859236213405893e-08
1847,3.4516631330916425e-08
1848,5.068489628001771e-08
1849,1.9272654583346593e-08
1850,1.6293590476834652e-08
1851,2.7732586005413395e-08
1852,2.408901877970493e-08
1853,2.6873692604567623e-08
1854,8.832629738719788e-09
1855,3.449509122788186e-08
1856,1.8120163147727908e-08
1857,1.513267733344037e-08
1858,2.1532175153993194e-08
1859,2.2405561850291633e-08
1860,1.785101666484934e-08
1861,1.650587222457034e-08
1862,1.8975542914745347e-08
1863,2.5472566278494924e-08
1864,1.726102105692462e-08
1865,1.6473954644879996e-08
1866,2.3354942868536455e-08
1867,1.358787216076962e-08
1868,2.6181332657415624e-08
1869,1.904572499711321e-08
1870,1.3188312664169644e-08
1871,4.248470908407853e-09
1872,1.814201766592305e-08
1873,2.2746817762708815e-08
1874,2.5093358502203955e-08
1875,2.803548326824057e-08
1876,1.3301232115736639e-08
1877,3.587193120324628e-08
1878,1.872117572077059e-08
1879,1.0996785704264767e-08
1880,1.2193908105473383e-08
1881,2.7890030285249168e-09
1882,4.6587693702804245e-09
1883,2.5277355764075082e-09
1884,9.902545450302114e-09
1885,1.2246707647989297e-08
1886,8.38950331427668e-09
1887,9.793386546164129e-09
1888,4.4384300679212174e-09
1889,5.6386229019267375e-09
1890,7.209825181320184e-09
1891,1.0836173736095134e-08
1892,2.5074049503359674e-09
1893,1.0469308087124318e-08
1894,1.1342770278588432e-08
1895,9.629783193076946e-09
1896,5.307326134129653e-09
1897,6.409385022720926e-09
1898,9.619203211741478e-09
1899,6.633094074004475e-09
1900,2.07642125715779e-09
1901,5.58873880507349e-09
1902,4.419255628107521e-09
1903,8.640352433531007e-09
1904,8.061937784020756e-09
1905,8.773290538499623e-09
1906,2.0576738091193647e-09
1907,2.5714217422034835e-09
1908,3.437972351250096e-09
1909,4.950885035270858e-09
1910,7.481810726517324e-09
1911,4.25629931299909e-09
1912,8.856016364688912e-09
1913,3.181793939432964e-09
1914,9.37544086809794e-09
1915,0.0
1916,2.197492410260793e-09
1917,5.483212106582869e-09
1918,6.89182577673364e-09
1919,0.0
1920,4.543339038320937e-09
1921,3.0290989716519334e-09
1922,7.377935484775833e-10
1923,3.1847844361720945e-09
1924,1.675911143195208e-08
1925,3.299453377181294e-09
1926,3.343841648018042e-09
1927,4.4596899506643695e-09
1928,4.570416489713125e-09
1929,2.2280812750352652e-09
1930,2.100720708497761e-09
1931,3.4216069977333063e-09
1932,3.287861094491973e-09
1933,0.0
1934,1.1981580172459871e-09
1935,2.393656828303392e-09
1936,2.424942913137329e-09
1937,0.0
1938,3.8895642262559704e-09
1939,1.5294050470515685e-09
1940,0.0
1941,5.9030051957620344e-09
1942,0.0
1943,0.0
1944,0.0
1945,0.0
1946,1.3921104269343232e-09
1947,4.7683483828109274e-09
1948,2.174377566888097e-09
1949,1.9634016634739737e-09
1950,1.0635361480382244e-09
1951,1.0661401761424827e-09
1952,4.2179215675730575e-09
1953,2.1547654771580937e-09
1954,9.772536113672459e-10
1955,4.6928039232341234e-09
1956,2.616342476002842e-09
1957,8.835037701437898e-10
1958,0.0
1959,2.325224457422337e-09
1960,4.844583401109048e-09
1961,5.55852741612739e-09
1962,1.9025869768540815e-09
1963,1.939815863494232e-09
1964,3.6503808864551957e-09
1965,0.0
1966,1.6617224263271169e-09
1967,1.4791006197611978e-09
1968,2.245707841908029e-09
1969,3.1792304344691047e-09
1970,2.2993624781975086e-09
1971,5.138397485282553e-10
1972,5.130146862875051e-10
1973,6.064523994098181e-09
1974,2.812785782069227e-09
1975,5.711480177694739e-10
1976,0.0
1977,2.938390863960194e-09
1978,2.3762365408686037e-09
1979,5.851973350345929e-10
1980,0.0
1981,3.795329828193417e-09
1982,6.207502289967692e-10
1983,1.89459470334441e-09
1984,1.1598016991243298e-09
1985,2.4062232206745193e-09
1986,2.3977941854269602e-09
1987,4.277571630240118e-09
1988,2.398621523624911e-09
1989,2.1952488715726304e-09
1990,5.44865097484859e-10
1991,2.9307325455363298e-09
1992,2.7549720282848966e-09
1993,5.539207426075166e-10
1994,5.274926606624319e-10
1995,1.0844901643380922e-09
1996,0.0
1997,2.876936688878118e-09
1998,1.43043876743576e-09
1999,9.140402323914998e-10
2000,1.3254094488601709e-09
2001,1.7524847129024579e-09
2002,4.38122149670761e-10
2003,4.1669229178253886e-10
2004,2.642874807889939e-09
2005,1.3511248786457486e-09
2006,4.529678854225949e-09
2007,4.393927444112933e-09
2008,1.7029758714315335e-09
2009,2.384096253749135e-09
2010,2.8342759250676863e-09
2011,3.059177577924288e-09
2012,1.3617010852229328e-09
2013,5.29933741333366e-09
2014,2.165445156521173e-09
2015,3.989835573037226e-09
2016,5.178350193091319e-09
2017,2.264050280587071e-09
2018,2.581466596041082e-09
2019,4.591778068885333e-09
