year,leurs_DET eaux_NOUN,leurs_DET do_NOUN
1800,2.37384421630793e-06,0.0
1801,2.4002320841987057e-06,1.1905912700171939e-08
1802,2.9673759058823634e-06,6.713520406265161e-09
1803,2.1278201174368405e-06,1.950339223455444e-09
1804,3.220821721328093e-06,0.0
1805,2.1748014358280443e-06,1.9900143755080535e-08
1806,1.948008243601862e-06,8.645007376628655e-09
1807,2.334503134804322e-06,1.4234775136401367e-08
1808,2.0893201906346803e-06,9.064295980465431e-09
1809,2.069272007076961e-06,1.3554183553310395e-08
1810,2.2114197371081445e-06,2.3401267590372754e-09
1811,1.9028712952007254e-06,1.0028307073639553e-08
1812,2.02974537266698e-06,1.0668832928217853e-08
1813,1.9785103546610117e-06,0.0
1814,1.9540865867639923e-06,2.2026739543434815e-08
1815,1.801745327156823e-06,8.091670444798638e-09
1816,1.5921939109375671e-06,6.952811659743929e-09
1817,1.3046598770216633e-06,3.113746815941454e-09
1818,1.6534673044077408e-06,1.0729059418679299e-08
1819,1.3715141626846616e-06,4.140420006848444e-09
1820,1.664867284034699e-06,9.493184904840746e-09
1821,1.3411623509540505e-06,5.9168927535324656e-09
1822,1.7695212051194176e-06,8.02049271442229e-09
1823,1.4280482449890997e-06,7.906149512848515e-09
1824,1.7524335866880847e-06,3.3684450784221553e-09
1825,1.8350543555811782e-06,6.163809906922779e-09
1826,1.8408687090243347e-06,8.80798456392995e-09
1827,1.3263655525008744e-06,7.373818444733615e-09
1828,1.5528705574752166e-06,8.255071293206129e-09
1829,1.8449474730175552e-06,1.2002446148073886e-08
1830,1.7147720896559804e-06,7.305785310052215e-09
1831,1.8849768714801485e-06,9.354723218280014e-09
1832,1.4341768022063661e-06,1.2176972319366541e-08
1833,2.2703911355392847e-06,1.6217079235048004e-08
1834,1.9247802338639985e-06,7.467624740797874e-09
1835,1.8537128951834347e-06,9.075705520444899e-09
1836,1.6707784595837438e-06,8.736974699274924e-09
1837,1.6810264291677868e-06,1.2524203896191466e-08
1838,1.8191650958954142e-06,5.680945491803868e-09
1839,1.5234424424193094e-06,4.894032734625853e-09
1840,1.603250655790589e-06,8.280594876453051e-09
1841,1.357303966997847e-06,3.852329122366882e-09
1842,1.4758182649288187e-06,8.049918065466954e-09
1843,1.3916682206627229e-06,2.3627644285539873e-09
1844,1.4314167691154012e-06,4.9397050894128824e-09
1845,1.4346766352701934e-06,1.0602432709561072e-08
1846,1.3178481932385466e-06,1.7563503984519002e-09
1847,1.2911377176294536e-06,1.0786447290911383e-08
1848,1.242986698457571e-06,5.63165514222419e-09
1849,1.4136072472581418e-06,5.865590679832167e-09
1850,1.3306432302684357e-06,7.467895635215882e-09
1851,1.3118157955460674e-06,1.2253933867611977e-08
1852,1.3424744675916145e-06,3.2552727180501506e-09
1853,1.461928928137013e-06,1.0152284346531815e-08
1854,1.3550292843333978e-06,9.871762074453727e-09
1855,1.4100531942062844e-06,3.714855978387277e-09
1856,1.3900753312867664e-06,6.212626857404757e-09
1857,1.4498081668534724e-06,8.78671624349181e-09
1858,1.3071008506670978e-06,7.34051397444091e-09
1859,1.2455456204207849e-06,6.619825576592575e-09
1860,1.2436208720600916e-06,9.612086238064421e-09
1861,1.342634897483208e-06,5.659156698811785e-09
1862,1.3874736257690756e-06,5.873382225018986e-09
1863,1.2971030667330297e-06,6.493007020935693e-09
1864,1.458556289080093e-06,3.3563094525845827e-09
1865,1.2684945289720417e-06,5.6482134525026595e-09
1866,1.2431641103205493e-06,6.3252967308358166e-09
1867,1.1714686873887104e-06,8.249779526181555e-09
1868,1.3061026660210473e-06,3.951899252285784e-09
1869,1.3317356568620653e-06,4.395167341186834e-09
1870,1.406562120109811e-06,6.307453670473251e-09
1871,1.1173478124959502e-06,1.0621176826930423e-08
1872,1.1465755296313773e-06,7.256807155187062e-09
1873,1.2187505653571407e-06,5.387403856360606e-09
1874,1.3251683341763965e-06,5.974609251779839e-09
1875,1.2764727213010474e-06,6.865832347102696e-09
1876,1.4395560707924915e-06,6.650616057868319e-09
1877,1.478171014923646e-06,4.9478527941460015e-09
