year,trois_DET oies_NOUN,trois_DET doigts_NOUN
1800,1.2576657937302116e-08,2.502754917088623e-06
1801,3.333655484993869e-08,1.1191557689471665e-06
1802,3.5805442166747525e-08,1.2755688203469617e-06
1803,5.655983681407406e-08,1.829418199150723e-06
1804,3.213406074564773e-08,1.8242260342304917e-06
1805,3.127165526528586e-08,1.438496155969915e-06
1806,8.645007376628655e-09,6.771922240744743e-07
1807,0.0,7.003509843173106e-07
1808,4.5321479902327155e-09,8.543098699576035e-07
1809,1.129515236897305e-08,8.200280561254658e-07
1810,3.042164919975221e-08,4.586648509885549e-07
1811,0.0,7.571371725134668e-07
1812,3.467370746079723e-08,7.708232008241112e-07
1813,3.163315653864629e-08,5.808998366774176e-07
1814,3.1466771410748606e-09,4.877349510934437e-07
1815,0.0,1.073495013770298e-06
1816,6.952811659743929e-09,1.4855840468896986e-06
1817,2.490997452753163e-08,1.5755558724350749e-06
1818,5.960588467246453e-09,1.0419108527059961e-06
1819,4.140420006848444e-09,1.0506315402114552e-06
1820,8.306536791735653e-09,1.294633126036615e-06
1821,8.875339574387908e-09,5.482987717186916e-07
1822,1.804610860745015e-08,1.083769120668876e-06
1823,1.9765373782121287e-09,1.619772415750731e-06
1824,3.3684450784221553e-09,4.4210841565472947e-07
1825,1.7610886082763955e-09,1.1852125894051824e-06
1826,0.0,7.460362709821311e-07
1827,0.0,6.922172222090239e-07
1828,9.172301140836225e-09,1.0135393040400231e-06
1829,1.2002446148073886e-08,8.350273432711219e-07
1830,0.0,5.541959553490017e-07
1831,7.795603274018958e-09,6.189708745552025e-07
1832,0.0,6.007306438959858e-07
1833,6.950177322551099e-09,4.795622130515653e-07
1834,6.534171426153534e-09,6.272804558005163e-07
1835,7.563087933704082e-09,1.0542944934854859e-06
1836,0.0,7.843115490402397e-07
1837,4.174734336004349e-09,7.159669768164179e-07
1838,2.5248647617104325e-09,6.678267396864612e-07
1839,0.0,6.732790742702832e-07
1840,5.7327197988676915e-09,5.85374399952876e-07
1841,6.420548537278137e-10,5.239167499837549e-07
1842,0.0,4.1725409438697625e-07
1843,1.7720733769266417e-09,7.755774049655884e-07
1844,1.811225169845443e-08,6.311845571760344e-07
1845,6.138250796539069e-09,5.368179203379952e-07
1846,5.854501328173001e-10,5.550067001536263e-07
1847,8.089835468183537e-09,4.821542036737014e-07
1848,0.0,4.5938217141383575e-07
1849,8.379414495607307e-09,4.893578253728492e-07
1850,1.0183494048021657e-08,5.2343161272006e-07
1851,8.384270167027807e-09,4.753236437782249e-07
1852,3.2552727180501506e-09,5.143331112122951e-07
1853,1.7915795513800958e-09,8.372648343524247e-07
1854,3.1173986725363534e-09,5.522991408657418e-07
1855,1.5920811335945473e-08,5.540442451490435e-07
1856,3.624032518523279e-09,4.4368512952530637e-07
1857,3.905207268672939e-09,4.774115770489473e-07
1858,9.787352039936081e-10,4.213455122581422e-07
1859,3.055304009791371e-09,4.440375054315382e-07
1860,1.1900677859832953e-08,4.169814404875183e-07
1861,5.187560159214399e-09,3.923681717310501e-07
1862,1.1294966073549517e-08,3.7770364302858184e-07
1863,1.1987089820753027e-08,3.2115411952027273e-07
1864,2.3973640850272204e-09,3.9892137504438097e-07
1865,7.060266649094871e-09,3.355979907304629e-07
1866,1.2650593461671633e-08,4.1357708546740923e-07
1867,7.76449837758264e-09,3.8725435480557735e-07
1868,8.397785578040384e-09,3.8531017176879345e-07
1869,7.325278716940886e-09,4.0289033531593077e-07
1870,1.0894693147633916e-08,4.6216434412826857e-07
1871,1.6993883855676017e-08,3.749275601094837e-07
1872,1.511834801792844e-08,3.797729135612826e-07
1873,1.5563611011071288e-08,4.3159092921740694e-07
1874,1.553398404352535e-08,4.893204970102261e-07
1875,5.721527140956084e-10,3.9421322622912314e-07
1876,4.836811839936672e-09,3.875495404592755e-07
1877,4.329371194877751e-09,5.523040460531092e-07
1878,4.831270938865373e-09,4.988287356511023e-07
1879,6.109325489944695e-09,3.7083604009779947e-07
1880,8.343199908722454e-09,3.1383266807516463e-07
1881,1.2550513517339823e-08,3.4513912283706816e-07
