year,voulais_VERB écrire_VERB,voulais_VERB décrire_VERB
1800,6.288328968651058e-09,3.144164484325529e-09
1801,0.0,1.904946067554647e-08
1802,6.713520406265161e-09,4.475680270843441e-09
1803,2.145373123596528e-08,1.950339223455444e-09
1804,4.943701892301533e-09,4.943701892301533e-09
1805,2.842877711017877e-09,0.0
1806,2.0171682990621775e-08,0.0
1807,8.540865792383556e-09,0.0
1808,0.0,3.6257183921861724e-08
1809,3.162642769893864e-08,9.036122072814123e-09
1810,1.8721014072298203e-08,2.3401267590372754e-09
1811,0.0,2.5070767684098882e-09
1812,2.6672082320544632e-09,0.0
1813,3.738464116054274e-08,3.163315653864629e-08
1814,1.2586708564299443e-08,0.0
1815,4.8550024445148665e-08,8.091670444798638e-09
1816,2.3176038865813098e-09,0.0
1817,2.0239355080775567e-08,1.0898113522728181e-08
1818,1.668964877410417e-08,0.0
1819,4.0369094733705424e-08,6.210630232317271e-09
1820,3.678609061807947e-08,1.779972080839798e-08
1821,6.409967312492881e-08,1.8736827200882544e-08
1822,2.3058916553964082e-08,1.0025615893027862e-09
1823,2.3718449426723964e-08,1.3835761869529506e-08
1824,3.03160057057994e-08,1.6842225392110777e-09
1825,2.4655239627691117e-08,9.68598712347557e-09
1826,2.2019960965735663e-08,1.8496766784892316e-08
1827,1.474763688946723e-08,5.530363722527909e-09
1828,2.659967357487858e-08,1.1923991571904935e-08
1829,5.486832677092934e-08,1.7146351893870815e-08
1830,4.383471008395645e-08,6.262101504006523e-09
1831,1.870944643656003e-08,1.2472964883158966e-08
1832,6.088486514954639e-08,9.470978667991403e-09
1833,3.938433579264711e-08,3.70676112027013e-08
1834,2.6136685704614138e-08,1.9602515166639023e-08
1835,3.479020449503878e-08,1.4369867074037757e-08
1836,1.747394939854985e-08,1.1425274948351216e-08
1837,5.0792603900617905e-08,2.2961039292113128e-08
1838,1.9567702125300457e-08,1.3886756633496589e-08
1839,3.0063343814390464e-08,1.0487212875887053e-08
1840,2.1019973317493168e-08,4.33138822586443e-08
1841,2.1829865914924085e-08,1.4767261191650505e-08
1842,1.2074877098200432e-08,1.2074877098200432e-08
1843,1.3585895075607368e-08,6.497602011990011e-09
1844,1.4819115712327857e-08,1.811225303072206e-08
1845,2.7343116215661212e-08,1.2834524554250493e-08
1846,1.7563504428608212e-08,3.219975752699611e-08
1847,1.3483059113639229e-08,8.089835468183537e-09
1848,8.045221711050488e-10,5.63165514222419e-09
1849,8.379414495607307e-09,1.9272654583346593e-08
1850,1.6293590476834652e-08,1.8330290174617403e-08
1851,2.5152811389261842e-08,1.0319102017319892e-08
1852,9.765818376195057e-09,1.9531636308300904e-09
1853,1.1346670270029335e-08,7.166318205520383e-09
1854,2.0782657372819813e-08,7.27393034694046e-09
1855,2.5473298137512757e-08,6.8990182455763716e-09
1856,1.501384794266869e-08,1.0354378687793542e-08
1857,4.051652524594829e-08,1.1715622250108026e-08
1858,2.397901255335455e-08,1.3212924976357954e-08
1859,3.513599722282379e-08,8.656694916453489e-09
1860,3.112485202905191e-08,1.5562426014525954e-08
1861,3.961409689168249e-08,9.903524222920623e-09
1862,2.4848924695675123e-08,5.873382225018986e-09
1863,2.447364266799923e-08,3.995696662428827e-09
1864,1.7740493518658695e-08,1.2466292886870178e-08
1865,3.294790928975999e-08,1.2237795665726026e-08
1866,4.135770836910524e-08,8.271541673821048e-09
1867,4.2219461704462447e-08,3.396968040192405e-09
1868,2.0253484223076157e-08,1.5807597009143137e-08
1869,3.320792885119772e-08,1.4162205630441349e-08
1870,1.6055336615750093e-08,9.747882501187632e-09
1871,2.2304472935275044e-08,4.248470908407853e-09
1872,3.8702971494330995e-08,7.861540751719076e-09
1873,2.334541804316359e-08,4.190203295451056e-09
1874,2.2703515512034755e-08,3.5847653734322193e-09
1875,2.689117728493784e-08,7.437985338754061e-09
1876,3.506688628363008e-08,1.0882827083946722e-08
1877,2.4120781816350245e-08,1.608052180301911e-08
1878,2.294853729267743e-08,7.850815109122777e-09
1879,1.7717043832021773e-08,4.887460214320072e-09
1880,2.759673911612026e-08,4.492492600149944e-09
1881,3.486253774553916e-08,9.761510710859511e-09
1882,3.4608003574021495e-08,7.986462158271479e-09
1883,3.4124429504345244e-08,2.9700892412165558e-08
1884,4.885255577846692e-08,2.2445769687351458e-08
1885,2.127059772760731e-08,9.023890079618013e-09
1886,3.807543791367607e-08,7.744156427236248e-09
1887,3.525619263200497e-08,1.1099172247952538e-08
1888,1.9655905347804037e-08,8.876860135842435e-09
1889,2.8193115397812107e-08,1.8168895721260014e-08
1890,2.0318598359381213e-08,1.3108772733971819e-08
1891,2.8683990294098294e-08,5.736798147637501e-09
1892,1.6298132621272998e-08,1.0656471260972467e-08
1893,1.1085149687062312e-08,1.23168328869383e-08
1894,3.3398158905129094e-08,1.071261657159539e-08
1895,2.347259631108045e-08,7.824199066419624e-09
1896,2.7126333179694484e-08,6.486732040400511e-09
1897,2.0976168357833558e-08,1.7480140668268973e-09
1898,3.395012981854961e-08,5.092519295146758e-09
1899,1.492446166651007e-08,1.1055156790007459e-09
1900,2.9589003247565415e-08,2.07642125715779e-09
1901,2.0678333711998675e-08,1.676621685930968e-08
1902,1.5712908307818907e-08,1.4730852093691738e-09
1903,1.0260418292773466e-08,7.560307935250421e-09
1904,1.7198800605910947e-08,5.374625189347171e-09
1905,2.167518786677647e-08,6.192911072844254e-09
1906,4.0639058340730116e-08,2.0576738091193647e-09
1907,2.828563872014911e-08,2.5714217422034835e-09
1908,2.0136695866312948e-08,1.964555629285769e-09
1909,3.6306492035009796e-08,4.950885035270858e-09
1910,2.0842188419578633e-08,5.34415089958884e-09
1911,2.128149745317387e-08,1.5961122423746588e-09
