year,aux_ADP une_PRON,aux_ADP dunes_NOUN
1800,3.144164484325529e-09,1.509198916949117e-07
1801,0.0,4.4289995670965254e-07
1802,2.2378401354217203e-09,9.398928568771225e-08
1803,0.0,8.191424782921786e-08
1804,2.4718509461507665e-09,2.1010732487170003e-07
1805,0.0,1.7910130090115217e-07
1806,0.0,2.3053352826707396e-07
1807,0.0,2.476850937682684e-07
1808,6.798221985349073e-09,1.7222161829977267e-07
1809,2.259030518203531e-09,1.5361407634806312e-07
1810,0.0,2.363528017745864e-07
1811,0.0,1.1031137958639192e-07
1812,0.0,9.601949102489016e-08
1813,0.0,7.476928232108548e-08
1814,9.440030979135372e-09,9.125363575890333e-08
1815,2.697223555614414e-09,7.82194824466842e-08
1816,4.6352077731626196e-09,6.952811482108245e-08
1817,0.0,1.214361262658059e-07
1818,1.1921177378582115e-09,1.0371424252753059e-07
1819,0.0,5.79658792076998e-08
1820,1.1866481131050932e-09,7.119888678630559e-08
1821,0.0,9.07256898496911e-08
1822,2.0051231786055723e-09,1.0627152846609533e-07
1823,3.95307486744656e-09,2.52008511170132e-07
1824,8.421112696055388e-10,1.0863235022640083e-07
1825,1.7610886082763955e-09,9.509878395874694e-08
1826,2.642395191543301e-09,8.103345550125596e-08
1827,9.217273055917019e-10,8.479891278057039e-08
1828,9.172301251858528e-10,1.219916079264749e-07
1829,8.57317605795771e-10,6.601345603485242e-08
1830,4.174734336004349e-09,7.305785132416531e-08
1831,0.0,1.3564348932959547e-07
1832,4.058990921151917e-09,5.817886794545757e-08
1833,1.1583628500844156e-09,2.2356403228673827e-07
1834,9.334530925997342e-10,1.1668163613087756e-07
1835,1.1344631900556124e-08,2.2916157149666105e-07
1836,2.688300027031687e-09,1.1626897844507766e-07
1837,6.957890930081589e-10,8.90610021286875e-08
1838,6.312161904276081e-10,1.2498080437239878e-07
1839,2.0974426639952526e-09,1.3563461465082582e-07
1840,0.0,8.726473338382945e-08
1841,2.5682194149112547e-09,6.869986801660843e-08
1842,2.683306021822318e-09,1.0263645577879288e-07
1843,5.906911071384968e-10,9.332919337357026e-08
1844,1.097712254427563e-09,9.385439625475556e-08
1845,3.9061593959388574e-09,2.0646842813221156e-07
1846,1.1709002656346001e-09,8.95738700990023e-08
1847,2.6966118227278457e-09,1.01392604534567e-07
1848,8.045221711050488e-10,8.930196315759531e-08
1849,8.379414939696517e-10,2.2792008280703158e-07
1850,3.394498016007219e-09,1.2831202855778656e-07
1851,1.9348316282474798e-09,1.0190113641783682e-07
1852,2.6042181744401205e-09,5.9245962802378926e-08
1853,5.971931837933653e-10,1.295909226595171e-07
1854,1.558699391779328e-09,1.1430461555050897e-07
1855,5.306937111981824e-10,1.3373481877465565e-07
1856,1.0354378465748937e-09,1.0147290829820577e-07
1857,2.440754598431738e-09,1.5523199081712846e-07
1858,4.893676019968041e-10,8.36818578875409e-08
1859,5.092173349652285e-10,1.24758248176704e-07
1860,1.3731551729012637e-09,8.238931314963338e-08
1861,3.3011746114475216e-09,1.0092162333608101e-07
1862,1.8071945329101169e-09,1.644547015233755e-07
1863,1.4983863039219614e-09,1.5882894244256818e-07
