year,deux_DET hivers_NOUN,deux_DET divers_ADJ
1800,1.2891074163690064e-07,9.432493897065797e-09
1801,8.572257570449437e-08,1.904946067554647e-08
1802,8.056224487518193e-08,6.713520406265161e-09
1803,1.9308357934733067e-07,2.145373123596528e-08
1804,7.662738066294139e-08,2.9662212241987618e-08
1805,1.2792949632967066e-07,1.9900143755080535e-08
1806,1.440834580535011e-07,8.933174200365102e-08
1807,7.402083213037258e-08,2.8469550272802735e-08
1808,8.384473915157287e-08,2.039466551195801e-08
1809,1.2650571168393299e-07,1.581321384946932e-08
1810,1.2870697219113936e-07,3.7442028144596406e-08
1811,7.019815129183371e-08,2.5070768572277302e-08
1812,5.3344166417446104e-08,1.8670457180292033e-08
1813,2.501895153272926e-07,0.0
1814,9.754699048514226e-08,6.293354282149721e-09
1815,4.045835311217161e-08,5.394447111228828e-09
1816,6.95281165974393e-08,3.7081662185300956e-08
1817,5.293369476078169e-08,5.4490570278176165e-08
1818,1.1563541812975586e-07,1.668964877410417e-08
1819,9.108924281520103e-08,1.552657524772627e-08
1820,5.933240654343308e-08,6.289234733003468e-08
1821,1.1537941180250755e-07,1.0354562363090736e-07
1822,4.6117833107928163e-08,1.0025615893027862e-07
1823,6.423746334860425e-08,3.7554210696733037e-07
1824,1.0610601819394105e-07,2.0968570879631443e-07
1825,1.0830694918695372e-07,4.3146670236637874e-08
1826,8.807984186454121e-08,2.906634755106552e-08
1827,5.069500019772022e-08,3.3182182335167454e-08
1828,7.24611788349705e-08,7.337841001486822e-09
1829,1.5688911636502212e-07,2.4862210068476998e-08
1830,1.0228099256437417e-07,3.965997663613052e-08
1831,4.5214498811674275e-08,1.091384405071949e-08
1832,6.494385473843067e-08,1.2176972319366541e-08
1833,1.1467792404573629e-07,1.7375443306377747e-08
1834,6.44082607248464e-08,3.453776287187793e-08
1835,1.1571524538567246e-07,5.974839467626225e-08
1836,8.871390422271475e-08,1.5457725055512128e-07
1837,1.099346762511999e-07,5.844628248041772e-08
1838,9.78385112926361e-08,1.6096012700472784e-07
1839,6.92156065795757e-08,3.915226187700682e-08
1840,1.1083258044664035e-07,2.356784811752277e-08
1841,6.998397727997485e-08,3.5955071808757566e-08
1842,9.257405508833472e-08,4.360372285461267e-08
1843,7.678984559333912e-08,4.371114314949409e-08
1844,7.190015527402949e-08,4.39084892889241e-08
1845,1.0323421728575255e-07,3.2923345827384765e-08
1846,8.079212054923346e-08,4.507965911670908e-08
1847,8.521293537455676e-08,1.0786447290911383e-08
1848,8.04522182207279e-08,3.218088551193432e-08
1849,8.21182679633381e-08,2.1786478399121734e-08
1850,5.29541681615342e-08,4.141287579528807e-08
1851,6.578427758086036e-08,4.772584816237213e-08
1852,8.398603612569389e-08,7.291811243703705e-08
1853,7.285756709052293e-08,4.956703492098313e-08
1854,9.975675485662805e-08,6.494580873095401e-08
1855,7.854267281004468e-08,3.714855978387277e-08
1856,6.05731106939622e-08,1.863788057221427e-08
1857,6.10188624072805e-08,7.66396937024183e-08
1858,8.612869684121449e-08,9.787352206469535e-09
1859,7.943790314435262e-08,2.2405561850291633e-08
1860,1.0802153971312123e-07,2.8378540406492903e-08
1861,8.818852359482321e-08,3.159695644017191e-08
