year,derniers_ADJ essais_NOUN,derniers_ADJ décès_NOUN
1800,1.4777573520419196e-07,0.0
1801,1.04772034603684e-07,0.0
1802,2.2378401354217203e-08,0.0
1803,4.4857802805609026e-08,0.0
1804,4.69651695311768e-08,0.0
1805,5.685755422035754e-09,0.0
1806,2.0171683878800195e-08,0.0
1807,1.4234775136401367e-08,0.0
1808,2.7192887941396293e-08,2.2660739951163578e-09
1809,9.036121717542756e-08,9.036122072814123e-09
1810,2.3401266702194334e-08,0.0
1811,8.524061279047146e-08,0.0
1812,4.000812481308458e-08,0.0
1813,3.4508900625951355e-08,0.0
1814,6.293354282149721e-09,0.0
1815,1.8880564667256294e-08,0.0
1816,4.4034472068688046e-08,0.0
1817,4.981994838892945e-08,0.0
1818,7.510341504257667e-08,0.0
1819,2.5877625375869684e-08,0.0
1820,1.898636980968149e-08,0.0
1821,1.3806083387635226e-08,0.0
1822,3.208197085768916e-08,0.0
1823,1.0870955358122103e-08,0.0
1824,1.6000114122505238e-08,0.0
1825,1.4088708866211164e-08,0.0
1826,5.108631029315802e-08,0.0
1827,4.3321183085254233e-08,0.0
1828,3.8523666034961934e-08,9.172301251858528e-10
1829,4.715246859632316e-08,0.0
1830,7.410153135545272e-08,0.0
1831,7.016042502527853e-08,0.0
1832,5.276687886635045e-08,0.0
1833,4.865124125785769e-08,0.0
1834,1.5868702352150876e-08,0.0
1835,2.4958190181223472e-08,0.0
1836,4.838939915430274e-08,0.0
1837,3.965997741328664e-08,0.0
1838,5.428459104450667e-08,0.0
1839,4.824117993962318e-08,0.0
1840,3.3759349093998026e-08,0.0
1841,3.78812359258518e-08,0.0
1842,4.8970334010078886e-08,0.0
1843,6.202256774834325e-08,5.906911071384968e-10
1844,2.7442807137845193e-08,2.195424508855126e-09
1845,3.459741293454499e-08,0.0
1846,5.1519613464279246e-08,0.0
1847,5.4471558819102484e-08,0.0
1848,4.103063222515857e-08,0.0
1849,5.027649052635752e-08,2.513824481908955e-09
1850,6.924776130290411e-08,1.3577992064028876e-09
1851,6.191461210391935e-08,2.579775504329973e-09
1852,2.278690836021724e-08,0.0
1853,5.2552998397459305e-08,5.971931837933653e-10
1854,3.221311928314208e-08,0.0
1855,4.4578271740647324e-08,3.714855978387277e-09
1856,4.4523826403519706e-08,1.0354378465748937e-09
1857,6.394776619345066e-08,0.0
1858,4.2085614881948175e-08,4.893676130990343e-09
1859,6.670747154657874e-08,1.018434669930457e-09
1860,4.165237399433863e-08,0.0
1861,3.536972786877257e-08,9.431927461278633e-10
1862,2.3945327554120155e-08,1.8071945051545413e-09
1863,5.0445671917476176e-08,4.994620828036034e-10
1864,6.90440810080517e-08,0.0
1865,3.200654163926231e-08,4.706844358715045e-10
1866,5.400830299651105e-08,9.731225825149181e-10
1867,4.221945992810561e-08,1.94112459439566e-09
1868,7.706203319912674e-08,2.4699371437009177e-09
1869,4.5416729377301124e-08,9.767038289254515e-10
1870,6.708837307911608e-08,5.734048791339319e-10
1871,2.0180236148803488e-08,0.0
1872,4.112190887806122e-08,1.8142017887967654e-09
1873,3.831042860724665e-08,1.7958012854535355e-09
1874,5.735624908353998e-08,7.169530746864439e-09
1875,9.841026837875688e-08,0.0
1876,7.738898943898675e-08,1.813804439976252e-09
1877,9.21537548492779e-08,0.0
1878,6.461825075021466e-08,5.435179861734696e-09
1879,1.5945338960321465e-07,1.221865053580018e-09
1880,5.390990831521947e-08,6.417846254436199e-10
1881,3.9743292323812796e-08,6.972507571312292e-10
1882,4.5256618896871714e-08,6.655385131892899e-10
1883,4.297150574261721e-08,1.8958017378167824e-09
1884,7.063815843366683e-08,6.601696966868076e-10
1885,8.057044542653102e-08,3.158361394639542e-08
1886,5.679048187268165e-08,2.5813855497602844e-09
1887,7.051238526400994e-08,1.3057849246322917e-09
1888,7.925768130689903e-08,4.4384300679212174e-09
1889,8.395283135342879e-08,4.385595886446936e-09
1890,1.0028211444579327e-07,5.898947996740844e-09
1891,6.947899577891548e-08,0.0
1892,7.961010761725618e-08,1.2537024751679837e-09
1893,1.1331486243770783e-07,3.695050043717174e-09
1894,1.4871632814106306e-07,2.520615716150587e-09
1895,1.354188237101539e-07,1.8055843487019274e-09
1896,1.0260830407560206e-07,5.89702897624278e-10
1897,1.538252311084065e-07,6.992056267307589e-09
1898,1.2448380859453323e-07,1.13167097914868e-09
1899,1.2215948252958242e-07,3.8693048765026106e-09
1900,1.9103076009940878e-07,2.595526460424935e-09
1901,1.6430892291197097e-07,5.588738916095792e-10
1902,1.6302142213930892e-07,1.9641135384773634e-09
1903,1.5984652512734954e-07,4.320176216765503e-09
1904,1.8918680311230673e-07,4.299700151477737e-09
1905,1.3727618819459053e-07,1.5482277682110634e-09
1906,1.1522973392130709e-07,5.144184522798412e-10
1907,1.9594233968689423e-07,0.0
1908,1.861416498716295e-07,3.437972351250096e-09
1909,1.7108058614212496e-07,5.500983557560346e-10
1910,1.255875443639809e-07,5.344150677544235e-10
1911,8.778617321958393e-08,1.5961122423746588e-09
1912,1.9587423449873853e-07,6.251305251225858e-09
1913,1.9833181030826097e-07,3.181793939432964e-09
1914,1.7210631675368404e-07,2.0090231700464756e-09
1915,1.1780761832724806e-07,5.890381071793627e-09
1916,1.1207211292330044e-07,3.2962386153911893e-09
1917,1.1185752790687786e-07,0.0
1918,1.297960547930188e-07,1.033773866510046e-08
1919,1.040486876657809e-07,0.0
1920,1.4993018915276934e-07,0.0
1921,1.1889213374915997e-07,3.7863738810983705e-09
1922,1.2026034812429032e-07,7.377935484775833e-10
1923,1.4119211266816478e-07,1.0615948120573648e-09
1924,1.443861906702537e-07,2.578324886925998e-09
1925,1.2647904767959517e-07,1.0998177923937646e-09
1926,1.304098220522576e-07,1.1146138456652466e-09
1927,1.2821608397217688e-07,7.804457524684949e-09
