year,vos_DET années_NOUN,vos_DET damnés_NOUN
1800,7.545995117652637e-08,0.0
1801,1.381085894536227e-07,0.0
1802,1.432217686669901e-07,2.2378401354217203e-09
1803,1.1507001573818343e-07,0.0
1804,6.921182915675672e-08,0.0
1805,7.391481915419718e-08,0.0
1806,8.933174200365102e-08,0.0
1807,1.537355744929414e-07,0.0
1808,4.5321478125970316e-08,0.0
1809,1.1295152546608733e-07,0.0
1810,1.8955026348521642e-07,0.0
1811,1.0028307428910921e-07,0.0
1812,8.535065987302914e-08,0.0
1813,8.627225156487839e-08,0.0
1814,8.810695817373926e-08,0.0
1815,7.552226199969425e-08,0.0
1816,1.5296186006708012e-07,0.0
1817,1.2922049885677467e-07,9.341240669868967e-09
1818,9.536942013887995e-08,4.768470951432846e-09
1819,6.521161566297451e-08,2.070210003424222e-09
1820,1.2934463899938464e-07,0.0
1821,2.4752336225120075e-07,1.972297702934611e-08
1822,2.1154049534288788e-07,3.0076847679083585e-09
1823,1.274866608946823e-07,9.882686891060644e-10
1824,1.0442179831926524e-07,2.5263338088166165e-09
1825,8.629334047327575e-08,3.522177216552791e-09
1826,1.0921900894800274e-07,8.807984341885344e-10
1827,1.2719837333419193e-07,9.217273055917019e-10
1828,8.071624790773058e-08,2.7516904310687096e-09
1829,1.4917326041086199e-07,8.57317605795771e-10
1830,1.1897993212883762e-07,4.174734336004349e-09
1831,9.666548095310645e-08,3.274153215215847e-08
1832,9.200379480489573e-08,1.8941957335982806e-08
1833,1.3552846012121478e-07,3.4750886612755494e-09
1834,1.2414926575665675e-07,1.3068342852307069e-08
1835,1.4521128832711838e-07,6.806779140333674e-09
1836,1.176131234625899e-07,2.016224964762614e-09
1837,1.0228099700526627e-07,2.0873671680021744e-09
1838,1.1803742627769509e-07,6.312161904276081e-09
1839,6.921560569139729e-08,1.1885507689157748e-08
1840,9.873017425832131e-08,4.458782232319436e-09
1841,7.897274878487792e-08,0.0
1842,1.2678620642248006e-07,2.0124795163667386e-09
1843,8.683159302691479e-08,5.906911071384968e-10
1844,9.55009671343987e-08,3.841992946007622e-09
1845,1.1048851433770324e-07,5.580227946389016e-10
1846,1.0069742506502166e-07,9.952652035849496e-09
1847,7.496581133636937e-08,1.0247124926365814e-08
1848,5.953464160546318e-08,0.0
1849,3.5193544078993e-08,8.379414939696517e-10
1850,5.906426547852561e-08,5.431196825611551e-09
1851,6.449438516575867e-08,1.3543821175687754e-08
1852,9.570501768862982e-08,1.9531636308300904e-09
1853,1.1884144601737034e-07,1.7915795513800958e-09
1854,1.4807644355130378e-07,1.0391328908454511e-09
1855,1.3001996279626837e-07,3.714855978387277e-09
1856,1.5479796289241676e-07,2.0708756931497874e-09
