year,veux_VERB écrire_VERB,veux_VERB ecrire_VERB,veux_VERB décrire_VERB
1800,5.345079756580162e-08,0.0,1.131899196593622e-07
1801,4.524246932646747e-08,0.0,4.7623651688866175e-09
1802,6.937304419807333e-08,0.0,8.056224487518193e-08
1803,9.166594594489652e-08,1.950339223455444e-09,1.1702034896643454e-08
1804,6.179627121127851e-08,0.0,5.19088700912107e-08
1805,1.9900143755080535e-08,0.0,2.55858996212055e-08
1806,7.492339904047185e-08,8.645007376628655e-09,8.645007376628655e-09
1807,1.1387820464392462e-08,0.0,1.1387820464392462e-08
1808,3.172503681980743e-08,0.0,0.0
1809,4.0662548883574345e-08,0.0,4.518061036407062e-09
1810,8.190443878675069e-08,2.3401267590372754e-09,0.0
1811,4.763445815569867e-08,0.0,0.0
1812,7.20146218213813e-08,0.0,0.0
1813,6.614205716459765e-08,0.0,0.0
1814,2.8320094713762956e-08,0.0,0.0
1815,3.236668177919455e-08,0.0,0.0
1816,1.3905623319487859e-08,0.0,4.6352077731626196e-09
1817,8.251429051142622e-08,0.0,9.341240669868967e-09
1818,5.48374146092101e-08,0.0,8.344824387052086e-09
1819,6.003609342997152e-08,0.0,5.175524897538253e-09
1820,6.170570543417853e-08,0.0,0.0
1821,8.382264837791809e-08,0.0,5.9168927535324656e-09
1822,4.8122956286533736e-08,0.0,6.015369535816717e-09
1823,1.0475648082319822e-07,0.0,9.882686669016039e-09
1824,7.410579172528742e-08,8.421112696055388e-10,8.421112696055388e-09
1825,5.107157008410468e-08,0.0,5.283265824829186e-09
1826,4.492072136486058e-08,0.0,2.642395191543301e-09
1827,6.359918103271411e-08,0.0,4.608636583469661e-09
1828,6.695779575238703e-08,0.0,9.172301251858528e-10
1829,4.115124596637543e-08,0.0,5.143905745796928e-09
1830,1.0436836106464398e-07,0.0,5.218417697960831e-09
1831,7.951515357262906e-08,0.0,4.677361609140007e-09
1832,5.141388470519814e-08,0.0,4.058990654698391e-08
1833,4.6334513115198206e-08,0.0,8.108539617524002e-09
1834,2.240287422239362e-08,0.0,1.5868701908061666e-08
1835,5.899208588289184e-08,0.0,8.31939672707449e-09
1836,5.8470526198561856e-08,0.0,1.2769425516978572e-08
1837,4.313892532081809e-08,0.0,5.5663127440652715e-09
1838,4.292270006089893e-08,0.0,6.312161904276081e-10
1839,5.872839281551023e-08,0.0,4.894032734625853e-09
1840,3.503328827036967e-08,0.0,7.0066574764382494e-09
1841,5.6500827128047604e-08,1.2841097074556274e-09,1.0914932957462042e-08
1842,4.9641162291891305e-08,0.0,3.3541325272778977e-09
1843,8.387813466015359e-08,0.0,5.906910960362666e-09
1844,5.762989374602512e-08,0.0,1.2074834465636286e-08
1845,5.133809821700197e-08,0.0,5.580227946389016e-10
1846,6.732676638421253e-08,0.0,4.0981511517657054e-09
1847,2.7505439703645607e-08,0.0,4.853901280910122e-09
1848,3.137636639394259e-08,0.0,8.045221711050488e-10
1849,4.357295679824347e-08,0.0,8.379414939696517e-10
1850,2.647708541303473e-08,0.0,0.0
1851,3.676180071465751e-08,0.0,1.0319102017319892e-08
1852,6.185018008864063e-08,0.0,2.3437962681782665e-08
1853,4.837264810930719e-08,0.0,6.569124799682413e-09
1854,4.312401458150816e-08,0.0,8.313063126763609e-09
1855,4.139410947345823e-08,0.0,8.491099379170919e-09
1856,2.5368226630462232e-08,0.0,6.212626857404757e-09
