year,pas_ADV étendu_VERB,pas_ADV etendu_VERB,pas_ADV détendu_VERB
1800,1.980823611802407e-07,3.144164484325529e-09,0.0
1801,2.1668761007731518e-07,0.0,0.0
1802,2.6854081625060644e-07,2.2378401354217203e-09,6.713520406265161e-09
1803,2.0478562134940148e-07,0.0,0.0
1804,3.386435878383054e-07,1.2359254952798437e-08,4.943701892301533e-09
1805,3.3830244206001225e-07,0.0,2.842877711017877e-09
1806,2.535868759423465e-07,5.76333825108577e-09,0.0
1807,2.590729195617314e-07,0.0,2.8469551160981155e-09
1808,2.2887347483901976e-07,0.0,4.5321479902327155e-09
1809,1.8524050915402768e-07,2.259030518203531e-09,9.036122072814123e-09
1810,3.25277625279341e-07,0.0,4.680253518074551e-09
1811,2.1059445032278745e-07,0.0,2.5070767684098882e-09
1812,2.1070944455914287e-07,0.0,5.3344164641089264e-09
1813,2.0705340375570813e-07,0.0,2.8757416448144113e-09
1814,2.2026739543434815e-07,0.0,0.0
1815,2.1577788800186681e-07,0.0,2.966945977789237e-08
1816,3.337349596677086e-07,0.0,4.6352077731626196e-09
1817,2.584409912742558e-07,1.556873407970727e-09,1.556873407970727e-09
1818,2.1696543228699738e-07,0.0,3.5763532135746345e-09
1819,3.146719222968386e-07,0.0,4.140420006848444e-09
1820,2.563159853252728e-07,0.0,0.0
1821,2.130081497853098e-07,0.0,1.97229765852569e-09
1822,2.386096582540631e-07,2.0051231786055723e-09,0.0
1823,2.0061854399955337e-07,9.882686891060644e-10,1.9765373782121287e-09
1824,1.7431703724923864e-07,0.0,3.3684450784221553e-09
1825,2.447913232117571e-07,8.805443041381977e-10,1.7610886082763955e-09
1826,1.9994124045297212e-07,0.0,1.7615968683770689e-09
1827,2.3319701369928225e-07,9.217273055917019e-10,1.8434546111834038e-09
1828,2.604933513339347e-07,9.172301251858528e-10,1.8344602503717056e-09
1829,2.494794273388834e-07,0.0,8.57317605795771e-10
1830,2.0769303432643937e-07,0.0,1.0436835840010872e-09
1831,2.3386809289149824e-07,0.0,4.677361609140007e-09
1832,2.787173798424192e-07,1.3529969367098715e-09,1.3529969367098715e-09
1833,1.6448753115128056e-07,2.3167257001688313e-09,1.1583628500844156e-09
1834,2.2309528446839977e-07,0.0,9.334530925997342e-10
1835,2.336994100460288e-07,1.5126175867408165e-09,7.563087933704082e-10
1836,2.2178474523570912e-07,5.376600054063374e-09,0.0
1837,2.0734515260301123e-07,6.957890930081589e-10,6.957890930081589e-10
1838,1.773717457353996e-07,0.0,1.2624323808552163e-09
1839,2.3840929941343347e-07,1.3982950353153e-09,2.0974426639952526e-09
1840,1.9427550057571352e-07,0.0,1.9109065441114126e-09
1841,2.600322090984264e-07,0.0,3.852329122366882e-09
1842,2.2003109734214377e-07,0.0,2.0124795163667386e-09
1843,2.1855571219475678e-07,0.0,5.906911071384968e-10
1844,2.3710585139724571e-07,0.0,5.488561272137815e-10
1845,2.2711527947194554e-07,0.0,8.928364714222425e-09
