year,leurs_DET doutes_NOUN
1800,4.087413700837317e-07
1801,2.3811826110886614e-07
1802,2.2602185367759375e-07
1803,3.3155767087400534e-07
1804,4.152709471849647e-07
1805,1.5351540127994667e-07
1806,3.1410192491421185e-07
1807,3.786450406551012e-07
1808,4.010950966915061e-07
1809,2.620475356707175e-07
1810,9.688125146567472e-07
1811,2.5321475050077424e-07
1812,2.053750307595692e-07
1813,2.3581081620704936e-07
1814,2.2656075771010364e-07
1815,2.2656677556298632e-07
1816,4.3339193211977545e-07
1817,3.331709024223528e-07
1818,3.135269537324348e-07
1819,3.0018046115465324e-07
1820,3.358214293314177e-07
1821,7.603207188289218e-07
1822,5.243396827836477e-07
1823,2.529967844111525e-07
1824,3.4526561254466515e-07
1825,2.544773103352327e-07
1826,2.7040512229348224e-07
1827,2.5347501342309897e-07
1828,3.3937513421733456e-07
1829,2.4519283670088043e-07
1830,3.1101770758823477e-07
1831,2.853190710361275e-07
1832,1.921255670112032e-07
1833,3.9616009406273633e-07
1834,2.977715416463411e-07
1835,3.4563311857027657e-07
1836,3.777061530207959e-07
1837,1.8716727090417606e-07
1838,2.67004446996566e-07
1839,2.740658260336204e-07
1840,2.8854690015123197e-07
1841,2.934190796999303e-07
1842,3.16630105245963e-07
1843,5.127198630106022e-07
1844,3.018708776281187e-07
1845,3.2755938850215216e-07
1846,3.09117677677051e-07
1847,2.7559372473007215e-07
1848,2.131983793396408e-07
1849,2.4970655787548424e-07
1850,2.0231208264220868e-07
1851,2.6120226936932056e-07
1852,2.4414546051509944e-07
1853,3.415945135643028e-07
1854,3.855183035028631e-07
1855,3.0886372570648746e-07
1856,3.7741710912087e-07
1857,2.860564336515381e-07
1858,2.0749186807611508e-07
1859,2.8159719089870805e-07
1860,3.2177601827498847e-07
1861,2.735258899377868e-07
1862,2.7559715931602113e-07
1863,2.8369445592701936e-07
1864,3.198083461386503e-07
1865,2.6075917958223727e-07
1866,2.860980430341442e-07
1867,2.4943452459069704e-07
1868,2.0945065482003145e-07
1869,2.4759441619170985e-07
1870,2.3738961285602045e-07
1871,1.9011907514965287e-07
1872,2.0681900014807297e-07
1873,1.9155214792121456e-07
1874,1.9477226409492232e-07
1875,2.31721851262634e-07
1876,2.1886573753349126e-07
1877,2.0966525760002241e-07
1878,2.125759157589613e-07
1879,1.4418007920902198e-07
1880,1.7969969912101647e-07
1881,1.4851441165752988e-07
1882,2.302763293382526e-07
1883,1.5419187171517024e-07
1884,1.7560514198322608e-07
1885,1.1859969761829348e-07
1886,1.7037144517395575e-07
1887,1.6909915245832963e-07
1888,1.6358786236736478e-07
1889,1.8106244653592896e-07
1890,1.8352282593614433e-07
1891,1.5170644118711607e-07
1892,1.7489149684024596e-07
1893,1.5950298865030632e-07
1894,1.663606354895819e-07
1895,1.2879834709877969e-07
1896,1.4978453477532128e-07
1897,1.1245557374195414e-07
1898,1.4485388444285263e-07
1899,1.2768706625365667e-07
1900,1.484641165561129e-07
1901,1.3189423253567867e-07
1902,1.0606212885733157e-07
1903,1.4202578801914e-07
1904,1.5102696693247708e-07
1905,1.3779227003851702e-07
1906,1.7593110523961286e-07
1907,1.2085682210560833e-07
1908,1.1099738994602149e-07
1909,1.507269544731571e-07
1910,1.2719078013034846e-07
1911,1.1758026963182289e-07
1912,1.46905679399012e-07
1913,1.0605979344768812e-07
1914,8.638799098292793e-08
1915,1.7788950401609327e-07
1916,1.1426960355720439e-07
1917,1.030843890248434e-07
1918,9.074237539152818e-08
1919,1.1970202251632145e-07
1920,1.0828291419073821e-07
1921,1.0677573630824e-07
1922,1.269004887838321e-07
1923,1.1677543199084539e-07
1924,1.1086797258030856e-07
1925,1.2647904545914912e-07
1926,1.0142986184291658e-07
1927,1.0926240734399073e-07
1928,1.0054916543822401e-07
1929,9.91496165170247e-08
1930,9.558279201460351e-08
1931,8.896178549377964e-08
1932,9.425201819013296e-08
1933,8.258876560418571e-08
1934,1.0423974572404404e-07
1935,8.736847689760907e-08
1936,1.0063513400382362e-07
1937,1.0702450647936956e-07
1938,9.853562721318099e-08
1939,1.2541121385822862e-07
1940,8.875239898564757e-08
1941,1.0625409219144899e-07
1942,1.153000468434584e-07
1943,1.451617637204805e-07
1944,9.318240046241044e-08
1945,1.0456819676818441e-07
1946,1.0719250553847814e-07
1947,1.1682453293637707e-07
1948,9.567261272103167e-08
1949,1.1387729559331206e-07
1950,1.0635361191724257e-07
1951,8.529121231504178e-08
1952,8.330395040445637e-08
1953,9.588706717522655e-08
1954,1.2020219086750217e-07
1955,1.0136456207732181e-07
1956,9.593255834161596e-08
1957,1.0690395413348597e-07
1958,1.0671193972910942e-07
1959,1.0696032148871382e-07
1960,8.651041888407818e-08
1961,9.31053324992881e-08
1962,1.2049717179607455e-07
1963,1.1638895669463523e-07
1964,1.4053967389848765e-07
1965,1.2640420499199223e-07
1966,1.0247288562137413e-07
1967,1.3804940340866878e-07
1968,1.1632767260572052e-07
1969,1.253525125921584e-07
1970,1.0393118410334523e-07
1971,1.192108249892243e-07
1972,1.2825367146085398e-07
1973,1.0475087069972133e-07
1974,1.0576074438439775e-07
1975,8.909908855159188e-08
1976,8.741696411185274e-08
1977,1.1224653456709532e-07
1978,1.0633658820147218e-07
1979,1.0533551775271377e-07
1980,1.0005865513917911e-07
1981,1.0879945189223861e-07
1982,1.1918404152488904e-07
1983,1.1557028289921334e-07
1984,1.136605698448534e-07
1985,1.2091271428538164e-07
1986,1.0430404651096126e-07
1987,1.0755037971321713e-07
1988,1.2772659369053585e-07
1989,1.2951967853780388e-07
1990,1.3131248899345138e-07
1991,1.2426305584511965e-07
1992,1.3719760461050612e-07
1993,1.5731349289893615e-07
1994,1.777650306955536e-07
1995,1.539976031139645e-07
1996,1.8149513003606899e-07
1997,1.6973925909269383e-07
1998,1.7785122130575814e-07
1999,1.809799631269371e-07
2000,2.001368271109527e-07
2001,1.9408768148210243e-07
2002,1.8357317799200246e-07
2003,1.9501199588489726e-07
2004,2.5635884104424633e-07
2005,2.3734759979632258e-07
2006,2.33896152446178e-07
2007,2.872030746559062e-07
2008,2.5204043008209e-07
2009,2.37455993534752e-07
2010,2.4138582155330823e-07
2011,2.474109948025216e-07
2012,2.3931896286910614e-07
2013,2.6552470844265486e-07
2014,2.3798242221317878e-07
2015,2.5113798729492487e-07
2016,2.4110398388899057e-07
2017,2.8426408871240483e-07
2018,2.51693006880771e-07
2019,2.6530273622427103e-07
