year,bons_ADJ essais_NOUN
1800,1.2576657937302116e-08
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,8.00162425207418e-09
1813,0.0
1814,0.0
1815,2.697223555614414e-09
1816,0.0
1817,0.0
1818,0.0
1819,2.070210003424222e-09
1820,2.254631326081835e-08
1821,0.0
1822,0.0
1823,0.0
1824,1.0105335235266466e-08
1825,0.0
1826,0.0
1827,3.6869092223668076e-09
1828,0.0
1829,1.2002446148073886e-08
1830,0.0
1831,0.0
1832,2.705993873419743e-09
1833,3.4750886612755494e-09
1834,2.14694217959277e-08
1835,4.5378527602224494e-09
1836,6.720750067579218e-10
1837,1.0436836284100082e-08
1838,2.5248647617104325e-09
1839,9.788065469251706e-09
1840,1.2739377330817092e-09
1841,1.0914932957462042e-08
1842,0.0
1843,2.953455480181333e-09
1844,0.0
1845,3.9061593959388574e-09
1846,0.0
1847,0.0
1848,0.0
1849,1.6758829879393033e-09
1850,3.394498016007219e-09
1851,4.514607354622058e-09
1852,1.3021090872200602e-09
1853,1.1943863675867306e-09
1854,5.7152309551611324e-09
1855,3.714855978387277e-09
1856,9.836659486950339e-09
1857,9.763018171682347e-10
1858,5.3830437884982985e-09
1859,9.165912473463322e-09
1860,9.154367819341758e-10
1861,2.357981809808507e-09
1862,4.9697850279528666e-09
1863,6.493007020935693e-09
1864,6.233146443435089e-09
1865,9.413688495385486e-09
1866,2.919367858567057e-09
1867,3.396968040192405e-09
1868,1.975949626142892e-09
1869,2.9301114867763545e-09
1870,0.0
1871,0.0
1872,5.442605477412599e-09
1873,5.986004469882289e-10
1874,1.7923826867161097e-09
1875,1.0298748520654044e-08
1876,6.04601479992084e-10
1877,8.040260901509555e-09
1878,1.0870359723469392e-08
1879,3.0546627449723474e-09
1880,8.343199908722454e-09
1881,0.0
1882,2.6621540527571597e-09
1883,1.8958017378167824e-09
1884,1.3203393933736152e-09
1885,3.2228177904158883e-09
1886,9.680196200179125e-09
1887,1.3057849246322917e-09
1888,3.1703073499755874e-09
1889,1.0650732740202784e-08
1890,3.2771931834929546e-09
1891,9.561330394092238e-09
1892,1.2537024751679837e-09
1893,5.542574843531156e-09
1894,3.780923574225881e-09
1895,8.426059849853118e-09
1896,9.435246361988447e-09
1897,9.905413378419325e-09
1898,7.921697076085366e-09
1899,1.1055156790007459e-08
1900,2.07642125715779e-09
1901,2.235495566438317e-09
1902,1.4730851205513318e-08
1903,2.7001101354784396e-09
1904,2.6873125946735854e-09
1905,1.0321517862621477e-08
1906,8.230695236477459e-09
1907,9.771402353919711e-09
1908,1.4734167219643268e-09
1909,2.2003934230241384e-09
1910,4.275320542035388e-09
1911,8.51259862599818e-09
1912,1.510732161591477e-08
1913,2.6514948014977335e-09
1914,3.3483718020477227e-09
1915,3.534228465440492e-09
1916,7.69122365795738e-09
1917,1.0966424435210342e-09
1918,6.89182577673364e-09
1919,9.207848705727883e-09
1920,6.057785384427916e-09
1921,3.0290989716519334e-09
1922,7.377935484775833e-10
