year,devez_VERB écrire_VERB,devez_VERB décrire_VERB
1800,0.0,0.0
1801,5.000483582762172e-08,0.0
1802,2.9091921760482364e-08,0.0
1803,1.5602713787643552e-08,0.0
1804,4.2021465418429216e-08,0.0
1805,2.842877711017877e-09,0.0
1806,5.187004603612877e-08,0.0
1807,0.0,0.0
1808,6.798221985349073e-09,0.0
1809,0.0,0.0
1810,7.020380277111826e-09,0.0
1811,7.521229861140455e-09,0.0
1812,0.0,0.0
1813,2.8757416448144113e-09,0.0
1814,4.090680150170556e-08,0.0
1815,5.394447111228828e-09,0.0
1816,4.6352077731626196e-09,0.0
1817,3.113746815941454e-09,0.0
1818,1.668964877410417e-08,0.0
1819,9.315945348475907e-09,0.0
1820,1.6613073583471305e-08,0.0
1821,3.94459531705138e-09,0.0
1822,4.010246357211145e-09,0.0
1823,3.162459805139406e-08,0.0
1824,1.2631669044083083e-08,0.0
1825,2.0252519661312363e-08,0.0
1826,3.5231937367541377e-09,0.0
1827,8.295545583791863e-09,0.0
1828,9.172301140836225e-09,0.0
1829,1.2002446148073886e-08,0.0
1830,3.1310507520032616e-09,0.0
1831,4.677361609140007e-09,0.0
1832,0.0,0.0
1833,1.3900354645102198e-08,0.0
1834,9.334531370086552e-09,0.0
1835,5.294161553592858e-09,0.0
1836,1.9490174807401672e-08,0.0
1837,7.653680356156656e-09,0.0
1838,6.312161904276081e-09,0.0
1839,2.0974426639952526e-09,0.0
1840,3.821813088222825e-09,0.0
1841,1.926164561183441e-09,0.0
1842,5.366612043644636e-09,0.0
1843,1.0041748765843295e-08,0.0
1844,1.3721403568922597e-08,0.0
1845,1.3950569588416784e-08,0.0
1846,7.025401593807601e-09,0.0
1847,8.089835468183537e-09,0.0
1848,2.574470947536156e-08,0.0
1849,2.011059585527164e-08,0.0
1850,8.82569484161877e-09,0.0
1851,2.7087642351375507e-08,0.0
1852,9.114764054629632e-09,0.0
1853,8.957897534855874e-09,0.0
1854,2.6497888327980945e-08,0.0
1855,6.368324534378189e-09,0.0
1856,1.4496129630003907e-08,0.0
1857,1.2203773103180993e-08,0.0
1858,3.229826006645453e-08,0.0
1859,2.953460587207246e-08,0.0
1860,1.0985241161165504e-08,0.0
1861,4.0557289082698844e-08,0.0
1862,3.5692092836825395e-08,4.9697850279528666e-09
1863,3.0467187883687075e-08,0.0
1864,2.7329949858767577e-08,0.0
1865,3.812543880599151e-08,0.0
1866,4.038458811805867e-08,0.0
1867,1.014237582808164e-07,0.0
1868,4.297690381349639e-08,0.0
1869,1.8557372527538973e-08,0.0
1870,9.747882501187632e-09,0.0
1871,3.18635318130589e-09,0.0
1872,3.0236697590169115e-09,1.8142017887967654e-09
1873,4.190203295451056e-09,0.0
1874,5.974609251779839e-09,0.0
1875,1.94531928343622e-08,0.0
1876,1.753344314181504e-08,0.0
1877,1.608052180301911e-08,0.0
1878,7.850815109122777e-09,0.0
1879,1.221865097988939e-08,6.10932526790009e-10
1880,4.492492600149944e-09,0.0
1881,8.367009307619355e-09,6.972507571312292e-10
1882,7.986462158271479e-09,0.0
1883,7.58320695126713e-09,0.0
1884,2.6406787867472303e-09,0.0
1885,6.445635691854079e-10,0.0
1886,1.4842966855610484e-08,2.5813855497602844e-09
