year,dix_DET hivers_NOUN
1800,0.0
1801,4.7623651688866175e-09
1802,4.2518962573012686e-08
1803,1.950339223455444e-09
1804,4.943701892301533e-09
1805,0.0
1806,2.881669125542885e-09
1807,8.540865792383556e-09
1808,0.0
1809,0.0
1810,1.6380887757350138e-08
1811,0.0
1812,0.0
1813,0.0
1814,2.2026739543434815e-08
1815,1.6183340889597275e-08
1816,6.952811659743929e-09
1817,4.670620334934483e-09
1818,3.5763532135746345e-09
1819,1.2421260464634543e-08
1820,3.5599443393152796e-09
1821,0.0
1822,8.02049271442229e-09
1823,1.087095569118901e-08
1824,1.51580028528997e-08
1825,2.0252519661312363e-08
1826,1.2331177856594877e-08
1827,1.013900075008678e-08
1828,5.595103758082587e-08
1829,4.286587973467704e-09
1830,8.349468672008697e-09
1831,1.091384405071949e-08
1832,2.705993873419743e-09
1833,2.6642345218874652e-08
1834,1.4001796166951408e-08
1835,3.781543966852041e-09
1836,1.2769425516978572e-08
1837,2.7831563720326358e-09
1838,3.787297142565649e-09
1839,2.237272100913401e-08
1840,4.458782232319436e-09
1841,5.778493683550323e-09
1842,1.7441490030023488e-08
1843,7.678984559333912e-09
1844,8.781698090931656e-09
1845,2.7901139176833567e-09
1846,1.2879903366069811e-08
1847,1.6179670936367074e-09
1848,2.413566457803995e-09
1849,1.0893239199560867e-08
1850,1.2220192857625989e-08
1851,4.514607354622058e-09
1852,7.161600201754936e-09
1853,5.971931837933653e-10
1854,1.0391328686409906e-08
1855,4.776243400783642e-09
1856,7.248064815001953e-09
1857,4.393358121745905e-09
1858,4.893676130990343e-09
1859,1.018434669930457e-08
1860,1.6477862629926676e-08
1861,6.13075279431996e-09
1862,4.066187719864445e-09
1863,8.490855130105501e-09
1864,6.233146443435089e-09
1865,2.824106559717876e-09
1866,3.4059290943133647e-09
1867,6.308654931785895e-09
1868,8.89177353968762e-09
1869,2.0022428826038663e-08
1870,4.587239033071455e-09
1871,1.4869648623516696e-08
1872,1.2094678591978436e-09
1873,1.7958012854535355e-09
1874,4.182226565063729e-09
1875,5.721527251978387e-09
1876,6.650616057868319e-09
1877,0.0
1878,3.623453259660181e-09
1879,7.94212251520321e-09
1880,6.417846254436199e-10
1881,3.4862537301449947e-09
1882,9.317539406694664e-09
1883,3.1596695260205365e-09
1884,2.6406787867472303e-09
1885,3.86738152613475e-09
1886,1.936039106809062e-09
1887,7.1818169189441505e-09
1888,3.804368819970705e-09
1889,1.8795409673089125e-09
1890,6.554386478008212e-10
1891,6.374220040683554e-10
1892,6.268512375839919e-10
1893,1.2316833108982905e-09
1894,9.452309157609307e-09
1895,9.027921743509637e-09
1896,2.358811590497112e-09
1897,0.0
1898,5.6583548957434e-10
1899,2.7637891975018647e-09
1900,5.191053142894475e-10
1901,1.1177477832191585e-09
1902,1.4730852093691738e-09
1903,1.6200660812870638e-09
1904,5.374625189347171e-09
1905,5.160758931310738e-09
1906,2.572092316910357e-09
1907,6.1714118260169926e-09
1908,2.9468334439286537e-09
1909,2.200393367512987e-09
1910,3.7409054742809644e-09
1911,1.5961122423746588e-09
1912,3.6465947483854677e-09
1913,1.060597942803554e-09
1914,1.3393487430235496e-09
1915,1.1780761921542648e-09
1916,2.197492410260793e-09
1917,1.864292187292449e-08
1918,3.44591288836682e-09
1919,9.207848372660976e-10
1920,1.514446346106979e-09
1921,7.572747429129834e-10
1922,0.0
1923,4.246379248229459e-09
1924,5.156649773851996e-09
1925,3.299453377181294e-09
1926,3.343841648018042e-09
1927,3.3447675740205796e-09
1928,4.570416489713125e-09
1929,4.4561625500705304e-09
1930,2.100720708497761e-09
1931,1.1405356659111021e-09
1932,4.38381475564853e-09
1933,2.2941324395731044e-09
1934,2.3963160344919743e-09
1935,3.590485242455088e-09
1936,1.091224355320719e-08
1937,1.2591118148108649e-09
1938,1.2965214457594243e-09
1939,1.5294050470515685e-09
1940,2.028626333583361e-08
1941,2.9515025978810172e-09
1942,0.0
1943,2.9032352077962287e-09
1944,3.2131861615880553e-09
1945,8.714016175304096e-09
1946,4.1763312808029696e-09
1947,0.0
1948,5.435944139264848e-09
1949,1.9634016634739737e-09
1950,1.0635361480382244e-09
1951,1.0661401761424827e-09
1952,3.1634410646574906e-09
1953,0.0
1954,4.886268278880834e-09
1955,1.8771215692936494e-09
1956,6.976913269340912e-09
1957,0.0
1958,3.3088973783179654e-09
1959,3.100299128533379e-09
1960,2.076250060767393e-09
1961,6.948159270159238e-10
1962,1.2683912808952869e-09
1963,3.879631726988464e-09
1964,4.867174663303331e-09
1965,0.0
1966,4.985167390003653e-09
1967,4.930335695263466e-09
1968,2.245707841908029e-09
1969,2.2708788183223305e-09
1970,1.8394900047624674e-09
1971,1.541519245584766e-09
1972,6.669190699692962e-09
1973,6.064524049609332e-09
1974,1.6876715580593782e-09
1975,0.0
1976,0.0
1977,1.7630346071939584e-09
1978,3.5643548113029055e-09
1979,4.096381456264453e-09
1980,2.2740602734216964e-09
1981,6.325549528618524e-10
1982,1.8622506869903077e-09
1983,6.315316047889041e-10
1984,2.3196033982486597e-09
1985,8.421781494405423e-09
1986,4.7955883708539204e-09
1987,4.277571630240118e-09
1988,1.798966087207532e-09
1989,3.2928733073589456e-09
1990,2.724325431913144e-09
1991,1.7584395606284886e-09
