year,vingt - trois années
1800,5.1671527501184755e-08
1801,7.844948868296342e-08
1802,2.217153860506471e-08
1803,2.5714268048204758e-08
1804,8.155216946192922e-09
1805,4.683352750056713e-08
1806,2.5279453197413204e-08
1807,6.852886968999883e-08
1808,3.735222042777764e-08
1809,3.95353474402782e-08
1810,6.410725905681147e-08
1811,4.138955134180833e-08
1812,4.0892835784234194e-08
1813,2.8323588807666056e-08
1814,1.4789328872666374e-07
1815,6.799760088327389e-08
1816,4.812967446810035e-08
1817,5.971432481821637e-08
1818,5.995285334847722e-08
1819,1.6167709127046237e-07
1820,1.035898131718227e-07
1821,5.292157512215567e-08
1822,2.631542983522195e-08
1823,8.528738804081115e-08
1824,9.371289166892893e-08
1825,6.631386062494471e-08
1826,4.805295716892033e-08
1827,7.64609726644494e-08
1828,7.01617537401944e-08
1829,1.1987832415627508e-07
1830,4.451429203022883e-08
1831,9.926399791027052e-08
1832,5.189195373400679e-08
1833,8.111219162998395e-08
1834,6.034958510703348e-08
1835,4.066806624791752e-08
1836,6.315401079870497e-08
1837,6.907798777433527e-08
1838,9.222205665793126e-08
1839,7.489727371634558e-08
1840,6.2626856367487e-08
1841,5.335040687004522e-08
1842,4.9879416152975864e-08
1843,1.452190117046115e-07
1844,4.607659920274898e-08
1845,6.283416809083064e-08
1846,9.738039197237924e-08
1847,6.479659675484584e-08
1848,1.1011270034666509e-07
1849,1.4220027821920667e-07
1850,1.040209287594962e-07
1851,1.4470066456162556e-07
1852,1.8333177820295532e-07
1853,9.282599711113448e-08
1854,6.081006787006515e-08
1855,1.413722454657318e-07
1856,7.542616775602085e-08
1857,7.115097344634336e-08
1858,7.130113455211529e-08
1859,9.531985423194556e-08
1860,1.3247473251709607e-07
1861,6.454804912792156e-08
1862,7.080051978025637e-08
1863,6.96291881929767e-08
1864,1.1024033508277853e-07
1865,8.100580783931832e-08
1866,6.620739556595368e-08
1867,1.0540196671016133e-07
1868,9.467345263303173e-08
1869,1.0875344091942907e-07
1870,9.110768262043933e-08
1871,5.8324626905914556e-08
1872,7.429533166458668e-08
1873,8.266134665646518e-08
1874,1.2192606013705642e-07
1875,9.6190644338634e-08
1876,7.371322352511811e-08
1877,5.105670120020278e-08
1878,7.843268168272743e-08
1879,9.946382828474043e-08
1880,9.611097073758401e-08
1881,9.759178298818227e-08
1882,8.280226060364271e-08
1883,1.003191778536916e-07
1884,6.620106640653489e-08
1885,7.528209300389221e-08
1886,8.320410982420867e-08
1887,7.922886524625028e-08
1888,1.1601772131886179e-07
1889,8.020312075585068e-08
1890,9.253087718263941e-08
1891,6.043398026456259e-08
1892,8.369797721563543e-08
1893,4.755059146432927e-08
1894,1.0090273638851954e-07
1895,9.830097247309766e-08
1896,4.748178739077957e-08
1897,9.276251944356773e-08
1898,7.7408150500613e-08
1899,8.7845904772621e-08
1900,1.061160830317931e-07
1901,6.722407452919299e-08
1902,4.2175789749521186e-08
1903,6.199432123210613e-08
1904,1.0327294264200759e-07
1905,6.096748728090517e-08
1906,5.3351176254601285e-08
1907,5.854200391119946e-08
1908,5.7503564354632886e-08
1909,5.5807802157303854e-08
1910,6.134292762638438e-08
1911,6.165400745494765e-08
1912,7.069697693928845e-08
1913,5.3245012510139134e-08
1914,3.693296690698844e-08
1915,9.741072659608108e-08
1916,8.707219478765182e-08
1917,7.719054639920842e-08
1918,5.9397173401976033e-08
1919,5.168822703183196e-08
1920,8.343376245445455e-08
1921,3.1756446361441704e-08
1922,5.7821594623419514e-08
1923,5.983021633682029e-08
1924,5.4146412797884125e-08
1925,4.5085188915550134e-08
1926,4.938281428223945e-08
1927,6.047913347906331e-08
1928,5.0606605128677984e-08
1929,5.554182269662533e-08
1930,8.486829017329e-08
1931,6.819414710701466e-08
1932,6.91342729730593e-08
1933,4.8214313652650276e-08
1934,4.3804782912104656e-08
1935,5.438132877344515e-08
1936,6.040032074494661e-08
1937,5.439560468722959e-08
1938,5.020439064473692e-08
1939,3.2190132670528726e-08
1940,5.3477684502922784e-08
1941,3.937156201061498e-08
1942,4.037274381474276e-08
1943,3.853647356777401e-08
1944,6.389011097951425e-08
1945,6.968589971734218e-08
1946,4.7731814056817257e-08
1947,4.7404181913179855e-08
1948,5.5347499250402166e-08
1949,6.381484007889071e-08
1950,5.0579886501367355e-08
1951,4.601633207812483e-08
1952,5.022521221142995e-08
1953,4.167891454187611e-08
1954,4.646890949810967e-08
1955,3.116347824239085e-08
1956,3.0870050959919126e-08
1957,4.009298315565957e-08
1958,5.214883325166397e-08
1959,3.086789612805063e-08
1960,3.750149080161691e-08
1961,5.29100910307001e-08
1962,6.854373113540646e-08
1963,4.4219535144662814e-08
1964,3.892561772911307e-08
1965,4.465059078029299e-08
1966,4.0329792450055635e-08
1967,3.91095835716726e-08
1968,5.830302507447982e-08
1969,4.1939020922754366e-08
1970,4.602668535191867e-08
1971,4.136422537825979e-08
1972,5.2007638196016615e-08
1973,4.3262297300117325e-08
1974,3.544995275106544e-08
1975,2.9683165259086763e-08
1976,4.1023893615488305e-08
1977,3.766903278190625e-08
1978,3.598908238089393e-08
1979,3.6716238049905314e-08
1980,3.1308336589930263e-08
1981,5.5702608303676016e-08
1982,4.909474515812917e-08
1983,5.484125864541056e-08
1984,5.6676369375452396e-08
1985,5.484983356396356e-08
1986,5.727683172196407e-08
1987,6.780816175222526e-08
1988,5.466225283523585e-08
1989,4.098908501504184e-08
1990,4.35809697219014e-08
1991,5.143939940666087e-08
1992,5.733283936493194e-08
1993,5.156160653996267e-08
1994,3.23308730898475e-08
1995,5.0988177346944497e-08
1996,5.016837523186268e-08
1997,5.2865828215065136e-08
1998,6.08699519677458e-08
1999,3.888411326258279e-08
2000,4.383790841444579e-08
2001,4.0130722300801835e-08
2002,4.9165465476619374e-08
2003,5.2640015013594166e-08
2004,5.851917395105488e-08
2005,4.120145635777561e-08
2006,4.307921841473217e-08
2007,4.232133521409054e-08
2008,4.369907791179628e-08
2009,4.3290284690300496e-08
2010,5.798086322172935e-08
2011,4.4062479664930265e-08
2012,4.536973730040472e-08
2013,4.835905098588e-08
2014,6.059742796438172e-08
2015,6.030484800412239e-08
2016,4.814224840998804e-08
2017,5.1039062753943654e-08
2018,5.386188473011089e-08
2019,5.0985020871863185e-08
