year,anciens_ADJ essais_NOUN
1800,3.458580977167003e-08
1801,2.8574191901498125e-08
1802,1.1189200677108602e-08
1803,1.755305234496518e-08
1804,7.4155526164076946e-09
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,2.259030518203531e-09
1810,5.3822915901946544e-08
1811,0.0
1812,5.3344164641089264e-09
1813,6.614205716459765e-08
1814,1.5733386149463513e-08
1815,2.697223555614414e-09
1816,1.3905623319487859e-08
1817,3.269434145636296e-08
1818,7.152706427149269e-09
1819,8.280840013696888e-09
1820,2.0173018810965004e-08
1821,1.0847637454958203e-08
1822,1.2030739071633434e-08
1823,0.0
1824,1.6842225392110777e-08
1825,4.4027217427355936e-09
1826,1.8496766784892316e-08
1827,2.2121454890111636e-08
1828,0.0
1829,9.430493719264632e-09
1830,8.349468672008697e-09
1831,0.0
1832,1.352996914505411e-08
1833,1.3900354645102198e-08
1834,3.733812370398937e-09
1835,1.663879345414898e-08
1836,6.048674894287842e-09
1837,3.478945576063097e-09
1838,6.312161904276081e-09
1839,1.6080392128969834e-08
1840,1.8472096741106725e-08
1841,1.6693427085101575e-08
1842,6.037438549100216e-09
1843,1.1223130869097986e-08
1844,1.3721403568922597e-08
1845,1.562463758375543e-08
1846,1.9905304959877412e-08
1847,3.4516631330916425e-08
1848,0.0
1849,1.675882921325922e-08
1850,1.1541293254424545e-08
1851,8.384270167027807e-09
1852,1.3672145193766028e-08
1853,9.555090940693844e-09
1854,1.558699302961486e-08
1855,2.2289135870323662e-08
1856,1.0354378687793542e-08
1857,2.4407546317384288e-08
1858,1.565976326389773e-08
1859,1.629495471888731e-08
1860,1.4189270203246451e-08
1861,1.650587222457034e-08
1862,1.7620147119146168e-08
1863,8.990317823531768e-09
1864,5.753673537611803e-09
1865,2.5416959203994338e-08
1866,5.352174259343201e-09
1867,1.0190904120577216e-08
1868,1.926550852182629e-08
1869,4.395167341186834e-09
1870,1.0321287824410774e-08
1871,1.4869648623516696e-08
1872,7.861540751719076e-09
1873,3.591602748542755e-08
1874,1.4339061493728877e-08
1875,2.8607636259891933e-09
1876,1.269663130187837e-08
1877,3.277952487223956e-08
1878,2.0532900657510567e-08
1879,2.443730195977878e-08
1880,1.6686399817444908e-08
1881,2.4403776777148778e-08
1882,3.394246306243076e-08
1883,1.0742875922176154e-08
1884,2.178559910248623e-08
1885,1.353583467533781e-08
1886,3.743009102663564e-08
1887,1.6322312390570914e-08
1888,3.61415040117663e-08
1889,3.00726554769426e-08
1890,2.2284914358294827e-08
1891,3.7607897240832244e-08
1892,3.322311670217459e-08
1893,2.9560400349737392e-08
1894,7.561847148451761e-09
1895,3.1296796265678495e-08
1896,3.833068973335685e-08
1897,3.612562560206811e-08
1898,3.3384292663640736e-08
1899,3.8693048765026106e-08
1900,3.5818267463127995e-08
1901,3.576792906301307e-08
1902,1.9641134940684424e-08
1903,3.456140795776719e-08
