year,avais_VERB eu_VERB,avais_VERB dû_VERB
1800,1.320549074534938e-07,1.5720821977538435e-08
1801,5.9529565277216534e-08,1.6668277424969347e-08
1802,1.0741632650024258e-07,4.475680270843441e-09
1803,5.070882025393075e-08,1.950339223455444e-09
1804,1.8291696335381857e-07,2.4718509461507665e-09
1805,1.051864728651708e-07,0.0
1806,1.9019016406218725e-07,2.881669125542885e-09
1807,9.964342950752325e-08,0.0
1808,9.744118045773575e-08,0.0
1809,1.5587310997489112e-07,2.259030518203531e-09
1810,1.8018975822542416e-07,0.0
1811,1.0279014617253779e-07,0.0
1812,1.1735716043403954e-07,0.0
1813,1.4091133948568313e-07,8.627225156487839e-09
1814,1.541871768040437e-07,0.0
1815,1.9150287755564932e-07,0.0
1816,6.257530316133852e-08,2.3176038865813098e-09
1817,1.9149543106777855e-07,4.670620334934483e-09
1818,1.6928072454902576e-07,4.768470951432846e-09
1819,6.314140676977331e-08,4.140420006848444e-09
1820,1.4239776646718383e-07,0.0
1821,2.1793889004584344e-07,9.861488514673056e-09
1822,2.666813827545411e-07,1.1028177482330648e-08
1823,2.1346603773508832e-07,9.882686891060644e-10
1824,2.4168593881768174e-07,6.736890156844311e-09
1825,1.2767893053933221e-07,6.163809906922779e-09
1826,1.4621254251778737e-07,4.403992281964975e-09
1827,1.769716391208931e-07,9.217273055917019e-10
1828,2.1463185362335935e-07,4.586150570418113e-09
1829,2.5976723350140674e-07,2.571952872898464e-09
1830,3.0162456710058905e-07,7.305785310052215e-09
1831,1.2784788339104125e-07,6.236482441579483e-09
1832,1.7994858581005246e-07,2.705993873419743e-09
1833,2.884323464513727e-07,1.2741991461950875e-08
1834,2.4176435431400023e-07,1.120143711119681e-08
1835,2.3521204184362432e-07,2.2689263801112247e-09
1836,1.4852857077585213e-07,7.392825018825988e-09
1837,2.3239356039539416e-07,6.262101948095733e-09
1838,1.5843527023662318e-07,6.312161904276081e-09
1839,1.587064843988628e-07,2.0974426639952526e-09
1840,1.9554944685751252e-07,1.2102408852854296e-08
1841,1.5024083666048682e-07,6.420548537278137e-09
1842,2.0594373495441687e-07,4.024959032733477e-09
1843,1.890211507316053e-07,8.269675610961258e-09
1844,1.531308555513533e-07,3.2931368743049916e-09
1845,1.4229581779545697e-07,5.580227835366713e-09
1846,1.299699334822435e-07,9.952652035849496e-09
