year,avions_VERB écrit_VERB,avions_VERB décrit_VERB
1800,3.144164395507687e-08,1.2576657937302116e-08
1801,2.8574191901498125e-08,0.0
1802,2.6854081625060644e-08,0.0
1803,5.851017448321727e-09,0.0
1804,1.4831105232815389e-08,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,3.4163463169534225e-08,0.0
1808,9.064295980465431e-09,0.0
1809,2.0331274441787173e-08,0.0
1810,1.8721014072298203e-08,0.0
1811,5.0141535368197765e-09,0.0
1812,4.267533171287141e-08,1.0668832928217853e-08
1813,2.8757416448144113e-09,0.0
1814,3.1466771410748606e-09,0.0
1815,3.776112933451259e-08,0.0
1816,1.1588019432906549e-08,0.0
1817,1.556873407970727e-09,1.5568733857662664e-08
1818,3.5763532135746345e-09,1.1921177378582115e-09
1819,3.726378139390363e-08,0.0
1820,2.1359666035891678e-08,0.0
1821,5.719663320746804e-08,0.0
1822,9.42407893944619e-08,0.0
1823,3.063632902922109e-08,9.882686669016039e-09
1824,8.421112696055388e-09,6.736890156844311e-09
1825,1.2327619813845558e-08,0.0
1826,3.435113882233054e-08,1.4092774947016551e-08
1827,2.7651818612639545e-08,3.2260455640198415e-08
1828,7.704733206992387e-08,5.503380862137419e-09
1829,1.457439946506156e-08,1.2859763920403111e-08
1830,8.349468672008697e-09,3.235419043789989e-08
1831,3.274153215215847e-08,6.236482441579483e-09
1832,8.117981842303834e-09,2.705993873419743e-09
1833,2.89590715851773e-08,1.1583628500844156e-09
1834,7.467625096069241e-08,9.334530925997342e-10
1835,3.100866052818674e-08,0.0
1836,3.091545153210973e-08,6.720750067579218e-10
1837,6.470838798122713e-08,1.1828414692161004e-08
1838,3.28232410140572e-08,1.199310784016916e-08
1839,6.292327725532232e-08,8.38977065598101e-09
1840,4.1402977046800515e-08,8.917564464638872e-09
1841,2.5682194149112547e-08,1.2841097074556274e-08
1842,1.7441490030023488e-08,8.049918065466954e-09
1843,3.6622846977252266e-08,1.1223130869097986e-08
1844,3.677336124496833e-08,1.0977122322231025e-08
1845,3.348136701220028e-08,2.2320911785556063e-09
1846,1.8148954339380907e-08,5.854501328173001e-10
1847,4.7460368080010085e-08,5.3932236454556914e-09
1848,5.953464210506354e-08,4.82713291560799e-09
1849,4.524883934209356e-08,1.0893239199560867e-08
1850,5.0238568860550004e-08,1.3577992064028876e-08
1851,2.7087642351375507e-08,1.2898877521649865e-08
1852,3.059956199535918e-08,5.859490670445666e-09
1853,5.3150191803297275e-08,8.957897534855874e-09
1854,6.962190468584595e-08,9.352196350675968e-09
1855,2.4942604426314574e-08,2.653468555990912e-09
1856,3.209857268871019e-08,8.801221973442352e-09
1857,4.9791392342513063e-08,3.905207268672939e-09
1858,3.131952652779546e-08,7.34051397444091e-09
1859,4.83756465996521e-08,1.0693564256314403e-08
1860,3.61597543019343e-08,3.661747127736703e-09
1861,4.2443673464731546e-08,1.8863854922557266e-09
1862,3.207770404856092e-08,4.517986262886353e-10
1863,2.597202808374277e-08,9.489779628779615e-09
1864,3.5001512799226475e-08,1.0068928801842958e-08
1865,5.318734253023649e-08,8.47231973466478e-09
1866,2.77339928800302e-08,7.784980660119345e-09
1867,3.299911810472622e-08,6.79393608038481e-09
1868,3.754304245262574e-08,7.409810987013543e-09
1869,5.323035878745941e-08,5.860222973552709e-09
1870,3.039045992636602e-08,2.8670243956696595e-09
1871,2.6552942955504477e-08,0.0
1872,2.7213026498884574e-08,1.2094678591978436e-09
1873,4.42964314117944e-08,1.7958012854535355e-09
1874,3.525019565131515e-08,6.572069999322139e-09
1875,3.318485752856759e-08,1.716458086775674e-09
1876,2.7207066821688386e-08,3.627608879952504e-09
1877,4.4530676035492434e-08,1.2369632429454214e-08
1878,2.294853729267743e-08,1.6305540029293297e-08
1879,2.1993571408529533e-08,4.27652757650776e-09
1880,2.9522093214495726e-08,3.8507077526617195e-09
1881,4.8807553554297556e-08,6.2752567586699115e-09
1882,3.793569547383413e-08,5.324308105514319e-09
1883,2.6541224329434954e-08,6.319338829996468e-09
1884,5.0833065756705764e-08,6.601696966868076e-09
1885,4.640857653726016e-08,7.090199094506033e-09
1886,2.8395241713496944e-08,1.097088819790315e-08
1887,4.570247114088488e-08,3.9173548849191775e-09
1888,5.199304098368884e-08,3.1703073499755874e-09
1889,4.698852507090123e-08,5.012109394186837e-09
1890,4.1948073459252555e-08,3.2771931834929546e-09
1891,4.52569608455633e-08,1.529812720946211e-08
1892,4.826754462783356e-08,1.7551833764173352e-08
1893,6.220000869916475e-08,1.539604177480669e-08
1894,4.600123659770361e-08,1.449354058991048e-08
1895,3.1296796265678495e-08,5.416753268150387e-09
1896,5.779088496637996e-08,5.307326134129653e-09
1897,4.777905004971217e-08,4.661370844871726e-09
1898,4.356933303029109e-08,7.921697076085366e-09
1899,4.532614283903058e-08,8.291367592505594e-09
1900,4.4123950715402316e-08,1.245852754294674e-08
1901,5.309301798206434e-08,9.500856101851696e-09
1902,3.6827128013783295e-08,7.856454153909453e-09
1903,3.456140973412403e-08,7.020286574288548e-09
1904,6.503296390292235e-08,1.9886112312406112e-08
1905,3.612531429553201e-08,2.37394921498435e-08
1906,4.73264982758792e-08,7.201858220895474e-09
1907,3.7028470956101955e-08,2.7257069490360664e-08
1908,4.813161424976897e-08,9.822778146428846e-10
1909,3.905698164885507e-08,6.60118004702781e-09
1910,4.9700602744451317e-08,1.7101282168141552e-08
1911,5.4267815130515373e-08,3.7242617878519013e-09
1912,7.397377999041055e-08,1.0939784189645252e-08
1913,4.083302229673791e-08,8.484783542428431e-09
1914,5.558297289098846e-08,9.37544086809794e-09
1915,1.0013647511186718e-07,4.712304768617059e-09
1916,5.933229374477378e-08,1.538244731591476e-08
1917,3.61891991929042e-08,8.773139548168274e-09
1918,3.790504266021344e-08,5.743188147278033e-09
1919,6.353415216153735e-08,1.6574126959767455e-08
1920,6.96645301445642e-08,3.786115865267448e-09
1921,6.209653236055601e-08,6.058197943303867e-09
1922,5.016996240669869e-08,9.591316185719734e-09
1923,4.458698299458774e-08,1.1677542488541803e-08
1924,3.2229060309418855e-08,7.734974438733389e-09
1925,5.49908882874206e-08,1.2097995494286806e-08
1926,3.343841470382358e-08,8.916910765321973e-09
1927,4.9056588125040435e-08,8.919379901328739e-09
1928,4.798937425221084e-08,5.713020723163709e-09
1929,3.78773812315103e-08,1.1140405931087116e-08
1930,2.4158287814657342e-08,7.352522590764465e-09
1931,7.299428261831054e-08,7.983749661377715e-09
1932,5.698959171240858e-08,3.287861094491973e-09
1933,3.785318369864399e-08,1.3764794637438627e-08
1934,4.4331848414458364e-08,3.5944740517379614e-09
1935,5.6250936353308134e-08,4.787313656606784e-09
1936,8.366053094732706e-08,2.5461901032031165e-08
1937,4.1550688223424004e-08,2.1404900962807005e-08
1938,4.797129449229942e-08,3.241303758727554e-08
1939,8.411727492330101e-08,3.211750509990452e-08
1940,5.0715659227762444e-08,1.7750480196809804e-08
1941,5.017554371988808e-08,3.246652724442356e-08
1942,3.6410540360520827e-08,1.8205270180260413e-08
1943,3.4838823381733164e-08,1.4516175816936538e-08
1944,4.819779064746399e-08,1.927911696952833e-08
1945,6.317661416233022e-08,1.9606536838523425e-08
1946,4.315542412314244e-08,1.2528993842408909e-08
1947,3.2186353138285995e-08,9.536696765621855e-09
1948,4.783630558335972e-08,1.4133454406817236e-08
1949,7.657266820615405e-08,1.8652315247891238e-08
1950,6.274863295629984e-08,1.914365022059883e-08
1951,6.610068936652169e-08,1.2793682557799002e-08
1952,4.112473561690422e-08,1.7926167217297007e-08
1953,5.2791754967529414e-08,1.723812381726475e-08
1954,5.1794440736330216e-08,2.443134050622575e-08
1955,4.3173795205575516e-08,2.627970197011109e-08
1956,5.5815306154727296e-08,2.9651880950609666e-08
1957,4.240818185508033e-08,2.6505112771246786e-08
1958,4.053399393910695e-08,2.7298403537656668e-08
1959,4.1854036680888385e-08,2.1702094343822864e-08
1960,3.0451666077624395e-08,2.353083417006019e-08
1961,4.099414141478519e-08,2.91822690456911e-08
1962,5.580921680348183e-08,2.3465238641051656e-08
1963,4.9142006020019835e-08,2.909724017285953e-08
1964,5.049693641012709e-08,2.3727476872181796e-08
1965,5.1984411442163037e-08,1.5321720781003023e-08
1966,5.2621210500092275e-08,2.880318916709257e-08
1967,5.2261558636246264e-08,3.303324902503846e-08
1968,5.2549566476045584e-08,2.4253646202510026e-08
1969,4.9050985495568966e-08,2.4525492747784483e-08
1970,3.54101814536989e-08,2.115413444414571e-08
1971,6.268844998658096e-08,2.2608949379332444e-08
1972,4.15541911991113e-08,1.7955514408640738e-08
1973,4.741355397186453e-08,2.0398854161385316e-08
1974,5.513060230555311e-08,2.0814615808717463e-08
1975,3.8838066984681063e-08,1.0851811893530794e-08
1976,5.713526718409412e-08,1.1427053969725876e-08
1977,4.995264646368014e-08,1.7630345183761165e-08
1978,4.990096869050831e-08,2.5544542481270582e-08
1979,4.7400984470868934e-08,2.750427441355896e-08
1980,5.230338473438678e-08,1.2507331170752423e-08
