year,trois_DET eaux_NOUN,trois_DET do_NOUN
1800,9.432493897065797e-09,0.0
1801,8.096020565062645e-08,0.0
1802,1.1189200677108602e-08,8.951360541686881e-09
1803,2.3404069793286908e-08,9.75169611727722e-09
1804,1.730295728918918e-08,0.0
1805,2.842877755426798e-08,0.0
1806,5.76333825108577e-09,0.0
1807,1.9928686256776018e-08,5.693910232196231e-09
1808,2.2660739062985158e-08,0.0
1809,5.421673421324158e-08,2.259030518203531e-09
1810,9.594519667643908e-08,0.0
1811,7.019814773912003e-08,0.0
1812,1.600324850414836e-08,0.0
1813,3.738464116054274e-08,2.8757416448144113e-09
1814,4.090680150170556e-08,6.293354282149721e-09
1815,3.506390555685357e-08,0.0
1816,2.3176038865813098e-09,0.0
1817,2.1796227045456362e-08,1.556873407970727e-09
1818,2.6226590676969863e-08,0.0
1819,1.2421260464634543e-08,0.0
1820,3.5599443393152796e-09,0.0
1821,5.9168927535324656e-09,1.97229765852569e-09
1822,2.7069162911175226e-08,2.0051231786055723e-09
1823,7.609668595254249e-08,9.882686891060644e-10
1824,5.221090049190025e-08,3.3684450784221553e-09
1825,3.874394849390228e-08,8.805443041381977e-10
1826,2.906634755106552e-08,2.642395191543301e-09
1827,2.949527377893446e-08,0.0
1828,4.219258542548232e-08,0.0
1829,2.8291481157793896e-08,0.0
1830,5.844628248041772e-08,1.0436835840010872e-09
1831,4.053713453799901e-08,4.677361609140007e-09
1832,3.111892965534935e-08,2.705993873419743e-09
1833,5.21263281427764e-08,1.1583628500844156e-09
1834,3.733812370398937e-09,9.334530925997342e-10
1835,6.806779140333674e-09,2.2689263801112247e-09
1836,1.6129799718100912e-08,1.3441500135158435e-09
1837,5.5663127440652715e-09,6.957890930081589e-10
1838,1.2624323364462953e-08,6.312161904276081e-10
1839,1.8876983531868063e-08,1.3982950353153e-09
1840,5.732719632334238e-09,6.369688665408546e-10
1841,0.0,6.420548537278137e-10
1842,1.8783142152756227e-08,2.0124795163667386e-09
1843,4.843666989717832e-08,2.953455480181333e-09
1844,1.8112252364588244e-08,2.195424508855126e-09
1845,1.5066614622583074e-08,1.1160455504199973e-08
1846,1.6978054517835517e-08,3.5127007969038004e-09
1847,2.9662729161827883e-08,3.235934187273415e-09
1848,2.333114323960217e-08,2.413566457803995e-09
1849,4.189707314417035e-08,2.513824481908955e-09
1850,2.2403686017469226e-08,3.394498016007219e-09
1851,1.096404567135778e-08,5.159551008659946e-09
1852,4.427170807730363e-08,5.859490670445666e-09
1853,5.971931837933653e-09,1.3138249821409431e-08
1854,4.208488119106235e-08,6.754364012540037e-09
1855,5.837630823180007e-08,9.552486801567284e-09
1856,5.3842768188427925e-08,3.106313539724681e-09
1857,2.0502338549110988e-08,1.4644527812635033e-09
1858,2.6425849952715907e-08,1.9574704079872163e-09
1859,4.226503946824778e-08,1.018434669930457e-09
1860,5.0806741119791e-08,2.746310290291376e-09
1861,5.234719679947375e-08,2.357981809808507e-09
1862,5.737842562192341e-08,2.7107918409985388e-09
1863,4.9946207170137313e-08,3.9956967734511295e-09
1864,3.068625842317374e-08,4.794728059032138e-09
1865,2.729969672543575e-08,2.3534221238463715e-09
1866,1.0217787504984699e-08,7.298419646417642e-09
1867,4.610170911689693e-08,5.82337378318698e-09
1868,5.532658775564414e-08,4.939874287401835e-09
1869,4.2974966696363026e-08,4.395167230164532e-09
1870,3.268407855472333e-08,1.1468097582678638e-09
1871,1.3807530230280918e-08,5.3105884134652115e-09
1872,4.898344840853497e-08,3.628403577593531e-09
1873,8.021245889722195e-08,5.387404189427514e-09
1874,3.823749850084823e-08,8.961913877669758e-09
1875,3.833423067867159e-08,3.432916173551348e-09
1876,7.37613781165436e-08,4.232210359944588e-09
1877,8.844287080478352e-08,3.710889595609501e-09
1878,6.03908887342186e-08,5.435179861734696e-09
1879,5.742765785132775e-08,7.94212251520321e-09
1880,4.941741771347097e-08,3.2089231272180996e-09
1881,4.3229546664580454e-08,6.9725074602899895e-09
1882,5.856738738430067e-08,8.652000449416164e-09
1883,4.170763850952497e-08,8.21514056781325e-09
1884,4.68720466884065e-08,5.941527270181268e-09
1885,6.896829862768072e-08,7.734762663691441e-09
1886,4.711028545045792e-08,9.68019553404531e-09
1887,3.003305382165422e-08,4.570247347235323e-09
1888,2.346027505595316e-08,5.706553007911452e-09
1889,7.2675589102289e-08,8.771191495338115e-09
1890,5.636772321127026e-08,2.6217545912032847e-09
1891,7.585322059355804e-08,6.3742202627281586e-09
1892,6.017771747579559e-08,1.2537024751679837e-09
1893,4.310891554837326e-08,4.310891699166319e-09
1894,4.348062221382065e-08,8.192000855444803e-09
1895,2.1667012850556944e-08,9.027921299420427e-09
1896,3.3613064720494634e-08,3.538217385745668e-09
1897,4.078699333831537e-08,5.244042311502994e-09
1898,1.4711722839955144e-08,5.09251940616906e-09
1899,2.7085134135518274e-08,8.291367592505594e-09
1900,4.204752979131143e-08,4.6719478286050276e-09
1901,1.676621691482083e-08,3.912117296778206e-09
1902,3.830021244599635e-08,3.437198747846537e-09
1903,1.836074892125339e-08,6.48026410310365e-09
1904,3.117282698639201e-08,2.1498500757388683e-09
1905,2.4255568054076804e-08,6.1929109063108e-09
1906,1.4403717052413612e-08,5.658602919567102e-09
1907,1.7999951751335175e-08,1.5428529565042481e-09
1908,2.2592390180875555e-08,3.437972351250096e-09
1909,2.6954820153690662e-08,1.6502950117569526e-09
1910,1.6566866989364826e-08,1.6032452032632705e-09
1911,1.1704823332792103e-08,2.6601871816467337e-09
1912,2.7609931674277277e-08,2.6047106693738442e-09
1913,1.3787773367468503e-08,3.1817937728995105e-09
1914,1.004511551716547e-08,3.3483718020477227e-09
1915,5.890381071793627e-09,1.1780761921542648e-09
1916,8.789969641043172e-09,1.0987462051303964e-09
1917,1.7546279096336548e-08,4.386569774084137e-09
1918,1.9526838812566893e-08,2.2972752589112133e-09
1919,1.6574126959767455e-08,1.8415696745321952e-09
1920,2.4231140649533245e-08,2.2716695191604686e-09
1921,1.8931869016913794e-08,4.543648568500203e-09
1922,3.3938504784281065e-08,3.6889677423879164e-09
1923,1.3800732556745743e-08,2.1231896241147297e-09
1924,1.2891624545652292e-08,1.289162443462999e-09
1925,1.3197813952814386e-08,5.499088961968823e-09
1926,2.452150482668003e-08,1.1146138456652466e-09
1927,1.3379070296082318e-08,7.804457302640344e-09
1928,9.14083297942625e-09,1.1426041224282812e-09
1929,3.119313873867213e-08,2.2280812750352652e-09
1930,2.520864939015155e-08,3.1510811737689437e-09
1931,2.3951248984133144e-08,2.2810713318222042e-09
1932,1.8631212128639163e-08,7.671675850140502e-09
1933,2.0647192178202545e-08,1.1470662197865522e-09
1934,1.4377896206951846e-08,2.3963160344919743e-09
1935,1.6755597798123745e-08,0.0
1936,2.182448710641438e-08,2.424942913137329e-09
1937,1.1332006222275481e-08,1.2591118148108649e-09
1938,6.482607339819424e-09,0.0
1939,1.6823456405745674e-08,1.5294050470515685e-09
1940,1.0143131667916805e-08,2.5357829169792012e-09
1941,1.7709016475464523e-08,0.0
1942,6.068423541449874e-09,0.0
1943,1.7419411690866582e-08,2.9032352077962287e-09
