year,pourrions_VERB étendre_VERB
1800,1.5720821977538435e-08
1801,4.7623651688866175e-09
1802,2.2378401354217203e-08
1803,9.751696339321825e-09
1804,2.2246657849223084e-08
1805,1.9900143755080535e-08
1806,5.187004603612877e-08
1807,3.4163463169534225e-08
1808,4.985362878073829e-08
1809,2.259030518203531e-09
1810,3.042164919975221e-08
1811,3.5099073869560016e-08
1812,0.0
1813,2.8757416448144113e-09
1814,9.440030979135372e-09
1815,7.552225866902518e-08
1816,5.3304887615013286e-08
1817,1.5568733857662664e-08
1818,2.8610825708597076e-08
1819,3.1053151161586356e-08
1820,5.93324074316115e-08
1821,9.861488514673056e-09
1822,1.2030739071633434e-08
1823,4.941343334508019e-09
1824,1.7684335773537896e-08
1825,2.1133063299316746e-08
1826,2.4662355713189754e-08
1827,1.935627302884768e-08
1828,3.210305266065916e-08
1829,2.8291481157793896e-08
1830,2.922314124020886e-08
1831,3.274153215215847e-08
1832,1.7588959622116818e-08
1833,1.853380560135065e-08
1834,4.0138484536100805e-08
1835,3.554651328840919e-08
1836,1.8818100855355624e-08
1837,3.1310509740478665e-08
1838,2.398621568033832e-08
1839,2.23727205650448e-08
1840,2.4204817705708592e-08
1841,2.5682194149112547e-08
1842,8.049918065466954e-09
1843,1.7720733325177207e-08
1844,3.0187088384536764e-08
1845,1.6182660544927785e-08
1846,9.952652035849496e-09
1847,1.6718992412734224e-08
1848,2.091757700384278e-08
1849,3.6869426622843093e-08
1850,3.2587180953669304e-08
1851,2.8377531435808123e-08
1852,3.320378283433456e-08
1853,3.2845626662947325e-08
1854,3.636965217879151e-08
1855,2.3350523292720027e-08
1856,2.5368226630462232e-08
1857,4.5886185517929334e-08
1858,4.257498176230001e-08
1859,1.782260738991681e-08
1860,1.7393299245327398e-08
1861,1.744906619194353e-08
1862,2.84633134839396e-08
1863,2.6471489888990618e-08
1864,2.0137857603685916e-08
1865,2.4946274379544775e-08
1866,3.405929049904444e-08
1867,1.358787216076962e-08
1868,1.432563490055827e-08
1869,1.4162205630441349e-08
1870,1.204150201772336e-08
1871,9.559059321873065e-09
1872,1.8746751706544273e-08
1873,3.052862140862089e-08
1874,2.3300975371398636e-08
1875,1.8881038954532414e-08
1876,2.1161051577678336e-08
1877,2.2265338017746217e-08
1878,1.3889904337816006e-08
1879,1.710611030603104e-08
1880,1.0268554007097919e-08
1881,9.761510710859511e-09
1882,2.5956001792337702e-08
1883,1.579834751908038e-08
1884,1.2543224237049344e-08
1885,1.4180398189012067e-08
1886,1.4842966855610484e-08
1887,1.3710741875172516e-08
1888,6.340614699951175e-09
1889,5.012109394186837e-09
1890,9.831579994568074e-09
1891,4.461953917456185e-09
1892,8.149066310636499e-09
1893,1.6627724974682678e-08
1894,1.449354058991048e-08
1895,1.023164486468886e-08
1896,1.1794058174530164e-08
1897,5.2440420894583895e-09
1898,1.4711722506888236e-08
1899,1.1607914629507832e-08
1900,1.038210584169974e-08
1901,1.2295225282343836e-08
1902,4.910283735171106e-09
1903,1.4580594509538969e-08
1904,8.061937784020756e-09
1905,2.0643036169332163e-09
1906,8.230695236477459e-09
1907,2.5714217422034835e-09
1908,7.367083831866239e-09
1909,1.265226234892225e-08
1910,1.2825961626106164e-08
1911,1.0108711201439746e-08
1912,1.4586379215586476e-08
1913,5.833288518886093e-09
1914,5.357394972094198e-09
1915,2.1205371680821372e-08
1916,1.4283700444650549e-08
1917,7.676496771580332e-09
1918,1.1486376294556067e-09
1919,5.524709134618888e-09
1920,5.300562211374427e-09
1921,1.8931869405491852e-08
1922,1.696925089333945e-08
1923,1.2739137744688378e-08
1924,5.156649773851996e-09
1925,6.598906754362588e-09
1926,1.2260752413340015e-08
1927,4.4596899506643695e-09
1928,1.1426041224282812e-09
1929,1.1140406375176326e-09
1930,1.1553964007759987e-08
1931,5.7026783295555106e-09
1932,2.1919073223131136e-09
1933,2.2941324395731044e-09
1934,1.1981580172459871e-09
1935,7.180970484910176e-09
1936,9.699771652549316e-09
1937,7.554670666820584e-09
1938,9.075650453382877e-09
1939,3.058810094103137e-09
1940,1.7750480196809804e-08
1941,5.9030051957620344e-09
1942,9.102635090130207e-09
1943,1.4516175816936538e-08
1944,0.0
1945,1.089252066321933e-08
1946,8.352662561605939e-09
1947,4.7683483828109274e-09
1948,8.697510267552389e-09
1949,2.945102384188658e-09
1950,4.2541445921528975e-09
1951,5.330700769690111e-09
1952,7.381362632230548e-09
1953,2.1547654771580937e-09
1954,3.9090144454689835e-09
1955,2.815682353940474e-09
1956,4.360570571293465e-09
1957,2.6505113659425206e-09
1958,4.1361216673863055e-09
1959,1.5501495642666896e-09
1960,4.152500121534786e-09
1961,3.47407969059077e-09
1962,1.9025869768540815e-09
1963,7.759263453976928e-09
1964,2.4335873316516654e-09
1965,3.830430195250756e-09
1966,3.8773522170743036e-09
1967,3.451234853457663e-09
1968,2.245707841908029e-09
1969,6.8126366770115965e-09
1970,2.7592350626548523e-09
1971,4.624557625731995e-09
1972,9.747279428040656e-09
1973,8.821126051827832e-09
1974,8.438357568252286e-09
1975,9.709516746170266e-09
1976,2.856763492431469e-09
1977,3.526069214387917e-09
1978,3.5643548113029055e-09
1979,2.3407893401383717e-09
1980,3.97960553399912e-09
1981,2.5302198114474095e-09
1982,6.828252629986764e-09
1983,6.315316269933646e-09
1984,9.278413592994639e-09
1985,7.218669662023558e-09
1986,2.997242676272549e-09
1987,2.4443267410134695e-09
1988,5.396898483667201e-09
1989,3.2928733073589456e-09
1990,2.724325431913144e-09
1991,2.9307325455363298e-09
1992,5.509944056569793e-09
1993,2.2156829704300662e-09
1994,2.1099706426497278e-09
1995,1.626735190995987e-09
1996,2.6690460952494277e-09
1997,4.315404922294874e-09
1998,2.86087753487152e-09
1999,6.8553016596695215e-09
2000,7.068850393920911e-09
2001,7.0099388516098315e-09
2002,3.504977197366088e-09
2003,7.083769126836614e-09
2004,9.250062049659391e-09
2005,5.404499514582994e-09
2006,8.64756888319107e-09
2007,3.595031605740928e-09
2008,2.9802078582719105e-09
2009,8.582746957586096e-09
2010,8.97520635589899e-09
2011,3.823971805871906e-09
2012,5.1063788752969685e-09
2013,5.29933741333366e-09
2014,3.2481677347817595e-09
2015,4.211493376260478e-09
2016,6.006886099640951e-09
2017,3.018733707449428e-09
2018,5.421080029321956e-09
2019,4.846876677788714e-09
