year,leurs_DET yeux_NOUN,leurs_DET dieux_NOUN
1800,1.0740466251490943e-05,1.6601188947973355e-06
1801,1.024384789616306e-05,1.62396651504082e-06
1802,7.946570548256204e-06,1.931256065290654e-06
1803,1.0498676260795037e-05,2.2389894371865893e-06
1804,1.033728096899722e-05,2.5410627628730253e-06
1805,1.027984586698949e-05,2.6325047901565313e-06
1806,7.451996168583719e-06,1.9854699928600894e-06
1807,8.02271915745223e-06,1.810663469825613e-06
1808,8.926065618197754e-06,2.358983055117392e-06
1809,8.376485482131102e-06,2.39909037080821e-06
1810,9.985320929217778e-06,2.1529166502887165e-06
1811,6.721472885828916e-06,1.7750104142066903e-06
1812,7.113444510764566e-06,1.5389791805375808e-06
1813,8.31376901544445e-06,1.5931608601249536e-06
1814,9.156830358847401e-06,1.1548305121067415e-06
1815,8.072789967172866e-06,1.0788894488911183e-06
1816,8.790671245151316e-06,1.7451556715286642e-06
1817,1.0283148526468722e-05,2.3228551198073433e-06
1818,9.175729900334773e-06,1.7333392081653187e-06
1819,9.754829648045416e-06,2.543253010856006e-06
1820,9.826632734188934e-06,1.9828889641360092e-06
1821,9.192879701913625e-06,2.001882101865249e-06
1822,8.40748123209778e-06,2.08332295414948e-06
1823,8.466498243819842e-06,1.7433060266469624e-06
1824,9.613542275133113e-06,1.6724329370276791e-06
1825,9.519564883930798e-06,2.046385016996055e-06
1826,8.734877809501995e-06,1.6189075080497162e-06
1827,7.2798020767095295e-06,1.7844640547437507e-06
1828,9.146618481281621e-06,1.8262051684203584e-06
1829,9.318184652329364e-06,1.4222898965243758e-06
1830,8.576992001962935e-06,1.877586734977399e-06
1831,7.870440725810113e-06,2.5709899329484642e-06
1832,8.343931952481398e-06,1.932079660704744e-06
1833,9.226359793501615e-06,2.032926815331848e-06
1834,8.95181514692922e-06,2.1058701662468593e-06
1835,9.263270442261273e-06,1.8370740164641575e-06
1836,8.980266670732817e-06,1.8609756464726956e-06
1837,8.490018785778375e-06,1.7332105777256857e-06
1838,8.090298337037893e-06,1.5502670080991265e-06
1839,8.287694811315305e-06,1.1738687026863204e-06
1840,8.452577262119121e-06,1.3688461146799114e-06
1841,8.721030951619468e-06,1.3457469814071032e-06
1842,8.422227054438736e-06,1.4731350006513821e-06
1843,9.030485969674373e-06,2.112311332069794e-06
1844,9.118695260212917e-06,1.5993667634717212e-06
1845,8.36811022963957e-06,1.498291179125033e-06
1846,8.638316558062797e-06,1.7300051666779837e-06
1847,8.179363419458241e-06,1.2954522681241087e-06
1848,7.890753423112074e-06,1.6170895520417616e-06
1849,7.73168618195541e-06,1.1990943065143256e-06
