year,des_DET âmes_NOUN,des_DET ames_NOUN,des_DET dames_NOUN
1800,5.062105046249599e-07,2.694548958181997e-06,1.024997633436442e-06
1801,2.0478170359439218e-07,3.4598583171785435e-06,1.2144031416028156e-06
1802,5.370816040795034e-07,2.844294840542716e-06,1.224098554075681e-06
1803,5.538963385731677e-07,2.705120515145154e-06,8.640002846505013e-07
1804,3.510028276920707e-07,3.0255454523953063e-06,1.5350194644270232e-06
1805,5.742612811943104e-07,2.2458734694197346e-06,1.2906665176615206e-06
1806,6.541388799519154e-07,2.0603935340091084e-06,1.4408345769822972e-06
1807,2.903894085193315e-07,3.211365394051313e-06,9.821995305969722e-07
1808,5.393256277130831e-07,2.3408543601277643e-06,1.058256547281644e-06
1809,3.930712990651841e-07,2.5549634390387155e-06,1.1272562048247892e-06
1810,7.418201768416566e-07,4.015657326661426e-06,1.509381796438447e-06
1811,6.317833367575076e-07,1.6596848393390928e-06,1.1106350044087776e-06
1812,1.1549011684763855e-06,2.1924451107935283e-06,1.2775927089592187e-06
1813,8.655982277616658e-07,1.6477999456032677e-06,1.3889831933511232e-06
1814,9.88056630291112e-07,1.6614455624619495e-06,1.7117923150067327e-06
1815,9.952755202213837e-07,1.3647951522255397e-06,9.494226631545644e-07
1816,1.1889307796053572e-06,3.2886799630205132e-06,1.2399180242539387e-06
1817,1.3560367371212578e-06,2.4240518634588426e-06,1.4961552885495166e-06
1818,1.2910634872298488e-06,2.4390728130541106e-06,1.2481473063985504e-06
1819,2.320705512204313e-06,1.5547276968064239e-06,1.2338451433890896e-06
1820,1.9461028628597887e-06,2.1003672392438943e-06,1.4655103868221886e-06
1821,2.576806906517959e-06,2.095566365323265e-06,1.3263701497123748e-06
1822,1.9820642478407535e-06,2.1615228007476617e-06,1.9459720732584174e-06
1823,1.3756699903666458e-06,2.2265693919720775e-06,1.6316316333586656e-06
1824,1.33643063549016e-06,1.818960369881495e-06,1.968856189193957e-06
1825,1.595546255117597e-06,1.9451223691735464e-06,2.303503856992961e-06
