year,ces_DET oies_NOUN,ces_DET doigts_NOUN
1800,1.6978488659447066e-07,6.634186888732074e-07
1801,1.2620267497709392e-07,3.0717254873025013e-07
1802,8.727576528144709e-08,1.991677720525331e-07
1803,7.411289004721766e-08,4.2712427728019975e-07
1804,1.1617699158250616e-07,1.5572661560270262e-07
1805,2.2743021688143017e-08,2.928163986837262e-07
1806,2.305335300434308e-08,2.0171683523528827e-07
1807,6.547996900252429e-08,2.0213381413114462e-07
1808,1.3823051503436545e-07,2.3793776904312836e-07
1809,3.6144488291256494e-08,1.355418248749629e-07
1810,1.6380887757350138e-08,8.424456554578796e-08
1811,5.515568934910675e-08,7.270522672797597e-08
1812,2.6672082320544632e-09,7.734903562095496e-08
1813,2.8757416448144113e-09,9.777521547960077e-08
1814,0.0,1.8250727462643113e-07
1815,1.8880564667256294e-08,9.979727244591174e-08
1816,1.622322720606917e-08,2.7347726216930823e-07
1817,4.203558356952186e-08,5.184388385259808e-07
1818,2.2650237241350624e-07,3.469062583860705e-07
1819,3.1053151161586356e-09,2.2461777859916765e-07
1820,1.1866481131050932e-08,1.4358442967932206e-07
1821,1.9722976807301507e-08,1.8046523564407835e-07
1822,4.0102463572111446e-08,2.8773519034075434e-07
1823,1.2847493069401139e-08,1.9567719533597483e-07
1824,4.210556348027694e-09,1.5326425373274333e-07
1825,6.516027784009282e-08,2.351053289828542e-07
1826,2.906634755106552e-08,1.6294770865954433e-07
1827,1.474763688946723e-08,2.2766664997675434e-07
1828,1.3024667566696735e-07,1.779426419545871e-07
1829,6.858540846366168e-09,1.8260864820263123e-07
1830,6.992679768558219e-08,1.513341221226483e-07
1831,4.365537531469954e-08,1.870944643656003e-07
1832,1.3529969367098715e-09,2.1242052028469516e-07
1833,8.108540172635514e-09,1.6217079590319372e-07
1834,4.387229601832132e-08,2.3616362554435e-07
1835,6.882410019670715e-08,2.3899358581047636e-07
1836,2.9571300075303952e-08,2.345541751935798e-07
1837,2.435261814426326e-08,2.7414089842636713e-07
1838,5.680945602826171e-08,1.4454850294498556e-07
1839,5.523265411699896e-08,1.7898176274400157e-07
1840,1.9109066218270243e-08,1.2420892669950945e-07
1841,2.6966304744746594e-08,1.9069029200124987e-07
1842,9.391571076378114e-09,1.1873629457426205e-07
1843,1.063243981747064e-08,1.5476107018130847e-07
1844,1.756339607084101e-08,1.5367972050484013e-07
1845,2.2320911785556063e-08,2.176288842470342e-07
1846,2.3418005756781213e-08,2.2012925704473219e-07
1847,4.314578827546711e-08,1.4022381655820482e-07
1848,4.1835152453373325e-08,1.1906928221172564e-07
1849,1.256912218750017e-08,1.4328800190810398e-07
1850,2.4440385715251978e-08,1.5071570746982843e-07
1851,7.094382636907426e-09,1.767146287079413e-07
1852,3.776116352938175e-08,1.4518515634165396e-07
1853,3.5234398509942366e-08,2.956106115448165e-07
1854,4.78001130344019e-08,2.0263091649042053e-07
1855,4.2455496895854594e-08,1.9635666603790014e-07
1856,3.313401081284084e-08,1.144158821020369e-07
1857,2.3919394687155204e-08,1.7036466815056883e-07
