year,seriez_VERB dans_ADP
1800,1.1633408547595536e-07
1801,6.905429472681135e-08
1802,5.147032311469957e-08
1803,6.631153581793114e-08
1804,6.426812149129546e-08
1805,3.4114531644036106e-08
1806,1.0374009207225754e-07
1807,7.686778502602465e-08
1808,5.891792298484688e-08
1809,3.162642769893864e-08
1810,5.148278958699848e-08
1811,3.008491944456182e-08
1812,6.401299401659344e-08
1813,8.627225156487839e-08
1814,2.5173417128598885e-08
1815,2.4275012222574333e-08
1816,7.416332437060191e-08
1817,8.407116069975018e-08
1818,5.364529798157491e-08
1819,6.003609342997152e-08
1820,8.662531314485022e-08
1821,9.861488337037372e-08
1822,7.21844344298006e-08
1823,6.917881023582595e-08
1824,7.663212642228245e-08
1825,7.13240879690602e-08
1826,6.605988289720699e-08
1827,6.267745789045875e-08
1828,7.429564163885516e-08
1829,7.11573591161141e-08
1830,5.0096812032052185e-08
1831,1.0134284167406804e-07
1832,5.953186388296672e-08
1833,4.170106393530659e-08
1834,5.694063887062839e-08
1835,5.596685070941021e-08
1836,4.704525125021064e-08
1837,4.6617870452791976e-08
1838,4.1660268124132926e-08
1839,6.152497888933794e-08
1840,8.471685930544481e-08
1841,6.292137300079048e-08
1842,7.647422251011449e-08
1843,5.316219997553162e-08
1844,4.061535463506516e-08
1845,5.133809821700197e-08
1846,7.025401771443285e-08
1847,5.123562374365065e-08
1848,3.539897619475596e-08
1849,6.954914510970411e-08
1850,4.412847331991543e-08
1851,3.740674614505224e-08
1852,6.185018008864063e-08
1853,3.523439673358553e-08
1854,3.844791862661623e-08
1855,5.519214596461097e-08
1856,5.850223772085883e-08
1857,3.417056504417815e-08
1858,6.508589223130912e-08
1859,5.0412516827691434e-08
1860,7.598125506547149e-08
1861,5.659156343540417e-08
1862,3.4336697041226216e-08
1863,4.04564275413577e-08
1864,4.411149845395812e-08
1865,6.213034708935083e-08
1866,3.7465220259491616e-08
1867,3.202855580752839e-08
1868,5.4832600682175325e-08
1869,5.567211758261692e-08
1870,5.103303379883073e-08
1871,2.2304472935275044e-08
1872,3.9912439575573444e-08
1873,4.1303430009520525e-08
1874,6.034355237716227e-08
1875,5.149374260327022e-08
1876,2.7207066821688386e-08
1877,7.236234722540758e-08
1878,4.1065803202400275e-08
1879,2.3215436684154156e-08
1880,5.262634061864446e-08
1881,4.8807553554297556e-08
1882,5.257754409626614e-08
1883,5.561018312505439e-08
1884,3.036780782394999e-08
1885,5.0920522909336796e-08
1886,3.226731948302586e-08
1887,3.525619263200497e-08
1888,1.521747527988282e-08
1889,3.257871128425904e-08
1890,3.0150179242127706e-08
1891,3.824532157636895e-08
1892,3.13425623232888e-08
1893,2.6481190573690583e-08
1894,2.457600345451283e-08
1895,2.768562623600701e-08
1896,3.4792471126365854e-08
1897,3.4960280004270317e-08
1898,2.9423445013776472e-08
1899,2.8743407654019393e-08
1900,2.3359739032002835e-08
1901,1.7325090695408107e-08
1902,2.356936334990678e-08
1903,3.132127801563911e-08
1904,2.6335662539622717e-08
1905,2.0126959654476195e-08
1906,3.189394348623864e-08
1907,2.9314207949937554e-08
1908,3.388858615949175e-08
1909,1.925344328412848e-08
1910,2.404867771588215e-08
1911,3.1390207766435196e-08
1912,3.64659484830554e-08
1913,2.7575547179026216e-08
1914,2.4777952134513725e-08
1915,3.534228465440492e-09
1916,1.4283700444650549e-08
1917,1.5352993543160665e-08
1918,2.412139110674616e-08
1919,1.4732557396257562e-08
1920,2.0445025228355007e-08
1921,1.5902768879527684e-08
1922,3.467629738906908e-08
1923,3.078624999375279e-08
1924,2.0626599095407983e-08
1925,3.299453510408057e-08
1926,3.343841470382358e-08
1927,1.7838759802657478e-08
1928,2.742249805010033e-08
1929,3.119313873867213e-08
1930,2.6259009189288918e-08
1931,2.737285598186645e-08
1932,3.06867029564728e-08
1933,1.605892663292252e-08
1934,2.6359476379411717e-08
1935,7.180970484910176e-09
1936,2.5461901032031165e-08
1937,2.5182236740306507e-08
