year,aux_ADP essais_NOUN,aux_ADP décès_NOUN
1800,2.8611895874774973e-07,6.288328968651058e-09
1801,3.14316103811052e-07,4.286128785224719e-08
1802,2.1259481286506343e-07,2.0140561218795483e-08
1803,1.5407680287182757e-07,7.996391104825307e-08
1804,2.620161971833568e-07,6.179627121127851e-08
1805,2.302730930381358e-07,3.1271653710973624e-08
1806,4.3801369997709116e-07,1.0085842205853623e-07
1807,3.729511099948013e-07,3.4163463169534225e-08
1808,2.9232354537001015e-07,1.540930298915555e-07
1809,3.16264276101208e-07,1.3260508922030567e-06
1810,2.9953622160405757e-07,3.2761775514700275e-08
1811,3.2842704200675144e-07,3.008492228673276e-07
1812,2.4805036957786797e-07,6.668020802180763e-08
1813,2.1568061825405493e-07,6.614205716459765e-08
1814,3.2410774508662143e-07,4.405347908686963e-08
1815,3.2096959312610807e-07,2.4275012222574333e-08
1816,1.1588019255270865e-07,4.4034472068688046e-08
1817,2.5065662345724604e-07,9.341240669868967e-09
1818,3.4571414886386265e-07,2.98029441125891e-08
1819,2.1840715247467557e-07,3.415846450138815e-08
1820,2.8242224914265535e-07,3.9159388620646496e-08
1821,2.5837099126846397e-07,4.7335142028259725e-08
1822,9.223566621585633e-08,2.7069162911175226e-08
1823,2.786917718822224e-07,1.1661570198384652e-07
1824,2.6358081406385736e-07,7.747424035642325e-08
1825,3.0378778248518756e-07,2.1221117663117184e-07
1826,2.915442807172042e-07,1.1714619319036501e-07
1827,3.2076111489143244e-07,2.3227528345159953e-07
1828,3.3020284695428614e-07,1.0915038473058303e-07
1829,3.5150022981156326e-07,9.859152783064928e-08
1830,2.828382399400198e-07,1.889067249294385e-07
1831,3.1650148812900625e-07,1.0602020239502963e-07
1832,4.3972400387559674e-07,1.0012177398266431e-07
1833,3.753095558778341e-07,1.042526562855528e-07
1834,4.891294329567586e-07,1.0734710542692483e-07
1835,2.775653342723672e-07,1.6714423622943286e-07
1836,2.533722760489354e-07,1.5256102869898314e-07
1837,2.630082782673071e-07,1.4333255649034982e-07
1838,3.0866470890345e-07,9.72072911054056e-08
1839,3.460780267916519e-07,1.363337673865317e-07
1840,2.917317409867337e-07,1.1146955358753985e-07
1841,3.518460731655182e-07,3.325844204482564e-07
1842,3.656004423646664e-07,7.110760691375617e-08
1843,5.032688354944526e-07,1.1754752904380439e-07
1844,3.452305157303215e-07,9.056125804818294e-08
1845,3.3816182121171323e-07,2.9017184033364174e-07
