year,tes_DET années_NOUN,tes_DET damnés_NOUN
1800,3.458580977167003e-08,0.0
1801,3.0955374485941434e-08,0.0
1802,5.594600338554301e-08,0.0
1803,3.7056443913385806e-08,0.0
1804,3.213406074564773e-08,0.0
1805,7.391481915419718e-08,0.0
1806,7.204172902675055e-08,0.0
1807,5.4092146317685774e-08,0.0
1808,4.305540457494317e-08,0.0
1809,2.9367397402779716e-08,0.0
1810,3.2761775514700275e-08,2.3401267590372754e-09
1811,6.518399686683551e-08,0.0
1812,3.7340914360584065e-08,0.0
1813,3.7384642270765767e-08,0.0
1814,3.1466770522570187e-08,0.0
1815,5.394447111228828e-09,2.697223555614414e-09
1816,2.3176038865813098e-08,0.0
1817,2.6466847935502358e-08,0.0
1818,2.5034471606844022e-08,0.0
1819,2.794783426907088e-08,1.035105001712111e-09
1820,4.034603495739475e-08,0.0
1821,4.930743990883002e-08,0.0
1822,7.920236555492011e-08,7.017931125119503e-09
1823,4.74368975211803e-08,0.0
1824,3.621078548121659e-08,8.421112696055388e-10
1825,2.1133062855227536e-08,0.0
1826,2.4662355713189754e-08,8.807984341885344e-10
1827,2.673009252829317e-08,9.217273055917019e-10
1828,3.852366481371661e-08,9.172301251858528e-10
1829,4.715246859632316e-08,0.0
1830,3.7572607469726904e-08,1.0436835840010872e-09
1831,2.962329181954715e-08,0.0
1832,1.894195655882669e-08,1.3529969367098715e-09
1833,1.6217079235048004e-08,0.0
1834,4.107193762870054e-08,0.0
1835,2.7227116561334697e-08,0.0
1836,4.368487438455304e-08,0.0
1837,3.339787690848084e-08,0.0
1838,4.039783707554534e-08,0.0
1839,3.146163862766116e-08,0.0
1840,3.9492068282243054e-08,0.0
1841,2.632424855875115e-08,0.0
1842,5.1653642252347254e-08,0.0
1843,3.721353808439076e-08,1.1813822142769936e-09
1844,3.1284800083852815e-08,3.841992946007622e-09
1845,4.687391585989076e-08,5.580227946389016e-10
1846,2.5759805399871993e-08,0.0
1847,5.824681359456463e-08,1.0786447290911383e-09
1848,1.4481398691312819e-08,0.0
1849,2.178647862116634e-08,0.0
1850,2.647708541303473e-08,0.0
1851,2.5797755265344335e-08,0.0
1852,3.580799945446245e-08,1.3021090872200602e-09
1853,2.9859658745579054e-08,0.0
1854,3.533051828874534e-08,2.0782657816909023e-09
1855,3.1841622671890946e-08,0.0
1856,2.122647629887453e-08,5.177189232874468e-10
1857,4.393358210563747e-08,0.0
1858,6.900082971661448e-08,0.0
1859,4.786642904264227e-08,5.092173349652285e-10
1860,4.485640081597353e-08,0.0
1861,4.338686476756948e-08,4.715963730639317e-10
1862,3.6143891435358455e-08,0.0
1863,5.893652632593671e-08,0.0
1864,6.61672486801379e-08,0.0
1865,3.012380389577629e-08,0.0
1866,6.471265345808774e-08,4.865612912574591e-10
1867,3.202855580752839e-08,0.0
