year,aux_ADP août_NOUN,aux_ADP doutes_NOUN
1800,0.0,2.2952400513531757e-07
1801,0.0,1.2858386355674156e-07
1802,2.2378401354217203e-09,1.6336232988578558e-07
1803,0.0,1.501761159872217e-07
1804,0.0,1.4336735887354735e-07
1805,5.685755422035754e-09,1.3361525041943878e-07
1806,0.0,1.1238509767252935e-07
1807,0.0,1.4234775846944103e-07
1808,4.5321479902327155e-09,1.8581806671136292e-07
1809,0.0,9.713831161661801e-08
1810,0.0,1.5444836920508465e-07
1811,0.0,1.8050953087822563e-07
1812,5.3344164641089264e-09,1.9470620582495712e-07
1813,2.8757416448144113e-09,1.121539270343419e-07
1814,0.0,5.97868634599763e-08
1815,0.0,1.2407228666688752e-07
1816,0.0,2.665244451804938e-07
1817,0.0,1.6191484064620454e-07
1818,1.1921177378582115e-09,1.1801965627000754e-07
1819,2.070210003424222e-09,9.419455437864599e-08
1820,0.0,1.9817024021762109e-07
1821,0.0,1.607422611682452e-07
1822,0.0,1.0727409005539812e-07
1823,0.0,1.462637648774745e-07
1824,1.6842225392110777e-09,1.5915903350816052e-07
1825,2.641632912414593e-09,1.620201484087147e-07
1826,8.807984341885344e-10,1.5678212195169294e-07
1827,9.217273055917019e-10,1.843454575656267e-07
1828,0.0,1.2199160437376122e-07
1829,8.57317605795771e-10,1.646049838655017e-07
1830,3.1310507520032616e-09,1.5237780548460478e-07
1831,0.0,1.1381580122815649e-07
1832,0.0,1.1500473817704915e-07
1833,0.0,1.3321172898095313e-07
1834,1.8669061851994684e-09,1.0921401272234732e-07
1835,9.832014313815307e-09,2.0495968300338063e-07
1836,0.0,1.633142271972865e-07
1837,6.957890930081589e-10,1.6142306846766985e-07
1838,1.2624323808552163e-09,1.60328909259988e-07
1839,0.0,1.5730819691306408e-07
1840,1.2739377330817092e-09,1.6879674546999013e-07
1841,0.0,1.553772701612388e-07
1842,0.0,1.938688605207517e-07
1843,0.0,2.2741608063370222e-07
1844,5.488561272137815e-10,2.0911417886182448e-07
1845,5.580227946389016e-10,8.202934831391673e-08
1846,2.3418005312692003e-09,2.0607843964626227e-07
1847,1.6179670936367074e-09,1.5101026118458094e-07
1848,0.0,8.84974359349755e-08
1849,8.379414939696517e-10,1.952403705374195e-07
1850,6.788996032014438e-10,1.4121112190679241e-07
1851,4.514607132577453e-09,1.6962024562694467e-07
1852,0.0,2.018269071868417e-07
1853,5.971931837933653e-10,1.8453268735285633e-07
1854,0.0,1.984743747129869e-07
