year,mais_CONJ étendre_VERB,mais_CONJ détendre_VERB
1800,2.2009151834367913e-08,0.0
1801,7.143547753329926e-09,0.0
1802,6.042168365638645e-08,0.0
1803,3.1205427131197894e-08,1.950339223455444e-09
1804,0.0,0.0
1805,2.2743021244053807e-08,0.0
1806,1.152667650217154e-08,0.0
1807,2.562259560079383e-08,5.693910232196231e-09
1808,6.798221985349073e-09,0.0
1809,6.7770917766551975e-09,0.0
1810,1.6380886869171718e-08,0.0
1811,1.504245972228091e-08,0.0
1812,5.3344164641089264e-09,0.0
1813,1.1502966579257645e-08,0.0
1814,1.2586708564299443e-08,0.0
1815,2.966945888971395e-08,0.0
1816,1.1588019432906549e-08,0.0
1817,3.580808893843823e-08,0.0
1818,0.0,0.0
1819,3.9333990287104825e-08,0.0
1820,2.254631503717519e-08,1.1866481131050932e-09
1821,2.070912508145284e-08,0.0
1822,2.0051231786055723e-08,0.0
1823,8.894418312976882e-09,0.0
1824,1.0947446504872005e-08,0.0
1825,1.7610886082763955e-08,0.0
1826,1.2331178300684087e-08,0.0
1827,2.673009252829317e-08,0.0
1828,1.7427372434042354e-08,0.0
1829,2.2290257639667743e-08,0.0
1830,3.0266823713986923e-08,0.0
1831,1.2472964439069756e-08,0.0
1832,1.4882966192786284e-08,0.0
1833,3.243415935827443e-08,0.0
1834,3.733812548034621e-08,0.0
1835,1.5882484660778573e-08,0.0
1836,1.2769424795333606e-08,0.0
1837,5.5663127440652715e-09,0.0
1838,5.680945935893078e-09,0.0
1839,8.3897702118918e-09,6.9914751765765e-10
1840,7.0066574764382494e-09,0.0
1841,1.2841097074556274e-08,0.0
1842,5.366612043644636e-09,0.0
1843,1.2995204023980023e-08,0.0
1844,2.9089374464774664e-08,0.0
1845,3.236532197803399e-08,5.580227946389016e-10
1846,1.9319854160926297e-08,5.854501328173001e-10
1847,2.1572894581822766e-08,0.0
1848,3.298540995899657e-08,8.045221711050488e-10
1849,1.8434712201198522e-08,0.0
1850,1.968808849284187e-08,0.0
1851,2.579775504329973e-08,6.449438760824933e-10
1852,1.3672145637855238e-08,0.0
1853,1.1943863675867306e-08,0.0
1854,8.313063126763609e-09,0.0
1855,1.539011762474729e-08,0.0
1856,1.9673318973900678e-08,0.0
1857,2.636014917456464e-08,0.0
1858,2.6915218054313073e-08,0.0
1859,1.6804172275897145e-08,0.0
1860,1.098524138321011e-08,0.0
1861,1.7449066469499286e-08,0.0
1862,1.2198563048571032e-08,0.0
1863,1.897955925755923e-08,0.0
1864,1.4863656971897399e-08,0.0
1865,2.588764314026548e-08,0.0
1866,1.4110277390955162e-08,0.0
