year,vingt - trois ans,vingt - trois dents
1800,6.751745935673625e-07,0.0
1801,6.537457162281157e-07,2.614982896886886e-09
1802,6.454381491494132e-07,0.0
1803,7.24285202480246e-07,0.0
1804,8.345504944884397e-07,5.436811001402475e-09
1805,8.24270102839364e-07,0.0
1806,8.974206151535213e-07,0.0
1807,6.79058787866893e-07,0.0
1808,1.2824262825006372e-06,0.0
1809,1.0180351726063464e-06,7.412877423007558e-09
1810,9.205802307121758e-07,0.0
1811,1.5976367269132652e-06,0.0
1812,1.4516957165255917e-06,0.0
1813,1.6175916925931233e-06,0.0
1814,1.678416809092198e-06,0.0
1815,1.8714123299901075e-06,0.0
1816,1.6592072622501064e-06,3.5463969538795936e-08
1817,1.5832826845141312e-06,3.4122471959108225e-08
1818,1.6096037702695298e-06,0.0
1819,1.6846075112653125e-06,0.0
1820,1.5292446189363318e-06,5.179490614182214e-09
1821,1.984019210254928e-06,1.0800321748050123e-09
1822,1.2477899531404546e-06,0.0
1823,1.5956298788921686e-06,5.3979358760614105e-09
1824,1.262367782750573e-06,0.0
1825,1.6780290508222606e-06,3.844281781795189e-09
1826,1.670320706637085e-06,1.1532709009998143e-08
1827,1.203254252679642e-06,5.030327265842516e-09
1828,1.4804130010759309e-06,1.0023107899215233e-09
1829,1.4591439061462097e-06,1.498479029748978e-08
1830,1.4358712014939101e-06,0.0
1831,1.3588899168137658e-06,0.0
1832,1.4663183467433782e-06,0.0
1833,1.29779510160688e-06,1.0139023842725692e-08
1834,1.6089813099640082e-06,1.3297366763254104e-08
1835,1.3163173946395545e-06,1.0789486637463597e-08
1836,1.3585456422049447e-06,9.546536894333713e-09
1837,1.4772061973644668e-06,3.795493697111851e-09
1838,1.5113406099942495e-06,0.0
1839,1.436804776488998e-06,2.2927735265909632e-09
1840,1.4599015738525623e-06,6.958539300327971e-10
1841,1.468540148152897e-06,5.615832243677232e-09
1842,1.5337919396785082e-06,0.0
1843,1.5064052263369376e-06,1.2908356605834115e-09
1844,1.4828286758472586e-06,6.582371092633821e-09
1845,1.3353786272318757e-06,4.880323700717781e-09
1846,1.5811499949336394e-06,0.0
1847,1.3183161939878119e-06,0.0
1848,1.3530648992343686e-06,0.0
1849,1.234848821418666e-06,0.0
1850,1.4718961498516592e-06,0.0
1851,1.3439514603419411e-06,1.411713745902432e-09
1852,1.5486897737559957e-06,2.85341283934315e-09
1853,2.0728959420068804e-06,1.307408403761201e-09
1854,1.7350760259660092e-06,1.7049551770398352e-09
1855,2.177016169113699e-06,0.0
1856,1.6917011045336494e-06,0.0
1857,1.8156872911845312e-06,0.0
1858,1.751970788888002e-06,0.0
1859,1.8774108951902235e-06,2.2297041990526623e-09
1860,1.7191607142308385e-06,1.5053946977872101e-09
1861,1.6369384940873033e-06,5.163843797006962e-10
1862,1.7670423098081756e-06,4.951085097459895e-10
1863,1.8860189481273437e-06,0.0
1864,1.660954403348569e-06,4.199631753465383e-09
1865,1.8579739631263692e-06,3.0957632013439706e-09
1866,1.7016369238120888e-06,4.805375652949806e-09
1867,1.6406509040223227e-06,0.0
1868,1.6354162291065677e-06,2.163964563095533e-09
1869,1.883631069787839e-06,0.0
1870,1.690832904799322e-06,0.0
1871,1.386959706195512e-06,0.0
1872,1.4215615404822302e-06,0.0
1873,1.8073969343390672e-06,6.560424425927636e-10
1874,1.6787775347637535e-06,0.0
1875,1.6069496489024004e-06,0.0
1876,1.6070812058899264e-06,0.0
1877,1.5167243745395353e-06,0.0
1878,1.400488642389064e-06,0.0
1879,1.752714052116744e-06,2.688211653278927e-09
1880,1.6098586996804443e-06,1.4133966219631589e-09
1881,1.7213039633645622e-06,0.0
1882,1.8157876304769616e-06,0.0
1883,1.5145408553962625e-06,0.0
1884,1.6193798728636466e-06,1.454968479031038e-09
1885,1.7350391381398822e-06,3.5510419049700204e-09
1886,1.5424762693783123e-06,0.0
1887,1.5507249671031786e-06,5.0418367258942e-09
1888,1.6836547480636455e-06,0.0
1889,1.5522069105600167e-06,0.0
1890,1.5636271726293671e-06,0.0
1891,1.5354447331361598e-06,2.8108828598050195e-09
1892,1.4975713575893224e-06,0.0
1893,1.7464653225829352e-06,0.0
1894,1.6081808702494982e-06,0.0
1895,1.6850646513688616e-06,0.0
1896,1.6351946268144957e-06,0.0
1897,1.638804505432745e-06,1.9325523403779243e-09
1898,1.5569026210471293e-06,0.0
1899,1.5373034010224274e-06,6.10041017701235e-10
1900,1.597477199410946e-06,0.0
1901,1.4764627067620495e-06,3.700407535944805e-09
1902,1.3198858717089479e-06,0.0
1903,1.360298382380165e-06,0.0
1904,1.3734114592267588e-06,0.0
1905,1.3048181415342697e-06,3.988527286225008e-09
1906,1.2622661635930399e-06,5.675657166470671e-10
1907,1.3618120000558065e-06,5.683689630053834e-10
1908,1.4142621438395508e-06,0.0
1909,1.5165163524955005e-06,6.066065427745571e-10
1910,1.481077852361068e-06,1.7695075404944305e-09
1911,1.4855680241510072e-06,0.0
1912,1.563380264357761e-06,1.149544348599818e-09
1913,1.5733608531576238e-06,0.0
1914,1.4824893561637964e-06,1.4773187118066744e-09
1915,1.388427602222464e-06,0.0
1916,1.3532471161425974e-06,0.0
1917,1.1723314479183955e-06,0.0
1918,1.1664593415616764e-06,0.0
1919,1.3134889975674469e-06,0.0
1920,1.1714100232040892e-06,8.343376545205672e-10
1921,1.2334872874220082e-06,0.0
1922,1.2753326963377276e-06,8.143886676137413e-10
