year,mais_CONJ eux_PRON,mais_CONJ deux_DET
1800,3.20704771183955e-07,1.2733866583403142e-06
1801,2.3573706897650482e-07,9.310423934039136e-07
1802,2.103569727296417e-07,9.108009351166402e-07
1803,1.9893460034836608e-07,1.1955579566347296e-06
1804,2.8920655381625693e-07,1.087614407424553e-06
1805,2.8144489050418997e-07,9.893214496514702e-07
1806,1.5849180456939393e-07,1.1296143043182383e-06
1807,3.7579806644316704e-07,8.483926023927779e-07
1808,1.5862517699360978e-07,1.3551122606259014e-06
1809,2.123488727079348e-07,1.463851731386967e-06
1810,1.4274773008082775e-07,9.079691665192513e-07
1811,1.4541045345595194e-07,1.1281845786470512e-06
1812,2.080422447647834e-07,1.298930357052086e-06
1813,1.2078115219082974e-07,9.863794048214913e-07
1814,6.922689799182535e-08,1.044696830376779e-06
1815,8.091670622434322e-08,1.1544116773620772e-06
1816,3.870398472827219e-07,1.080003414699604e-06
1817,2.179622740072773e-07,1.2548399439538116e-06
1818,2.968373138401148e-07,1.3351718450849148e-06
1819,3.0121555738560346e-07,1.5288500776478031e-06
1820,2.610625848831205e-07,1.0596768049708771e-06
1821,3.984041256899218e-07,1.2307137637890264e-06
1822,4.130553747927479e-07,1.2100918240776082e-06
1823,5.386064430012993e-07,1.1918520499420993e-06
1824,6.06320114115988e-07,1.2555879322917463e-06
1825,5.802787086395256e-07,1.0945165911380172e-06
1826,3.5320017843787355e-07,1.351144788941383e-06
1827,1.8987582350860066e-07,1.1613764172579977e-06
1828,2.38479827885385e-07,1.2199160437376122e-06
1829,2.812001795859942e-07,1.2302507457206957e-06
1830,3.7363873417461946e-07,1.3286091586905968e-06
1831,3.7262982743868633e-07,1.2815971643931334e-06
1832,3.030713173757249e-07,1.1514003688262164e-06
1833,3.2318322951141454e-07,1.270724055757455e-06
1834,3.183075065749108e-07,1.2209566477849876e-06
1835,3.9933104289957555e-07,1.2509347300238005e-06
1836,5.64543000791673e-07,1.2157836692949786e-06
1837,5.594144170117943e-07,1.3018213849136373e-06
1838,5.226469994568106e-07,1.4076121033212985e-06
1839,3.8523029388670693e-07,1.3234862308308948e-06
1840,4.5352184940838924e-07,1.3395455198406125e-06
1841,3.826646945981338e-07,1.1621193038990896e-06
1842,3.3541326160957396e-07,1.2980492840597435e-06
1843,3.727260917685271e-07,1.1666149362099532e-06
1844,4.0121383904079266e-07,1.5000238136053667e-06
1845,2.734311692620395e-07,1.2471809611724893e-06
1846,3.6122273172622954e-07,1.2142235732426343e-06
1847,3.5541343379463797e-07,1.1428240895838826e-06
1848,2.8077823799321777e-07,1.1593164401801914e-06
1849,1.8602301565806556e-07,1.1337348269080394e-06
1850,3.489543942691853e-07,1.1683862339850748e-06
1851,3.6439328710002883e-07,1.2724742646241793e-06
1852,2.793023980984799e-07,1.068380527158297e-06
1853,3.0994327460120985e-07,1.2385786760660267e-06
1854,4.057813924873699e-07,1.160711462944164e-06
1855,3.3380634079094307e-07,1.2004291534140066e-06
1856,3.3962361101202987e-07,1.272035376587155e-06
1857,3.773406547225022e-07,1.277490923712321e-06
1858,3.322805923744454e-07,1.1891632709648547e-06
1859,3.075672623253922e-07,1.2587852324941196e-06
1860,3.3093039064624463e-07,1.3196021200201358e-06
1861,3.4945291105259457e-07,1.2256790000719775e-06
1862,2.462302575167996e-07,1.287174285380388e-06
1863,3.8958042125614156e-07,1.1317810617583746e-06
1864,4.334434038355539e-07,1.1104590100785572e-06
1865,3.8454919604191673e-07,1.217660610564053e-06
1866,5.074834348306467e-07,1.2378119151890132e-06
1867,3.5231410322467127e-07,1.2068942112364311e-06
1868,2.988623748478858e-07,1.0838083710495994e-06
1869,3.2328897248135036e-07,1.1998806428437092e-06
1870,4.191589653146366e-07,1.2689449704339495e-06
1871,3.6536849279400485e-07,1.2607337964709586e-06
1872,3.7130664054529916e-07,1.2989684989861416e-06
1873,3.0827922614662384e-07,1.2223421208545915e-06
1874,2.5750566123861063e-07,1.2008964347387519e-06
1875,4.0966135372855206e-07,1.3016474156302138e-06
1876,3.041145362203679e-07,1.2545480387871066e-06
1877,2.7398733948302834e-07,1.2134609050917788e-06
1878,2.995387973214747e-07,1.2186880837816716e-06
1879,3.8244375843987655e-07,1.2994534586141526e-06
1880,2.4066923742793733e-07,1.18922687875056e-06
1881,2.86570063678937e-07,1.132335256670558e-06
1882,3.1413418355441536e-07,1.1786687252879346e-06
1883,2.2370459618059613e-07,1.1381129354504083e-06
1884,2.7463059382171195e-07,1.1137062756461091e-06
1885,3.132578925146845e-07,1.3020184042034089e-06
1886,3.4009754301678186e-07,1.2022802877709182e-06
1887,2.8661978035415814e-07,1.0785783501887636e-06
1888,2.618673775600655e-07,1.2193002021376742e-06
1889,2.737864761570563e-07,1.2204486381506285e-06
1890,2.8052773615172555e-07,1.08933903675279e-06
