year,différents_DET essais_NOUN
1800,0.0
1801,1.904946067554647e-08
1802,0.0
1803,1.950339223455444e-09
1804,0.0
1805,0.0
1806,0.0
1807,1.7081731584767113e-08
1808,0.0
1809,2.259030518203531e-09
1810,1.6380887757350138e-08
1811,2.0056614147279106e-08
1812,0.0
1813,2.8757416448144113e-09
1814,3.1466772298927026e-08
1815,1.0788894222457657e-08
1816,0.0
1817,1.556873407970727e-09
1818,1.1921177378582115e-09
1819,2.070210003424222e-09
1820,7.119888678630559e-09
1821,5.9168927535324656e-09
1822,6.015369535816717e-09
1823,1.4824030003524058e-08
1824,5.894778887238772e-09
1825,7.044354211060977e-09
1826,8.807984341885344e-10
1827,1.7512819638909605e-08
1828,2.7516904310687096e-09
1829,8.57317605795771e-10
1830,1.0436835840010872e-09
1831,1.5591206103948707e-09
1832,1.7588959622116818e-08
1833,0.0
1834,9.334531370086552e-09
1835,3.781543966852041e-09
1836,2.688300071440608e-08
1837,1.6003149028165353e-08
1838,1.7674054220151447e-08
1839,2.23727205650448e-08
1840,3.4396318682183846e-08
1841,3.0818632978935057e-08
1842,2.1466447286400125e-08
1843,4.666459574309556e-08
1844,3.2931367854871496e-08
1845,3.348136701220028e-08
1846,3.395610792544801e-08
1847,3.721324226546585e-08
1848,4.263967617879061e-08
1849,2.4300303991253713e-08
1850,3.2587180953669304e-08
1851,2.773258711563642e-08
1852,2.148479971708639e-08
1853,4.001194398028929e-08
1854,3.429138539789989e-08
1855,4.776243400783642e-08
1856,4.193523395201737e-08
1857,2.001418764052687e-08
1858,4.306435030798639e-08
1859,3.564521477983362e-08
1860,2.746310379109218e-08
1861,2.0750240636857598e-08
1862,2.7559716342384633e-08
1863,1.6482248454963155e-08
1864,1.821996598039277e-08
1865,1.5061901947888146e-08
1866,1.702964524952222e-08
1867,3.6396087921275466e-08
1868,1.8277534152844055e-08
1869,1.953407746668745e-08
1870,2.2362790730312554e-08
1871,6.37270636261178e-09
1872,2.4794090336399677e-08
1873,2.9331422624068182e-08
1874,3.0470506118263074e-08
1875,3.4901315615343265e-08
1876,4.897271921322499e-08
1877,1.4843558382438005e-08
1878,2.8987624745013818e-08
1879,9.163987790827832e-09
1880,2.888030792291829e-08
1881,1.4642265677711208e-08
1882,1.9300617326578617e-08
1883,1.516641390253426e-08
1884,2.706695667598069e-08
1885,4.447488777259423e-08
1886,3.420335914494643e-08
1887,4.8314040990149465e-08
1888,1.3315290869897467e-08
1889,1.4409814674820609e-08
1890,3.0150179242127706e-08
1891,5.5455714687013824e-08
1892,2.5700900740943666e-08
1893,3.4487133149241345e-08
1894,2.3945849747519787e-08
1895,3.189865793729041e-08
1896,4.6586529189873715e-08
1897,5.0692406716734695e-08
1898,2.0370077291609334e-08
1899,4.0351324059884064e-08
1900,2.2321528292401638e-08
1901,4.247441509619421e-08
1902,3.4371987589487674e-08
1903,3.67214987306852e-08
1904,4.03096898082822e-08
1905,4.283430110607611e-08
1906,2.211999339252202e-08
1907,2.4685647914690634e-08
1908,3.5362001771233054e-08
1909,2.6954818543867276e-08
1910,4.6494109562367214e-08
1911,2.9794095079971328e-08
1912,2.1879568379290504e-08
1913,4.2954218182345016e-08
1914,3.281404303834279e-08
1915,1.64930663570928e-08
1916,2.197492321442951e-08
1917,5.483212106582869e-08
1918,2.5270028736201766e-08
1919,4.143531701084058e-08
1920,2.7260034674014832e-08
1921,3.710646367949266e-08
1922,2.8773948279603445e-08
1923,4.24637929263838e-08
1924,4.898817351772777e-08
1925,4.2892892793133797e-08
1926,3.3438414370756675e-08
1927,2.3413372796099452e-08
1928,2.6279895593006586e-08
1929,4.678970499938373e-08
1930,3.151081229280095e-08
1931,3.649714042097685e-08
1932,5.260577418120249e-08
1933,5.620624476954106e-08
1934,6.230421512043449e-08
1935,4.188899538348778e-08
1936,2.5461901032031165e-08
1937,3.903246792447135e-08
1938,4.537825049055755e-08
1939,3.364691281149135e-08
1940,4.057252622757801e-08
1941,4.7224041566096275e-08
1942,6.675265984412704e-08
1943,5.8064703267746154e-08
1944,1.927911696952833e-08
1945,3.485606470121638e-08
1946,2.9234318965620787e-08
1947,2.3841742802233057e-08
1948,2.1743776335014786e-08
1949,3.6322931218357724e-08
1950,4.679559140186029e-08
1951,4.477788650980585e-08
1952,4.323369573455693e-08
1953,4.417269394707546e-08
1954,5.37489475149755e-08
1955,4.8805160357545674e-08
1956,3.226822542501395e-08
1957,4.50586910005768e-08
1958,4.384289198355873e-08
1959,4.727956337546857e-08
1960,3.668041514970355e-08
1961,4.93319290972849e-08
1962,4.122271662909682e-08
1963,4.396916208904145e-08
1964,4.015419086123018e-08
1965,4.651236784614099e-08
1966,4.1543060880222527e-08
1967,2.8102913107730387e-08
1968,3.3685618072709644e-08
1969,3.0429776864959734e-08
1970,2.7132477958824452e-08
1971,2.620582717494102e-08
1972,2.8215808356435446e-08
1973,1.7642251326499547e-08
1974,3.0940645712185244e-08
1975,1.8847884586392638e-08
1976,2.171140245366132e-08
1977,2.9971588322297293e-08
1978,2.1980188558146097e-08
1979,2.3407893623428322e-08
1980,1.8192481354706302e-08
1981,1.3916208629893845e-08
1982,1.924325632174373e-08
1983,2.8418922992656803e-08
1984,1.4497521683143333e-08
1985,1.804667348892508e-08
1986,1.1988970760601347e-08
1987,1.649920555735207e-08
1988,1.8589316697070757e-08
1989,1.7013179531844003e-08
1990,2.0704874259536155e-08
1991,1.2309076702354815e-08
1992,1.9835799447420754e-08
1993,8.862731881720265e-09
1994,1.687976503017552e-08
1995,1.1387146670038817e-08
1996,1.2811420813108043e-08
1997,9.58978851883785e-09
1998,9.536258005482523e-09
1999,1.3710603319339043e-08
2000,1.0603275812925972e-08
2001,1.270551397425379e-08
2002,1.1391176002462089e-08
2003,9.167230363704704e-09
2004,1.0131019939629837e-08
2005,1.1259373988714572e-08
2006,1.0294724350767837e-08
2007,1.1983438241713884e-08
2008,1.7455501932772677e-08
2009,1.2397300963584712e-08
2010,1.1337103256181535e-08
2011,1.0707121411712706e-08
2012,9.19148224198807e-09
2013,4.741512515948898e-09
2014,7.579058228235347e-09
2015,5.319780976842381e-09
2016,8.078226088059637e-09
2017,9.30776167251679e-09
2018,5.421080029321956e-09
2019,8.418259866971312e-09
