year,grandes_ADJ âmes_NOUN,grandes_ADJ ames_NOUN,grandes_ADJ dames_NOUN
1800,2.138031902632065e-07,5.376521183819705e-07,3.4900224665790347e-07
1801,9.762848662830947e-08,7.691219938710248e-07,1.5953922982703261e-07
1802,1.096541666356643e-07,6.959683105378645e-07,2.2378401354217203e-07
1803,2.0673596168307995e-07,4.583297297244826e-07,1.2482171207750525e-07
1804,1.6314216111368296e-07,7.514427124988288e-07,4.4493318362981427e-07
1805,1.7910129201936797e-07,5.117180099656338e-07,2.103729457303416e-07
1806,2.737585589329683e-07,4.5242205715112505e-07,4.178420169864694e-07
1807,9.394951661079176e-08,8.313108992297202e-07,2.1921555060089304e-07
1808,1.4276265858370607e-07,3.580396819025111e-07,2.1754310353117035e-07
1809,1.423189246452239e-07,3.998484032763372e-07,2.981920204092603e-07
1810,1.708292529656319e-07,7.93302945112373e-07,2.9719611127632106e-07
1811,1.5293167621166504e-07,2.3315813280078146e-07,3.710473492901656e-07
1812,3.440698606027581e-07,2.667208320872305e-07,3.600731046660144e-07
1813,2.3005932803243923e-07,4.83124608763319e-07,3.911008761292578e-07
1814,3.996279929197044e-07,1.8880062846449164e-07,4.405348086322647e-07
1815,3.8300575511129864e-07,3.020890346761007e-07,2.8590569467468185e-07
1816,3.175117342379963e-07,3.5691098787538067e-07,2.2017236567251075e-07
1817,3.7053587220725603e-07,4.84187626548227e-07,3.2538654370917186e-07
1818,3.0875850143274874e-07,3.5644319495986565e-07,3.075663812523999e-07
1819,5.361844159779139e-07,3.798835326307426e-07,3.146719120827868e-07
1820,4.853390578318795e-07,3.1208845907571003e-07,4.0464700923337205e-07
1821,5.640771405523992e-07,3.0077538404338355e-07,2.54426405277286e-07
1822,5.233371211943449e-07,3.3686070821659087e-07,6.376291565857173e-07
1823,3.024102284143737e-07,4.921578238281654e-07,3.814717173256099e-07
1824,4.463189782200061e-07,2.576860582692575e-07,3.705289506328313e-07
1825,4.7197175945257186e-07,3.32845758066469e-07,5.882036133719737e-07
1826,4.351144298198051e-07,3.0739866474505106e-07,5.337638473434936e-07
1827,3.4564774864520587e-07,2.8573547855570425e-07,4.0463828554493375e-07
1828,3.2378224545936973e-07,2.7241733846494753e-07,3.1002377909317147e-07
1829,1.9118182592592348e-07,3.42927052088271e-07,7.304345892578112e-07
1830,2.765761450973514e-07,2.9849350946520303e-07,6.783943362620448e-07
1831,2.1204040479005926e-07,2.3698632900526206e-07,5.690790021439796e-07
1832,1.9077256752098037e-07,2.81423363834854e-07,6.58909480866221e-07
1833,2.9769924481115595e-07,3.2781667869130615e-07,6.741671922938508e-07
1834,2.931042786258331e-07,3.4257729453202046e-07,6.758200106204981e-07
1835,2.1706063080273452e-07,2.7075854802660615e-07,6.103412175662015e-07
1836,3.5754391092268634e-07,2.728624661219037e-07,6.700587862340512e-07
1837,3.0405982442971435e-07,1.6838096428273275e-07,6.477796432591276e-07
1838,3.175017297962768e-07,1.3823634348320013e-07,8.868587428878527e-07
1839,2.516931090212893e-07,1.782826188900799e-07,6.551012008415569e-07
1840,3.872770832913375e-07,6.11490094115652e-08,7.579929413026321e-07
1841,4.3274496874801116e-07,4.301767386749589e-08,8.725525724173622e-07
1842,4.5012458826931834e-07,1.073322439815172e-07,8.029793097108495e-07
1843,5.605658657259482e-07,7.265500490127863e-08,8.494138026282627e-07
1844,5.197667292122787e-07,1.0757580115594578e-07,9.52265395426366e-07
1845,5.429561724668019e-07,4.240973244806767e-08,7.622591584599547e-07
1846,5.503231363945815e-07,6.147226283559348e-08,8.465608911656375e-07
1847,5.252999812910275e-07,5.662884916546318e-08,6.277712145674741e-07
1848,4.054791702401417e-07,5.068489528081699e-08,9.139371650590533e-07
1849,4.365675181361439e-07,3.9383249550439814e-08,6.904638023552678e-07
1850,3.4895438716375793e-07,4.6844073509078044e-08,6.639638359118294e-07
1851,4.869326062362234e-07,3.22471953584369e-08,6.468787303592904e-07
1852,6.237102638806391e-07,4.166749167922035e-08,7.174621083905208e-07
1853,5.894296464248328e-07,2.269334054005867e-08,9.692445095410562e-07
1854,6.93101640081295e-07,6.858277235011201e-08,9.819806336963666e-07
1855,7.376642656709009e-07,4.139410947345823e-08,1.0449359351127896e-06
1856,7.610468060192943e-07,3.882891785877973e-08,1.0333669487883057e-06
1857,6.838994295321754e-07,2.5383846580240288e-08,1.1134722470718117e-06
1858,5.466235961648636e-07,3.8660039392013346e-08,1.3961657276961859e-06
1859,8.025265287869843e-07,5.397703906062645e-08,1.2455456168680712e-06
1860,7.030554343145923e-07,1.2816114836056158e-08,1.0280355509095784e-06
1861,6.75326020882494e-07,2.6880994319355977e-08,9.210277363003172e-07
1862,6.167051083139086e-07,3.6143891879447665e-08,1.0739253193392528e-06
1863,6.403104180208175e-07,1.8480096231066057e-08,1.089326819858627e-06
1864,6.909202738825115e-07,3.0206786405528874e-08,1.180941505474209e-06
1865,7.403866106869827e-07,2.588764491662232e-08,1.1009308638065818e-06
1866,6.456668302234903e-07,1.800276749897023e-08,1.2971724512311766e-06
1867,6.37659411495406e-07,1.358787216076962e-08,1.3946980423895639e-06
1868,5.90314925830171e-07,1.8771521892446685e-08,1.3090665991200012e-06
1869,6.539032142427459e-07,1.8069020946143155e-08,1.2667848814373883e-06
1870,6.026485266374948e-07,2.121598097204469e-08,9.581595086238792e-07
1871,3.536852091201581e-07,1.5931766128574054e-08,7.764080531824646e-07
1872,5.230948545431602e-07,2.7213026165817666e-08,9.712027003727641e-07
1873,5.477194235936622e-07,1.4366410616695191e-08,9.314223212708583e-07
1874,5.078417757431453e-07,1.1949217948448165e-08,1.1483198250061832e-06
1875,5.292412765811605e-07,2.116965036602636e-08,1.1980878396045114e-06
1876,4.528465069597587e-07,1.6928841217733748e-08,1.403884678730094e-06
1877,4.1685660789880785e-07,1.1132668564783899e-08,1.0186391428135266e-06
1878,4.100541275420255e-07,1.8117266353812056e-08,1.124478361091974e-06
1879,5.315113185133669e-07,1.5884245807562536e-08,1.211479201401744e-06
1880,4.3448818587421556e-07,1.5402830788602273e-08,1.187943297509264e-06
1881,4.2323119942011544e-07,9.064260064750584e-09,1.0953809606029097e-06
1882,4.485729618863843e-07,2.4624924988003727e-08,1.1240945714252604e-06
1883,3.690493883823365e-07,1.0742875922176154e-08,1.159598654432159e-06
1884,4.291103152809228e-07,9.242375753615306e-09,1.1850045762429318e-06
1885,3.3968498769354483e-07,1.0957580842685388e-08,1.158925261979249e-06
1886,3.852717895824753e-07,2.000573828819796e-08,1.227448862550773e-06
1887,4.17851168776906e-07,2.089255946025048e-08,1.2770576995890792e-06
1888,3.7853470757909236e-07,8.87686080197625e-09,1.1812565423596766e-06
1889,4.31667928069146e-07,6.891650361495749e-09,1.0757239268244234e-06
1890,3.5918037610827014e-07,4.5880705901168994e-09,1.1968310094090384e-06
1891,4.1623655988587416e-07,4.46195413950079e-09,1.0874419071882357e-06
1892,3.6294687788540614e-07,1.002961980134387e-08,1.0913480057439529e-06
1893,2.919089467923186e-07,1.1700991509044911e-08,9.028238424080293e-07
1894,3.112960484941141e-07,2.646646524162577e-08,9.6980684816117e-07
1895,3.147735299080523e-07,2.2870735527646957e-08,9.142275181339699e-07
1896,3.314130196940823e-07,1.061465249030391e-08,9.511907483883419e-07
1897,2.983277340717905e-07,7.574727511894253e-09,8.559442314926002e-07
1898,3.4233048040732683e-07,1.923840708961677e-08,9.053367828748549e-07
