year,ses_DET hivers_NOUN,ses_DET divers_ADJ
1800,3.772997558826319e-08,2.3015284966731997e-06
1801,1.4287095950749062e-08,1.7073079021656667e-06
1802,2.2378401354217203e-09,1.7343261049518333e-06
1803,0.0,1.8547726412521115e-06
1804,4.69651695311768e-08,1.8563600150400816e-06
1805,3.695740957709859e-08,1.9331568950065048e-06
1806,1.729001475325731e-08,1.5071129357835389e-06
1807,8.540865792383556e-09,1.5572843992117669e-06
1808,1.1330369531492579e-08,1.4049658219050798e-06
1809,7.454800510231507e-08,1.2853883646357644e-06
1810,4.680253518074551e-09,1.3268518230802329e-06
1811,5.0141535368197765e-09,1.0655076323473622e-06
1812,2.1337665856435706e-08,2.1817764306319987e-06
1813,4.3136125782439194e-08,1.5816579121974428e-06
1814,1.2586708564299443e-08,1.611098724652038e-06
1815,3.776112933451259e-08,1.55360077513933e-06
1816,2.3176038865813098e-08,1.7544260941804168e-06
1817,5.4490570278176165e-08,1.6035795766811134e-06
1818,4.053200175491156e-08,1.4841866331494202e-06
1819,7.24573512300708e-09,1.6696244173886043e-06
1820,4.2719331183604936e-08,1.585361886213832e-06
1821,2.2681422962023134e-08,1.3411623847048304e-06
1822,1.5038423839541792e-08,1.6371831321748687e-06
1823,1.581229902569703e-08,1.4329896202980308e-06
1824,1.8526447931321854e-08,1.7347492118346963e-06
1825,2.289415235168235e-08,1.631648640199046e-06
1826,5.0205510859768765e-08,1.6409275005457857e-06
1827,2.1199728195142598e-08,1.5282239189673419e-06
1828,2.5682442839070063e-08,1.5134297264296492e-06
1829,2.4862210068476998e-08,1.7120632307410233e-06
1830,2.400472176589119e-08,1.7408642527527718e-06
1831,9.042899762334855e-08,1.9255139278584466e-06
1832,3.788391378378719e-08,1.574888420563525e-06
1833,4.51761508202253e-08,1.7607115871953738e-06
1834,2.240287422239362e-08,1.7222209933720478e-06
1835,1.739510224751939e-08,1.6593414642329662e-06
1836,1.8146025126952736e-08,1.5410679452543263e-06
1837,2.365682938432201e-08,1.6497159123218808e-06
1838,1.9567702347345062e-08,1.770561411262861e-06
1839,1.3283802502428443e-08,1.824775075931484e-06
1840,2.4204817705708592e-08,1.7382880486138674e-06
1841,3.659712799475301e-08,2.014126017968465e-06
1842,2.884553929050071e-08,1.677066261862592e-06
