year,mes_DET oies_NOUN,mes_DET doigts_NOUN
1800,3.144164484325529e-09,5.345079743257486e-07
1801,2.3811825844433088e-09,3.9051394828959474e-07
1802,4.475680270843441e-09,5.035140020481776e-07
1803,0.0,5.090385526429486e-07
1804,1.730295728918918e-08,6.748153271729507e-07
1805,8.528633133053631e-09,4.207458876859249e-07
1806,0.0,5.446354736093895e-07
1807,5.693910232196231e-09,3.4732852149943483e-07
1808,2.2660739951163578e-09,5.211970455221149e-07
1809,2.259030518203531e-09,3.6596294528123963e-07
1810,1.8721014072298203e-08,6.856571324043159e-07
1811,0.0,3.133845893898979e-07
1812,2.6672082320544632e-09,4.6942864440069343e-07
1813,0.0,5.521424193410951e-07
1814,0.0,2.5173417483870253e-07
1815,0.0,3.668224120012553e-07
1816,0.0,4.032630904760026e-07
1817,0.0,4.3903829993752197e-07
1818,4.768470951432846e-09,3.5882744686688284e-07
1819,0.0,3.581463419166653e-07
1820,1.1866481131050932e-09,2.7292907134324196e-07
1821,2.9584463767662328e-09,5.926754464979922e-07
1822,1.4035862250239006e-08,3.719503638421884e-07
1823,0.0,4.3088516221700957e-07
1824,0.0,4.4126630527330235e-07
1825,0.0,4.4907760043955136e-07
1826,2.642395191543301e-09,4.271872313665881e-07
1827,9.217273055917019e-10,4.009513787650576e-07
1828,5.503380862137419e-09,4.4118770370360494e-07
1829,1.714635211591542e-09,3.80649021636259e-07
1830,1.3567886369969528e-08,5.072302045050492e-07
1831,1.5591206103948707e-09,6.298847301522414e-07
1832,2.705993873419743e-09,7.90150238572096e-07
1833,0.0,6.834340915418124e-07
1834,2.8003592777992026e-09,5.899423385358205e-07
1835,1.5882484660778573e-08,5.331976922207105e-07
1836,2.016224964762614e-09,5.463969632302224e-07
1837,3.478945576063097e-09,4.919228713262669e-07
1838,1.8936485712828244e-09,4.033471547870704e-07
1839,4.194885327990505e-09,4.698271265368703e-07
1840,3.821813088222825e-09,4.369606543264126e-07
1841,5.778493683550323e-09,5.521671582187082e-07
1842,6.708265054555795e-10,4.01154261808756e-07
1843,2.953455480181333e-09,4.4183693681532077e-07
1844,4.9397050894128824e-09,2.886983185845793e-07
1845,1.1160455670733427e-08,3.90057926402676e-07
1846,1.1709002656346001e-09,4.2737859295982616e-07
1847,6.47186837454683e-09,2.755937309473211e-07
1848,0.0,2.9043250471261217e-07
1849,9.217356655710773e-09,5.597448904381963e-07
1850,6.788996032014438e-10,4.338168606565773e-07
1851,1.2253933867611977e-08,3.3408093891296176e-07
1852,5.859490670445666e-09,3.9844537713662476e-07
1853,5.971931837933653e-10,3.7742609659829895e-07
1854,9.352196350675968e-09,3.6473564435368644e-07
1855,1.0613874223963649e-09,5.158342766264923e-07
1856,1.5531567143511893e-09,4.188345990030484e-07
1857,1.4644527812635033e-09,4.852219941398062e-07
1858,9.787352039936081e-10,5.231339397226975e-07
1859,2.036869339860914e-09,5.4486256217956e-07
1860,1.8308735638683515e-09,6.29362805426581e-07
1861,3.3011746669586728e-09,5.409210324103242e-07
1862,9.035972858839614e-09,5.548087305129457e-07
1863,3.496234635136375e-09,5.688873159215291e-07
1864,1.3904711160250827e-08,5.11117978163611e-07
1865,7.530950973944073e-09,4.848049597327986e-07
1866,1.0704348518686402e-08,6.106344185852208e-07
1867,0.0,4.498556140930532e-07
1868,7.903798504571569e-09,4.011177869855942e-07
1869,9.767038289254515e-10,5.518376724467089e-07
1870,4.013834153937523e-09,4.237462150058491e-07
1871,9.55905954391767e-09,3.324428519135836e-07
1872,6.047339518033823e-09,4.837871401264238e-07
1873,3.591602570907071e-09,4.90253761142867e-07
1874,4.779687312606029e-09,4.1463787159301546e-07
1875,5.721527251978387e-09,5.155095790243536e-07
1876,1.874264654588842e-08,5.04842219584134e-07
1877,1.9172929910382663e-08,4.1314570076167456e-07
1878,3.0195443923020093e-09,4.6138638154502587e-07
1879,3.0546627449723474e-09,5.223472907545101e-07
1880,1.9253538763308597e-09,4.6144313792240155e-07
1881,4.183504653809678e-09,3.388638543100342e-07
1882,3.9932310791357395e-09,4.6254926111544137e-07
