year,voulons_VERB étendre_VERB,voulons_VERB détendre_VERB
1800,5.345079756580162e-08,0.0
1801,7.143547975374531e-09,0.0
1802,2.2378401354217203e-09,0.0
1803,1.950339267864365e-08,0.0
1804,2.4718509461507665e-09,0.0
1805,1.1371510844071508e-08,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,1.8128591960930862e-08,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,3.200649700829672e-08,0.0
1813,2.8757416448144113e-09,0.0
1814,7.866692897096073e-08,0.0
1815,2.697223555614414e-09,0.0
1816,3.476405652236281e-08,0.0
1817,1.2454987263765815e-08,0.0
1818,1.1921177378582115e-09,0.0
1819,1.6561680027393777e-08,0.0
1820,0.0,0.0
1821,8.875339574387908e-09,0.0
1822,2.0051231786055723e-09,0.0
1823,8.894418535021487e-09,0.0
1824,1.1789557774477544e-08,0.0
1825,0.0,0.0
1826,7.0463874735082754e-09,0.0
1827,9.217273166939322e-09,0.0
1828,8.255071293206129e-09,0.0
1829,0.0,0.0
1830,1.5655253093882493e-08,0.0
1831,1.4032085715598441e-08,0.0
1832,2.705993873419743e-09,0.0
1833,2.89590715851773e-08,0.0
1834,1.4001796166951408e-08,0.0
1835,1.4369867074037757e-08,0.0
1836,1.0753200108126748e-08,0.0
1837,2.7831563720326358e-09,0.0
1838,8.837027110075724e-09,0.0
1839,8.38977065598101e-09,0.0
1840,0.0,0.0
1841,5.778493683550323e-09,0.0
1842,3.3541325272778977e-09,0.0
1843,5.906910960362666e-09,0.0
1844,1.2074834465636286e-08,0.0
1845,5.022205318283568e-09,0.0
1846,4.0981511517657054e-09,0.0
1847,1.294373674909366e-08,0.0
1848,2.333114323960217e-08,0.0
1849,5.02764896381791e-09,0.0
1850,2.851378333446064e-08,0.0
1851,8.384270167027807e-09,0.0
1852,9.765818376195057e-09,0.0
1853,1.3735443005202796e-08,0.0
1854,6.234797567117312e-09,0.0
1855,6.368324534378189e-09,0.0
1856,6.73034605824796e-09,0.0
1857,4.881508974818871e-09,0.0
1858,1.468102750479261e-09,0.0
1859,5.092173349652285e-09,0.0
1860,4.57718396518203e-09,0.0
1861,9.903524222920623e-09,0.0
1862,2.710791813242963e-09,0.0
1863,8.490855130105501e-09,0.0
1864,7.671564716815737e-09,4.794727948009836e-10
1865,1.2237795665726026e-08,0.0
1866,9.731225603104576e-09,0.0
1867,2.426405742994575e-09,0.0
1868,2.4699371437009177e-09,0.0
1869,1.4650557211837167e-08,0.0
1870,8.601073631098188e-09,0.0
1871,1.6993883633631413e-08,0.0
1872,4.8378714367913744e-09,6.047339295989218e-10
1873,6.584604861359367e-09,0.0
1874,7.169530746864439e-09,0.0
1875,5.721527251978387e-09,0.0
1876,6.04601479992084e-10,6.04601479992084e-10
1877,6.184816214727107e-09,0.0
1878,0.0,0.0
1879,1.0385853066452455e-08,0.0
1880,1.2835692508872398e-08,0.0
1881,4.8807553554297556e-09,0.0
1882,9.983077475794744e-09,0.0
1883,3.791603475633565e-09,0.0
1884,6.601696966868076e-09,0.0
1885,7.7347630522695e-09,0.0
1886,6.4534639854230136e-09,0.0
1887,1.828098916689669e-08,0.0
1888,8.242799331981132e-09,0.0
1889,1.1277245803853475e-08,6.265136742733546e-10
1890,1.1797895993481688e-08,3.9326319978272295e-09
1891,2.2309770031370135e-08,0.0
1892,1.4417578242387208e-08,2.5074049503359674e-09
1893,5.542574843531156e-09,1.2316833108982905e-09
1894,2.520615716150587e-09,0.0
1895,7.824199066419624e-09,1.2037228991346183e-09
1896,1.0024948871034667e-08,0.0
1897,3.4960281336537946e-09,5.826713556089658e-10
1898,7.921697076085366e-09,0.0
1899,2.7637891975018647e-09,0.0
1900,5.19105292084987e-09,0.0
1901,1.0059729937950124e-08,5.588738916095792e-10
1902,1.0311596021495006e-08,4.910283846193408e-10
1903,7.020286574288548e-09,0.0
1904,9.674325340824907e-09,0.0
1905,5.676835002077496e-09,1.0321518084666081e-09
1906,2.0576738091193647e-09,5.144184522798412e-10
1907,1.542852956504248e-08,1.028568674676933e-09
1908,8.349361202419914e-09,4.911389073214423e-10
1909,1.320236009405562e-08,0.0
1910,8.01622590529405e-09,0.0
1911,6.916486494645824e-09,5.320374141248863e-10
1912,3.646594803896619e-09,0.0
1913,4.242391771214216e-09,1.590896969716482e-09
1914,8.705766774141921e-09,6.696743715117748e-10
1915,1.1780761921542648e-09,1.1780761921542648e-09
1916,5.493730803607377e-09,0.0
1917,1.973956464951243e-08,0.0
1918,0.0,2.2972752589112133e-09
1919,6.4454939163738345e-09,9.207848372660976e-10
1920,1.2872794385998532e-08,3.028892692213958e-09
1921,4.543648568500203e-09,0.0
1922,1.1066902949607993e-08,0.0
1923,3.1847844361720945e-09,0.0
1924,2.578324886925998e-09,0.0
1925,4.399271169575059e-09,0.0
1926,0.0,0.0
1927,5.574612327308159e-09,0.0
1928,7.998228745975666e-09,0.0
1929,5.570202965543558e-09,0.0
1930,7.352522590764465e-09,0.0
1931,5.7026783295555106e-09,0.0
1932,4.383814644626227e-09,0.0
1933,4.588264879146209e-09,0.0
1934,4.7926320689839486e-09,0.0
1935,7.180970484910176e-09,0.0
1936,6.0623572828433225e-09,0.0
1937,1.1332006444320086e-08,0.0
1938,9.075650453382877e-09,1.2965214457594243e-09
1939,1.3764645423464117e-08,0.0
1940,7.607348528892999e-09,0.0
1941,8.854508237732261e-09,0.0
1942,9.102635090130207e-09,0.0
1943,0.0,0.0
1944,0.0,0.0
1945,6.535512131478072e-09,0.0
1946,6.960552134671616e-09,0.0
1947,1.4305045148432782e-08,0.0
