year,certains_DET hommages_NOUN,certains_DET dommages_NOUN
1800,0.0,0.0
1801,1.904946067554647e-08,0.0
1802,1.5664880947952042e-08,1.7902721083373763e-08
1803,0.0,0.0
1804,9.887403784603066e-09,0.0
1805,1.7057265822018053e-08,0.0
1806,8.645007376628655e-09,0.0
1807,0.0,8.540865792383556e-09
1808,0.0,0.0
1809,2.0331274441787173e-08,0.0
1810,1.1700633351097167e-08,0.0
1811,0.0,0.0
1812,5.3344164641089264e-09,0.0
1813,0.0,0.0
1814,5.97868634599763e-08,0.0
1815,5.394447111228828e-09,0.0
1816,1.3905623319487859e-08,0.0
1817,3.113746815941454e-09,6.227493631882908e-09
1818,1.7881765401739358e-08,2.384235475716423e-09
1819,3.622867339458935e-08,1.3456364911235141e-08
1820,1.6613073583471305e-08,8.306536791735653e-09
1821,4.930744257336528e-09,0.0
1822,1.604098542884458e-08,1.804610860745015e-08
1823,2.4706716672540097e-08,2.9648061783404955e-09
1824,8.421112696055388e-09,0.0
1825,5.283265824829186e-09,4.4027217427355936e-09
1826,1.4973572604048968e-08,0.0
1827,1.3825909306319772e-08,9.217273055917019e-10
1828,1.1923991571904935e-08,5.503380862137419e-09
1829,3.429270423183084e-09,8.573175946935407e-09
1830,5.218417697960831e-09,8.349468672008697e-09
1831,4.677361609140007e-09,0.0
1832,1.2176972319366541e-08,1.3529969367098715e-09
1833,5.791814139399776e-09,2.3167257001688313e-09
1834,9.334531370086552e-09,1.3068342852307069e-08
1835,1.5126175867408165e-09,1.5126175867408165e-08
1836,1.0753200108126748e-08,6.048674894287842e-09
1837,1.3219993100221927e-08,2.0873671680021744e-09
1838,2.5248647617104325e-09,1.5780404538645598e-08
1839,4.894032734625853e-09,2.0974426639952526e-09
1840,5.095750932326837e-09,2.5478754661634184e-09
1841,1.6051371787284552e-08,2.760835826620678e-08
1842,7.379091560011375e-09,3.3541325272778977e-09
1843,1.7720733769266417e-09,5.906910960362666e-09
1844,1.5916826967554698e-08,7.683985892015244e-09
1845,1.2834524554250493e-08,5.580227835366713e-09
1846,8.781752214304106e-09,1.8734404250153602e-08
1847,2.6966118227278457e-09,1.0247124926365814e-08
1848,1.126331028444838e-08,7.24069959545659e-09
1849,8.379414939696517e-10,1.8434713311421547e-08
1850,1.6972489191857676e-08,9.504594444820214e-09
1851,6.449438760824933e-10,1.9348316726564008e-08
1852,4.557382027314816e-09,1.3021090872200602e-08
1853,1.1346670270029335e-08,7.763511611358354e-09
1854,2.338049043260071e-08,9.871762074453727e-09
1855,2.653468555990912e-09,1.2205955357558196e-08
1856,2.5885945831305435e-08,6.73034605824796e-09
1857,5.857811125054013e-09,1.1715622250108026e-08
1858,1.468102794888182e-08,1.565976326389773e-08
1859,1.476730293603623e-08,1.0693564256314403e-08
1860,9.15436793036406e-09,1.0527522853465143e-08
1861,1.3204698667834691e-08,8.960331143725853e-09
1862,6.325180823552046e-09,1.0843167252971853e-08
1863,5.9935452156878455e-09,8.990317823531768e-09
