year,véritables_ADJ dents_NOUN
1800,6.917161954334006e-08
1801,7.857902772911984e-08
1802,1.3427040812530322e-07
1803,1.3067273130218382e-07
1804,5.6852570651244605e-08
1805,3.1271653710973624e-08
1806,2.5935023018064385e-08
1807,2.8469551160981155e-09
1808,4.305540457494317e-08
1809,1.129515236897305e-08
1810,2.8081521108447305e-08
1811,3.259199843341776e-08
1812,5.067695596494559e-08
1813,2.0130190847567064e-08
1814,3.1466771410748606e-09
1815,3.236668177919455e-08
1816,9.502176112619054e-08
1817,1.6814232139950036e-07
1818,6.079800130009971e-08
1819,5.2790355198339967e-08
1820,2.254631326081835e-08
1821,3.0570614484304315e-08
1822,2.0051231786055723e-08
1823,1.680056804787e-08
1824,3.621078548121659e-08
1825,5.811592274085342e-08
1826,1.8496766784892316e-08
1827,2.8573547083965423e-08
1828,3.485474309172787e-08
1829,4.029392641768936e-08
1830,3.757260813586072e-08
1831,1.5591206548037917e-08
1832,2.841293600397421e-08
1833,8.91939393454777e-08
1834,4.1071935186209885e-08
1835,7.260564416355919e-08
1836,4.973355061110851e-08
1837,2.5744196108234974e-08
1838,4.039783618736692e-08
1839,3.5656523067473245e-08
1840,3.567025785855549e-08
1841,1.8619591202195807e-08
1842,1.1404051036834062e-08
1843,3.36693943836508e-08
1844,2.5796238034558883e-08
1845,8.928364714222425e-09
1846,2.751615646445771e-08
1847,1.941560512364049e-08
1848,1.206783295515379e-08
1849,2.6814127807028854e-08
1850,5.363306954109248e-08
1851,1.0319102017319892e-08
1852,4.036538214791108e-08
1853,4.060913738612726e-08
1854,4.2604447969551984e-08
1855,2.2289135870323662e-08
1856,3.31340110903966e-08
1857,2.7336451324799782e-08
1858,9.787352261980686e-09
1859,9.675129142294736e-09
1860,1.1900677776566226e-08
1861,3.254015012998934e-08
1862,1.355395884417021e-08
1863,9.989241434027463e-09
1864,1.4863656971897399e-08
1865,1.1767110841276462e-08
1866,2.919367680931373e-08
1867,1.7955402498159856e-08
1868,3.2603168165223906e-08
1869,1.12320943657096e-08
1870,2.121598008386627e-08
1871,1.6993883633631413e-08
1872,6.652073114565837e-09
1873,3.95076291681562e-08
1874,1.9716210886144836e-08
1875,4.577221712764867e-09
1876,1.753344314181504e-08
1877,3.834585982076533e-08
1878,7.2469061862534545e-09
1879,1.1607718342077078e-08
1880,1.7328185109022343e-08
1881,1.3945014920579979e-08
1882,1.8635077481121698e-08
1883,3.791603475633565e-09
1884,1.4523733327109767e-08
1885,5.80107206715752e-09
1886,3.872078213618124e-09
1887,7.834709769838355e-09
1888,1.775372027168487e-08
1889,2.5060546970934183e-09
1890,9.176140736144589e-09
1891,1.5935549768641977e-08
1892,5.014809900671935e-09
1893,1.7243566574620672e-08
1894,5.041231432301174e-09
1895,1.5046536461227333e-08
1896,1.8870492723976895e-08
1897,6.409385022720926e-09
1898,3.451596342074481e-08
1899,2.1557555740514545e-08
1900,1.764958135197503e-08
1901,5.58873880507349e-09
1902,4.910283735171106e-09
1903,9.720396931811592e-09
1904,1.4511488011237361e-08
1905,1.3934049469810361e-08
1906,9.259531807970234e-09
1907,1.2857108266928208e-08
1908,4.911389073214423e-09
1909,1.7603147384193107e-08
1910,2.67207544979442e-09
1911,5.852411444351446e-09
1912,1.927485904218429e-08
1913,1.113627856597077e-08
1914,2.0759905794420774e-08
1915,4.712304768617059e-09
1916,2.197492410260793e-09
1917,6.57985488317081e-09
1918,1.1486376294556067e-09
1919,7.366278698128781e-09
1920,6.057785384427916e-09
1921,5.300923255902035e-09
1922,6.640141769764796e-09
1923,4.246379248229459e-09
1924,2.578324886925998e-09
1925,1.0998178368026856e-08
1926,1.671920735191179e-08
1927,1.3379070296082318e-08
1928,9.14083297942625e-09
1929,2.2280812750352652e-09
1930,2.100720708497761e-09
1931,2.2810713318222042e-09
1932,4.383814644626227e-09
1933,1.261772819560747e-08
1934,3.5944740517379614e-09
1935,7.180970484910176e-09
1936,1.6974599503782883e-08
1937,1.888667711114067e-08
1938,3.8895642262559704e-09
1939,2.2941076593951948e-08
1940,1.0143131667916805e-08
1941,1.1806010391524069e-08
1942,6.068423541449874e-09
1943,5.806470415592457e-09
1944,6.4263723231761105e-09
1945,6.535512131478072e-09
1946,8.352662561605939e-09
1947,3.5762612871081956e-09
1948,2.2830963786191205e-08
1949,7.853606653895895e-09
1950,1.595304155443955e-08
1951,1.0661401761424827e-09
1952,2.6362009464264702e-08
1953,2.1547654771580937e-09
1954,7.818028890937967e-09
1955,1.1262729415761896e-08
1956,4.360570571293465e-09
1957,6.184526224473075e-09
1958,2.2335056470978998e-08
1959,1.0851047171911432e-08
1960,1.038124963770315e-08
1961,4.86371165564492e-09
1962,5.0735651235811474e-09
1963,7.1126584622049904e-09
1964,5.475571551727398e-09
1965,3.830430195250756e-09
1966,2.769537488234164e-09
1967,5.423369309198733e-09
1968,8.982831367632116e-09
1969,7.2668124850849836e-09
1970,4.1388523719376735e-09
1971,6.166076982339064e-09
1972,5.643161493651405e-09
1973,3.859242703185828e-09
1974,1.6876715580593782e-09
1975,2.8557400888473694e-09
1976,4.570821499072508e-09
1977,5.876781838942691e-10
1978,5.940591352171509e-10
1979,4.096381456264453e-09
1980,9.664756106531058e-09
1981,2.5302198114474095e-09
1982,1.8622506869903077e-09
1983,1.89459470334441e-09
1984,1.1598016991243298e-09
1985,4.210890747202711e-09
1986,2.3977941854269602e-09
1987,1.2221633705067347e-09
1988,5.396898483667201e-09
1989,1.0976244357863152e-09
1990,2.724325431913144e-09
1991,0.0
1992,2.2039776670368383e-09
1993,3.323524566667402e-09
1994,1.5824779264761446e-09
1995,1.0844901643380922e-09
1996,2.135236876199542e-09
1997,1.438468344439059e-09
1998,0.0
1999,1.8280804647829996e-09
2000,4.4180314962005696e-10
2001,2.190605918883648e-09
2002,2.1906108038649563e-09
2003,1.2500769308587678e-09
2004,2.642874807889939e-09
