year,mêmes_ADJ âmes_NOUN,mêmes_ADJ ames_NOUN,mêmes_ADJ dames_NOUN
1800,6.288328968651058e-09,6.288328968651058e-09,6.288328968651058e-09
1801,2.3811825844433088e-09,2.3811825400343878e-08,4.7623651688866175e-09
1802,0.0,3.1329761895904085e-08,4.475680270843441e-09
1803,1.950339223455444e-09,2.145373123596528e-08,0.0
1804,4.943701892301533e-09,5.6852570651244605e-08,2.4718509461507665e-09
1805,5.685755422035754e-09,1.421438877713399e-08,0.0
1806,0.0,5.76333825108577e-09,1.152667650217154e-08
1807,0.0,1.9928686256776018e-08,8.540865792383556e-09
1808,2.4926814390369145e-08,4.758755522971114e-08,9.064295980465431e-09
1809,2.259030518203531e-09,2.25903047379461e-08,0.0
1810,4.680253518074551e-09,4.212228077449254e-08,0.0
1811,5.0141535368197765e-09,1.2535384286138651e-08,1.2535384286138651e-08
1812,5.3344164641089264e-09,5.3344164641089264e-09,5.3344164641089264e-09
1813,0.0,0.0,0.0
1814,9.440030979135372e-09,6.293354282149721e-09,0.0
1815,1.0788894222457657e-08,0.0,0.0
1816,1.0429217667251578e-07,4.6352077731626196e-09,1.1588019432906549e-08
1817,0.0,1.5568733857662664e-08,3.113746860350375e-08
1818,3.5763532135746345e-09,1.1921177378582115e-09,1.668964788592575e-08
1819,3.2088255608186955e-08,1.449147024601416e-08,1.1386154796788617e-08
1820,5.933240565525466e-09,9.493184904840746e-09,1.542642635854463e-08
1821,2.9584463767662328e-09,1.97229765852569e-09,8.875339574387908e-09
1822,8.02049271442229e-09,1.1028177482330648e-08,1.1028177482330648e-08
1823,1.680056804787e-08,1.2847492847356534e-08,3.261286707356703e-08
1824,1.0947446504872005e-08,5.3053010873327366e-08,9.263223965660927e-09
1825,1.937197424695114e-08,1.584979791857677e-08,1.2327619813845558e-08
1826,2.642395191543301e-09,1.4973572604048968e-08,1.1450379200361738e-08
1827,2.027800150017356e-08,1.1060727445055818e-08,1.8434546111834038e-09
1828,2.384798314380987e-08,2.109629271274116e-08,5.5033806956039655e-09
1829,1.7146351893870815e-08,6.858540846366168e-09,4.20085635721712e-08
1830,2.0873670791843324e-08,8.349468672008697e-09,1.0436835840010872e-09
1831,1.091384405071949e-08,2.8064171431196883e-08,1.5591206103948707e-09
1832,9.470978667991403e-09,1.758896062131754e-08,9.470978779013706e-09
1833,4.6334514003376626e-09,9.266902800675325e-09,4.6334514003376626e-09
1834,1.213489042584115e-08,2.240287422239362e-08,5.60071877764301e-09
1835,7.563087933704082e-09,1.0588323107185715e-08,1.4369867074037757e-08
1836,1.5457725766054864e-08,2.688300027031687e-09,6.048674894287842e-09
