year,ses_DET hommages_NOUN,ses_DET dommages_NOUN
1800,6.194003958626126e-07,5.345079756580162e-08
1801,8.286515367217362e-07,8.096020565062645e-08
1802,7.093952945069759e-07,1.0070280609397742e-07
1803,6.163072043818829e-07,7.021220937986072e-08
1804,6.599842095056374e-07,1.8538882784469024e-07
1805,7.277766940205765e-07,2.7291625315228885e-07
1806,7.809323392393708e-07,5.07173751884693e-07
1807,6.007075512570736e-07,5.836258196723065e-07
1808,7.817955065547721e-07,3.4444323659954534e-07
1809,7.658113645447884e-07,7.996968065526744e-07
1810,9.14989584543946e-07,4.937667199556017e-07
1811,8.298424063468701e-07,3.5851198276759533e-07
1812,8.428377782365715e-07,6.374627901095664e-07
1813,7.390656264760764e-07,2.473137783454149e-07
1814,1.1265103694313439e-06,1.3530711839848664e-07
1815,9.467254926676105e-07,1.8880564311984926e-07
1816,6.999163701948419e-07,1.1819779643928996e-07
1817,9.216690841640229e-07,5.7604317760251433e-08
1818,7.176548706411268e-07,7.867976847819591e-08
1819,8.187680577975698e-07,2.794783426907088e-07
1820,1.0323838068870828e-06,7.713212824000948e-08
1821,9.812181360757677e-07,2.8992775469305343e-07
1822,9.073182241081668e-07,2.1354561852149345e-07
1823,8.874652621670975e-07,1.3045146829426812e-07
1824,1.1124290040243068e-06,1.9284348695691733e-07
1825,1.0170286941502127e-06,1.769894026892871e-07
1826,7.971225954861438e-07,2.2284200440481072e-07
1827,9.751875040819868e-07,4.1846419662761036e-07
1828,9.098922646444407e-07,3.274511470863217e-07
1829,9.524798656457278e-07,2.1604404309982783e-07
1830,1.0175914439969347e-06,3.475466314739606e-07
1831,8.138609359775728e-07,6.267665071391093e-07
1832,8.767420354161004e-07,2.232444984429094e-07
1833,1.107394837163156e-06,2.583149125712225e-07
1834,9.315862143921549e-07,1.6055393814440322e-07
1835,8.788308036855597e-07,1.9512766868956533e-07
1836,8.723533824195329e-07,1.236618061284389e-07
1837,7.22229060556856e-07,9.253994903701823e-08
1838,6.671955361525761e-07,9.341999884782126e-08
1839,7.054398452055466e-07,1.2444826325008762e-07
1840,6.917481982782192e-07,1.2166105989308562e-07
1841,8.487965033054934e-07,1.1428576129901558e-07
1842,8.318248774230597e-07,8.117000760421433e-08
1843,7.761681217743899e-07,8.683159080646874e-08
1844,7.865108386795328e-07,1.3886059946344176e-07
1845,7.689554308853985e-07,6.807878349945895e-08
1846,7.886013122515578e-07,9.367202125076801e-08
1847,7.793208283146669e-07,2.3298726148368587e-07
1848,7.6107795621283e-07,1.078059739256787e-07
1849,6.234284910533461e-07,1.349085749779988e-07
1850,5.057801786279015e-07,3.869727649430388e-08
1851,6.713866014251835e-07,8.90022562316517e-08
1852,6.334760769277636e-07,5.989701890030119e-08
1853,8.563750384382729e-07,9.734248607173868e-08
1854,8.702738227839291e-07,7.273930435758302e-08
1855,9.080169434128038e-07,6.792879503336735e-08
1856,9.577800028637284e-07,6.316170697573398e-08
1857,7.829940500414523e-07,1.0007093464992067e-07
1858,9.200110753226909e-07,8.025628517316363e-08
1859,9.873724593489897e-07,3.6154432336843456e-08
1860,8.710380825505126e-07,5.40107691904268e-08
1861,7.121105340957001e-07,1.2402985305470793e-07
1862,7.4772674452106e-07,5.0601446588416366e-08
1863,7.282156957444386e-07,6.792684104084401e-08
1864,9.100393754124525e-07,5.2262535632507934e-08
1865,7.309729426197009e-07,7.76629320853317e-08
1866,7.137854254324338e-07,6.811858099808887e-08
1867,6.687174050057365e-07,8.832117259771621e-08
1868,6.407016712728364e-07,5.977247496957716e-08
1869,6.705071768919879e-07,5.3718711257033647e-08
1870,6.869390176689194e-07,3.4404294524392753e-08
1871,8.27389726509864e-07,2.3366590440332402e-08
1872,6.277138027144247e-07,5.503078881474721e-08
1873,5.956074460300442e-07,3.112722168907567e-08
1874,7.109784974090871e-07,9.081406204813902e-08
1875,5.978996000521875e-07,5.2065896483100005e-08
