year,en_ADP oeufs_NOUN,en_ADP jeu_NOUN
1800,2.5153315874604232e-08,3.527752596710343e-06
1801,4.7623651688866175e-09,4.293272013455862e-06
1802,1.3427040812530322e-08,3.441798071435187e-06
1803,4.095712213825209e-08,2.615404810057953e-06
1804,1.2359254952798437e-08,2.679486442502821e-06
1805,3.980028751016107e-08,3.6502549392025685e-06
1806,1.152667650217154e-08,2.8067456696589943e-06
1807,2.8469551160981155e-09,1.8619086858961964e-06
1808,6.798221985349073e-09,2.27740429181722e-06
1809,4.518061036407062e-09,2.5165600163745694e-06
1810,9.360507036149102e-09,2.2137598989502294e-06
1811,5.0141535368197765e-09,2.2689043817081256e-06
1812,1.0668832928217853e-08,3.832778020296246e-06
1813,2.0130190847567064e-08,3.4135052828787593e-06
1814,6.293354282149721e-09,2.7879559638677165e-06
1815,0.0,4.08359665016178e-06
1816,0.0,3.5621571896626847e-06
1817,0.0,3.465600229901611e-06
1818,5.960588467246453e-09,3.5537029816623544e-06
1819,3.1053151161586356e-09,2.949014060504851e-06
1820,1.1866481131050932e-09,3.3190547128469916e-06
1821,1.97229765852569e-09,2.885471531044459e-06
1822,3.0076847679083585e-09,2.7730852707463782e-06
1823,2.9648061783404955e-09,3.5142834349244367e-06
1824,2.5263338088166165e-09,3.6539208849717397e-06
1825,1.4088708866211164e-08,2.624022044983576e-06
1826,1.7615968683770689e-09,2.3041686745273182e-06
1827,0.0,2.6684006115829106e-06
1828,9.172301140836225e-09,3.0323628834594274e-06
1829,2.571952872898464e-09,2.9448858640535036e-06
1830,4.174734336004349e-09,3.1623612812836654e-06
1831,1.5591206103948707e-09,3.4628069442987908e-06
1832,1.3529969367098715e-09,3.3608444027777296e-06
1833,1.1583628500844156e-09,3.283958676547627e-06
1834,9.334530925997342e-10,2.994517444676603e-06
1835,1.5126175867408165e-09,2.871704509743722e-06
1836,5.376600054063374e-09,3.551916506694397e-06
1837,2.7831563720326358e-09,3.430935976211913e-06
1838,2.5248647617104325e-09,3.058242555198376e-06
1839,6.9914749545318955e-09,3.473364813544322e-06
1840,1.9109065441114126e-09,3.5090615710942075e-06
1841,1.2841097074556274e-09,4.536759661277756e-06
1842,1.341653010911159e-09,3.5506845961208455e-06
1843,5.906911071384968e-10,3.7207632885838393e-06
1844,5.488561272137815e-10,3.5779930840362795e-06
1845,0.0,3.6706740047520725e-06
1846,2.3418005312692003e-09,3.6988740248489194e-06
1847,0.0,3.3556636935827555e-06
1848,1.6090443422100975e-09,3.715283355631982e-06
